HRRNum,HRR City,Beds Avail,Beds Needed,Projected Cases,Last Update
220,LA- SLIDELL,483,21,392,04-08-2020
221,ME- BANGOR,1041,49,490,04-08-2020
222,ME- PORTLAND,2611,14,98,04-08-2020
223,MD- BALTIMORE,6696,49,98,04-08-2020
225,MD- SALISBURY,881,56,49,04-08-2020
226,MD- TAKOMA PARK,1259,28,49,04-08-2020
227,MA- BOSTON,10942,42,147,04-08-2020
230,MA- SPRINGFIELD,1552,49,147,04-08-2020
231,MA- WORCESTER,1572,70,441,04-08-2020
232,MI- ANN ARBOR,3222,42,392,04-08-2020
233,MI- DEARBORN,1637,7,98,04-08-2020
234,MI- DETROIT,4631,28,147,04-08-2020
235,MI- FLINT,1277,49,490,04-08-2020
236,MI- GRAND RAPIDS,2267,42,245,04-08-2020
238,MI- KALAMAZOO,1407,70,343,04-08-2020
239,MI- LANSING,1479,56,343,04-08-2020
240,MI- MARQUETTE,418,70,441,04-08-2020
242,MI- MUSKEGON,473,63,343,04-08-2020
243,MI- PETOSKEY,283,63,294,04-08-2020
244,MI- PONTIAC,1149,35,441,04-08-2020
245,MI- ROYAL OAK,2607,35,245,04-08-2020
246,MI- SAGINAW,2068,28,196,04-08-2020
248,MI- ST JOSEPH,253,49,98,04-08-2020
249,MI- TRAVERSE CITY,481,28,49,04-08-2020
250,MN- DULUTH,1092,70,392,04-08-2020
251,MN- MINNEAPOLIS,8487,28,98,04-08-2020
253,MN- ROCHESTER,2592,7,392,04-08-2020
254,MN- ST CLOUD,679,28,147,04-08-2020
256,MN- ST PAUL,2236,49,441,04-08-2020
257,MS- GULFPORT,766,7,245,04-08-2020
258,MS- HATTIESBURG,1161,49,441,04-08-2020
259,MS- JACKSON,4411,70,343,04-08-2020
260,MS- MERIDIAN,950,28,343,04-08-2020
261,MS- OXFORD,603,35,196,04-08-2020
262,MS- TUPELO,1588,42,98,04-08-2020
263,MO- CAPE GIRARDEAU,992,35,49,04-08-2020
264,MO- COLUMBIA,1802,42,490,04-08-2020
267,MO- JOPLIN,926,28,490,04-08-2020
268,MO- KANSAS CITY,7904,21,490,04-08-2020
270,MO- SPRINGFIELD,1903,56,441,04-08-2020
273,MO- ST LOUIS,12159,42,392,04-08-2020
274,MT- BILLINGS,2174,35,98,04-08-2020
275,MT- GREAT FALLS,763,42,392,04-08-2020
276,MT- MISSOULA,1110,49,147,04-08-2020
277,NE- LINCOLN,1774,63,245,04-08-2020
278,NE- OMAHA,5397,70,98,04-08-2020
279,NV- LAS VEGAS,4033,49,147,04-08-2020
280,NV- RENO,1851,70,245,04-08-2020
281,NH- LEBANON,929,42,245,04-08-2020
282,NH- MANCHESTER,1932,42,392,04-08-2020
283,NJ- CAMDEN,7959,28,147,04-08-2020
284,NJ- HACKENSACK,3701,28,392,04-08-2020
285,NJ- MORRISTOWN,1900,28,245,04-08-2020
288,NJ- NEW BRUNSWICK,2752,14,196,04-08-2020
289,NJ- NEWARK,4812,49,294,04-08-2020
291,NJ- PATERSON,1122,56,490,04-08-2020
292,NJ- RIDGEWOOD,729,63,196,04-08-2020
293,NM- ALBUQUERQUE,3324,35,147,04-08-2020
295,NY- ALBANY,4901,28,49,04-08-2020
296,NY- BINGHAMTON,880,49,98,04-08-2020
297,NY- BRONX,3606,14,245,04-08-2020
299,NY- BUFFALO,3525,70,147,04-08-2020
300,NY- ELMIRA,1021,56,294,04-08-2020
301,NY- EAST LONG ISLAND,10883,56,294,04-08-2020
304,NY- ROCHESTER,2939,21,245,04-08-2020
307,NY- SYRACUSE,2790,35,49,04-08-2020
308,NY- WHITE PLAINS,2906,63,343,04-08-2020
309,NC- ASHEVILLE,1836,42,294,04-08-2020
311,NC- CHARLOTTE,5729,63,294,04-08-2020
312,NC- DURHAM,4589,28,392,04-08-2020
313,NC- GREENSBORO,1752,42,343,04-08-2020
314,NC- GREENVILLE,2502,7,392,04-08-2020
315,NC- HICKORY,692,56,441,04-08-2020
318,NC- RALEIGH,4207,28,49,04-08-2020
319,NC- WILMINGTON,1161,56,98,04-08-2020
320,NC- WINSTON-SALEM,3619,63,392,04-08-2020
321,ND- BISMARCK,789,49,98,04-08-2020
322,ND- FARGO MOORHEAD -MN,1980,49,294,04-08-2020
323,ND- GRAND FORKS,531,56,441,04-08-2020
324,ND- MINOT,686,14,196,04-08-2020
325,OH- AKRON,2412,14,294,04-08-2020
326,OH- CANTON,2101,14,245,04-08-2020
327,OH- CINCINNATI,4759,35,49,04-08-2020
328,OH- CLEVELAND,8812,14,490,04-08-2020
329,OH- COLUMBUS,8934,21,98,04-08-2020
330,OH- DAYTON,3212,56,49,04-08-2020
331,OH- ELYRIA,676,49,147,04-08-2020
332,OH- KETTERING,1128,28,343,04-08-2020
334,OH- TOLEDO,4161,28,392,04-08-2020
335,OH- YOUNGSTOWN,2537,63,245,04-08-2020
336,OK- LAWTON,650,63,441,04-08-2020
339,OK- OKLAHOMA CITY,6566,14,98,04-08-2020
340,OK- TULSA,4980,42,294,04-08-2020
341,OR- BEND,335,70,196,04-08-2020
342,OR- EUGENE,1161,14,98,04-08-2020
343,OR- MEDFORD,958,7,343,04-08-2020
344,OR- PORTLAND,5208,28,490,04-08-2020
345,OR- SALEM,401,35,294,04-08-2020
346,PA- ALLENTOWN,3122,35,98,04-08-2020
347,PA- ALTOONA,674,21,490,04-08-2020
350,PA- DANVILLE,1456,63,196,04-08-2020
351,PA- ERIE,2156,70,98,04-08-2020
352,PA- HARRISBURG,2242,49,49,04-08-2020
354,PA- JOHNSTOWN,733,7,294,04-08-2020
355,PA- LANCASTER,1170,21,343,04-08-2020
356,PA- PHILADELPHIA,12405,49,392,04-08-2020
357,PA- PITTSBURGH,11651,21,245,04-08-2020
358,PA- READING,1354,70,343,04-08-2020
359,PA- SAYRE,450,21,196,04-08-2020
360,PA- SCRANTON,833,49,147,04-08-2020
362,PA- WILKES-BARRE,599,56,147,04-08-2020
363,PA- YORK,782,49,343,04-08-2020
364,RI- PROVIDENCE,3069,63,245,04-08-2020
365,SC- CHARLESTON,2949,28,49,04-08-2020
366,SC- COLUMBIA,3706,42,343,04-08-2020
367,SC- FLORENCE,1278,63,343,04-08-2020
368,SC- GREENVILLE,2357,35,392,04-08-2020
369,SC- SPARTANBURG,1019,42,441,04-08-2020
370,SD- RAPID CITY,625,63,245,04-08-2020
371,SD- SIOUX FALLS,2725,49,343,04-08-2020
373,TN- CHATTANOOGA,2220,21,147,04-08-2020
374,TN- JACKSON,1294,56,98,04-08-2020
375,TN- JOHNSON CITY,870,70,392,04-08-2020
376,TN- KINGSPORT,1923,63,245,04-08-2020
377,TN- KNOXVILLE,4126,49,49,04-08-2020
379,TN- MEMPHIS,6283,35,98,04-08-2020
380,TN- NASHVILLE,8491,63,441,04-08-2020
382,TX- ABILENE,1307,21,392,04-08-2020
383,TX- AMARILLO,1453,49,196,04-08-2020
385,TX- AUSTIN,3456,42,196,04-08-2020
386,TX- BEAUMONT,1328,42,147,04-08-2020
388,TX- BRYAN,556,56,490,04-08-2020
390,TX- CORPUS CHRISTI,2038,14,441,04-08-2020
391,TX- DALLAS,12182,63,392,04-08-2020
393,TX- EL PASO,2717,28,490,04-08-2020
394,TX- FORT WORTH,4965,42,196,04-08-2020
396,TX- HARLINGEN,1376,42,441,04-08-2020
397,TX- HOUSTON,17059,7,147,04-08-2020
399,TX- LONGVIEW,679,7,441,04-08-2020
400,TX- LUBBOCK,2341,49,441,04-08-2020
402,TX- MCALLEN,1572,14,294,04-08-2020
406,TX- ODESSA,1271,21,245,04-08-2020
411,TX- SAN ANGELO,680,7,245,04-08-2020
412,TX- SAN ANTONIO,7208,28,196,04-08-2020
413,TX- TEMPLE,925,14,441,04-08-2020
416,TX- TYLER,1562,42,147,04-08-2020
417,TX- VICTORIA,760,7,392,04-08-2020
418,TX- WACO,590,7,245,04-08-2020
420,TX- WICHITA FALLS,648,42,98,04-08-2020
421,UT- OGDEN,667,63,441,04-08-2020
422,UT- PROVO,881,21,196,04-08-2020
423,UT- SALT LAKE CITY,3880,70,343,04-08-2020
424,VT- BURLINGTON,1577,7,343,04-08-2020
426,VA- ARLINGTON,2879,14,294,04-08-2020
427,VA- CHARLOTTESVILLE,1389,14,441,04-08-2020
428,VA- LYNCHBURG,682,70,343,04-08-2020
429,VA- NEWPORT NEWS,1090,49,245,04-08-2020
430,VA- NORFOLK,2693,14,49,04-08-2020
431,VA- RICHMOND,4658,42,392,04-08-2020
432,VA- ROANOKE,2759,35,196,04-08-2020
435,VA- WINCHESTER,877,56,196,04-08-2020
437,WA- EVERETT,814,7,392,04-08-2020
438,WA- OLYMPIA,654,21,147,04-08-2020
439,WA- SEATTLE,5415,28,147,04-08-2020
440,WA- SPOKANE,3738,21,441,04-08-2020
441,WA- TACOMA,1220,7,490,04-08-2020
442,WA- YAKIMA,509,70,441,04-08-2020
443,WV- CHARLESTON,2383,42,147,04-08-2020
444,WV- HUNTINGTON,1636,14,490,04-08-2020
445,WV- MORGANTOWN,1707,56,392,04-08-2020
446,WI- APPLETON,610,7,343,04-08-2020
447,WI- GREEN BAY,1531,70,490,04-08-2020
448,WI- LA CROSSE,885,70,294,04-08-2020
449,WI- MADISON,3002,7,147,04-08-2020
450,WI- MARSHFIELD,1129,49,343,04-08-2020
451,WI- MILWAUKEE,8222,28,245,04-08-2020
303,NY- NEW YORK,15511,35,392,04-08-2020
452,WI- NEENAH,523,35,343,04-08-2020
456,WI- WAUSAU,544,21,147,04-08-2020
457,WY- CASPER,666,35,98,04-08-2020
