HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
219,LA- SHREVEPORT,04-03-2020,2736,1368,NA,9,1,NA,162
220,LA- SLIDELL,04-03-2020,504,252,NA,81,8,NA,729
221,ME- BANGOR,04-03-2020,1090,545,NA,9,1,NA,81
222,ME- PORTLAND,04-03-2020,2625,1312,NA,81,16,NA,810
223,MD- BALTIMORE,04-03-2020,6745,3372,NA,90,9,NA,243
225,MD- SALISBURY,04-03-2020,937,468,NA,9,0,NA,729
226,MD- TAKOMA PARK,04-03-2020,1287,643,NA,54,16,NA,162
227,MA- BOSTON,04-03-2020,10984,5492,NA,54,5,NA,324
230,MA- SPRINGFIELD,04-03-2020,1601,800,NA,27,5,NA,162
231,MA- WORCESTER,04-03-2020,1642,821,NA,18,5,NA,81
232,MI- ANN ARBOR,04-03-2020,3264,1632,NA,27,2,NA,243
233,MI- DEARBORN,04-03-2020,1644,822,NA,45,9,NA,486
234,MI- DETROIT,04-03-2020,4659,2329,NA,54,16,NA,810
235,MI- FLINT,04-03-2020,1326,663,NA,9,1,NA,243
236,MI- GRAND RAPIDS,04-03-2020,2309,1154,NA,45,13,NA,648
238,MI- KALAMAZOO,04-03-2020,1477,738,NA,81,24,NA,810
239,MI- LANSING,04-03-2020,1535,767,NA,63,18,NA,729
240,MI- MARQUETTE,04-03-2020,488,244,NA,54,5,NA,729
242,MI- MUSKEGON,04-03-2020,536,268,NA,18,1,NA,648
243,MI- PETOSKEY,04-03-2020,346,173,NA,9,2,NA,648
244,MI- PONTIAC,04-03-2020,1184,592,NA,36,10,NA,729
245,MI- ROYAL OAK,04-03-2020,2642,1321,NA,45,9,NA,486
246,MI- SAGINAW,04-03-2020,2096,1048,NA,45,9,NA,486
248,MI- ST JOSEPH,04-03-2020,302,151,NA,36,7,NA,486
249,MI- TRAVERSE CITY,04-03-2020,509,254,NA,63,18,NA,729
250,MN- DULUTH,04-03-2020,1162,581,NA,36,3,NA,324
251,MN- MINNEAPOLIS,04-03-2020,8515,4257,NA,45,9,NA,567
