HRRNum,Hospital Referral Region,Beds Avail,Beds Needed,Projected Cases,Last Update
123,FL- JACKSONVILLE,4897,15,50,04-10-2020
124,FL- LAKELAND,1063,5,50,04-10-2020
127,FL- MIAMI,10777,5,75,04-10-2020
129,FL- OCALA,1343,25,100,04-10-2020
130,FL- ORLANDO,10331,30,25,04-10-2020
131,FL- ORMOND BEACH,1639,15,25,04-10-2020
133,FL- PANAMA CITY,634,30,250,04-10-2020
134,FL- PENSACOLA,2299,50,25,04-10-2020
137,FL- SARASOTA,1425,20,50,04-10-2020
139,FL- ST PETERSBURG,1578,20,125,04-10-2020
140,FL- TALLAHASSEE,2682,15,175,04-10-2020
141,FL- TAMPA,4245,15,225,04-10-2020
142,GA- ALBANY,1018,45,175,04-10-2020
144,GA- ATLANTA,11969,10,75,04-10-2020
145,GA- AUGUSTA,2430,25,200,04-10-2020
146,GA- COLUMBUS,1249,10,150,04-10-2020
147,GA- MACON,2231,5,250,04-10-2020
148,GA- ROME,707,25,175,04-10-2020
149,GA- SAVANNAH,2013,45,75,04-10-2020
151,ID- BOISE,2042,35,200,04-10-2020
152,ID- IDAHO FALLS,446,15,150,04-10-2020
154,IL- AURORA,507,20,100,04-10-2020
155,IL- BLUE ISLAND,2521,15,200,04-10-2020
156,IL- CHICAGO,8540,20,175,04-10-2020
158,IL- ELGIN,1061,25,125,04-10-2020
161,IL- EVANSTON,2406,10,200,04-10-2020
163,IL- HINSDALE,1055,45,250,04-10-2020
164,IL- JOLIET,1296,30,50,04-10-2020
166,IL- MELROSE PARK,3059,35,75,04-10-2020
170,IL- PEORIA,1849,10,250,04-10-2020
171,IL- ROCKFORD,1506,25,250,04-10-2020
172,IL- SPRINGFIELD,2530,15,225,04-10-2020
173,IL- URBANA,989,50,75,04-10-2020
175,IL- BLOOMINGTON,237,30,50,04-10-2020
179,IN- EVANSVILLE,2005,40,75,04-10-2020
180,IN- FORT WAYNE,2182,30,25,04-10-2020
181,IN- GARY,1486,20,100,04-10-2020
183,IN- INDIANAPOLIS,6372,45,100,04-10-2020
184,IN- LAFAYETTE,696,45,125,04-10-2020
185,IN- MUNCIE,389,30,50,04-10-2020
186,IN- MUNSTER,1114,40,225,04-10-2020
187,IN- SOUTH BEND,1514,15,100,04-10-2020
188,IN- TERRE HAUTE,534,5,175,04-10-2020
190,IA- CEDAR RAPIDS,1076,40,100,04-10-2020
191,IA- DAVENPORT,2188,35,25,04-10-2020
192,IA- DES MOINES,3248,45,125,04-10-2020
193,IA- DUBUQUE,535,10,25,04-10-2020
194,IA- IOWA CITY,1933,10,75,04-10-2020
195,IA- MASON CITY,708,25,250,04-10-2020
196,IA- SIOUX CITY,1097,35,100,04-10-2020
197,IA- WATERLOO,594,45,75,04-10-2020
200,KS- TOPEKA,1542,5,250,04-10-2020
201,KS- WICHITA,4910,40,175,04-10-2020
203,KY- COVINGTON,1051,50,75,04-10-2020
204,KY- LEXINGTON,5196,10,125,04-10-2020
205,KY- LOUISVILLE,4811,5,250,04-10-2020
207,KY- OWENSBORO,442,30,50,04-10-2020
208,KY- PADUCAH,1582,40,200,04-10-2020
209,LA- ALEXANDRIA,941,50,150,04-10-2020
210,LA- BATON ROUGE,2470,10,150,04-10-2020
212,LA- HOUMA,696,5,100,04-10-2020
213,LA- LAFAYETTE,2122,40,75,04-10-2020
214,LA- LAKE CHARLES,825,40,25,04-10-2020
216,LA- METAIRIE,981,30,25,04-10-2020
217,LA- MONROE,875,50,25,04-10-2020
218,LA- NEW ORLEANS,2375,50,150,04-10-2020
219,LA- SHREVEPORT,2731,5,125,04-10-2020
220,LA- SLIDELL,484,20,100,04-10-2020
221,ME- BANGOR,1065,25,75,04-10-2020
222,ME- PORTLAND,2575,50,100,04-10-2020
223,MD- BALTIMORE,6705,40,175,04-10-2020
225,MD- SALISBURY,897,40,75,04-10-2020
226,MD- TAKOMA PARK,1272,15,175,04-10-2020
227,MA- BOSTON,10959,25,225,04-10-2020
230,MA- SPRINGFIELD,1586,15,75,04-10-2020
231,MA- WORCESTER,1607,35,100,04-10-2020
232,MI- ANN ARBOR,3239,25,75,04-10-2020
233,MI- DEARBORN,1614,30,150,04-10-2020
234,MI- DETROIT,4619,40,175,04-10-2020
235,MI- FLINT,1281,45,175,04-10-2020
236,MI- GRAND RAPIDS,2264,45,125,04-10-2020
238,MI- KALAMAZOO,1447,30,50,04-10-2020
239,MI- LANSING,1520,15,175,04-10-2020
240,MI- MARQUETTE,438,50,225,04-10-2020
242,MI- MUSKEGON,516,20,175,04-10-2020
243,MI- PETOSKEY,321,25,250,04-10-2020
244,MI- PONTIAC,1134,50,25,04-10-2020
245,MI- ROYAL OAK,2592,50,225,04-10-2020
246,MI- SAGINAW,2091,5,75,04-10-2020
248,MI- ST JOSEPH,267,35,100,04-10-2020
249,MI- TRAVERSE CITY,489,20,250,04-10-2020
250,MN- DULUTH,1147,15,200,04-10-2020
251,MN- MINNEAPOLIS,8485,30,75,04-10-2020
253,MN- ROCHESTER,2559,40,100,04-10-2020
254,MN- ST CLOUD,662,45,75,04-10-2020
256,MN- ST PAUL,2250,35,250,04-10-2020
257,MS- GULFPORT,753,20,175,04-10-2020
258,MS- HATTIESBURG,1195,15,100,04-10-2020
259,MS- JACKSON,4451,30,225,04-10-2020
260,MS- MERIDIAN,933,45,175,04-10-2020
261,MS- OXFORD,613,25,250,04-10-2020
262,MS- TUPELO,1620,10,225,04-10-2020
263,MO- CAPE GIRARDEAU,997,30,25,04-10-2020
264,MO- COLUMBIA,1804,40,175,04-10-2020
267,MO- JOPLIN,949,5,25,04-10-2020
268,MO- KANSAS CITY,7910,15,200,04-10-2020
270,MO- SPRINGFIELD,1924,35,175,04-10-2020
273,MO- ST LOUIS,12156,45,100,04-10-2020
274,MT- BILLINGS,2169,40,125,04-10-2020
275,MT- GREAT FALLS,755,50,200,04-10-2020
276,MT- MISSOULA,1119,40,50,04-10-2020
277,NE- LINCOLN,1797,40,225,04-10-2020
278,NE- OMAHA,5452,15,175,04-10-2020
279,NV- LAS VEGAS,4052,30,125,04-10-2020
280,NV- RENO,1886,35,25,04-10-2020
281,NH- LEBANON,946,25,150,04-10-2020
282,NH- MANCHESTER,1959,15,125,04-10-2020
283,NJ- CAMDEN,7972,15,100,04-10-2020
284,NJ- HACKENSACK,3714,15,25,04-10-2020
285,NJ- MORRISTOWN,1908,20,225,04-10-2020
288,NJ- NEW BRUNSWICK,2761,5,250,04-10-2020
289,NJ- NEWARK,4821,40,75,04-10-2020
291,NJ- PATERSON,1153,25,200,04-10-2020
292,NJ- RIDGEWOOD,742,50,125,04-10-2020
293,NM- ALBUQUERQUE,3334,25,200,04-10-2020
295,NY- ALBANY,4899,30,250,04-10-2020
296,NY- BINGHAMTON,884,45,75,04-10-2020
297,NY- BRONX,3590,30,225,04-10-2020
299,NY- BUFFALO,3590,5,200,04-10-2020
300,NY- ELMIRA,1072,5,25,04-10-2020
301,NY- EAST LONG ISLAND,10894,45,225,04-10-2020
304,NY- ROCHESTER,2950,10,100,04-10-2020
307,NY- SYRACUSE,2800,25,225,04-10-2020
308,NY- WHITE PLAINS,2959,10,200,04-10-2020
309,NC- ASHEVILLE,1838,40,50,04-10-2020
311,NC- CHARLOTTE,5767,25,250,04-10-2020
312,NC- DURHAM,4582,35,75,04-10-2020
313,NC- GREENSBORO,1749,45,200,04-10-2020
314,NC- GREENVILLE,2484,25,225,04-10-2020
315,NC- HICKORY,723,25,175,04-10-2020
318,NC- RALEIGH,4190,45,225,04-10-2020
319,NC- WILMINGTON,1207,10,175,04-10-2020
320,NC- WINSTON-SALEM,3677,5,75,04-10-2020
321,ND- BISMARCK,808,30,250,04-10-2020
322,ND- FARGO MOORHEAD -MN,1984,45,175,04-10-2020
323,ND- GRAND FORKS,572,15,250,04-10-2020
324,ND- MINOT,685,15,150,04-10-2020
325,OH- AKRON,2381,45,50,04-10-2020
326,OH- CANTON,2080,35,50,04-10-2020
327,OH- CINCINNATI,4744,50,250,04-10-2020
328,OH- CLEVELAND,8821,5,125,04-10-2020
329,OH- COLUMBUS,8940,15,200,04-10-2020
330,OH- DAYTON,3253,15,250,04-10-2020
331,OH- ELYRIA,695,30,225,04-10-2020
332,OH- KETTERING,1151,5,150,04-10-2020
334,OH- TOLEDO,4159,30,150,04-10-2020
335,OH- YOUNGSTOWN,2580,20,125,04-10-2020
336,OK- LAWTON,673,40,225,04-10-2020
339,OK- OKLAHOMA CITY,6535,45,100,04-10-2020
340,OK- TULSA,4997,25,25,04-10-2020
341,OR- BEND,380,25,25,04-10-2020
342,OR- EUGENE,1130,45,175,04-10-2020
343,OR- MEDFORD,960,5,75,04-10-2020
344,OR- PORTLAND,5196,40,100,04-10-2020
345,OR- SALEM,401,35,225,04-10-2020
346,PA- ALLENTOWN,3137,20,175,04-10-2020
347,PA- ALTOONA,680,15,250,04-10-2020
350,PA- DANVILLE,1469,50,150,04-10-2020
351,PA- ERIE,2181,45,175,04-10-2020
352,PA- HARRISBURG,2256,35,100,04-10-2020
354,PA- JOHNSTOWN,700,40,200,04-10-2020
355,PA- LANCASTER,1151,40,25,04-10-2020
356,PA- PHILADELPHIA,12414,40,125,04-10-2020
357,PA- PITTSBURGH,11662,10,250,04-10-2020
358,PA- READING,1404,20,225,04-10-2020
359,PA- SAYRE,456,15,175,04-10-2020
360,PA- SCRANTON,832,50,125,04-10-2020
362,PA- WILKES-BARRE,605,50,25,04-10-2020
363,PA- YORK,826,5,125,04-10-2020
364,RI- PROVIDENCE,3097,35,75,04-10-2020
365,SC- CHARLESTON,2952,25,225,04-10-2020
366,SC- COLUMBIA,3738,10,150,04-10-2020
367,SC- FLORENCE,1291,50,250,04-10-2020
368,SC- GREENVILLE,2362,30,50,04-10-2020
369,SC- SPARTANBURG,1011,50,225,04-10-2020
370,SD- RAPID CITY,643,45,200,04-10-2020
371,SD- SIOUX FALLS,2729,45,150,04-10-2020
373,TN- CHATTANOOGA,2191,50,50,04-10-2020
374,TN- JACKSON,1320,30,50,04-10-2020
375,TN- JOHNSON CITY,915,25,125,04-10-2020
376,TN- KINGSPORT,1936,50,250,04-10-2020
377,TN- KNOXVILLE,4140,35,100,04-10-2020
379,TN- MEMPHIS,6298,20,150,04-10-2020
380,TN- NASHVILLE,8544,10,25,04-10-2020
382,TX- ABILENE,1298,30,200,04-10-2020
383,TX- AMARILLO,1482,20,50,04-10-2020
385,TX- AUSTIN,3448,50,75,04-10-2020
386,TX- BEAUMONT,1345,25,200,04-10-2020
388,TX- BRYAN,592,20,50,04-10-2020
390,TX- CORPUS CHRISTI,2022,30,150,04-10-2020
391,TX- DALLAS,12195,50,225,04-10-2020
393,TX- EL PASO,2720,25,200,04-10-2020
394,TX- FORT WORTH,4987,20,250,04-10-2020
396,TX- HARLINGEN,1398,20,75,04-10-2020
397,TX- HOUSTON,17036,30,125,04-10-2020
399,TX- LONGVIEW,661,25,150,04-10-2020
400,TX- LUBBOCK,2370,20,100,04-10-2020
402,TX- MCALLEN,1576,10,175,04-10-2020
406,TX- ODESSA,1282,10,25,04-10-2020
411,TX- SAN ANGELO,677,10,200,04-10-2020
412,TX- SAN ANTONIO,7196,40,200,04-10-2020
413,TX- TEMPLE,894,45,25,04-10-2020
416,TX- TYLER,1594,10,250,04-10-2020
417,TX- VICTORIA,747,20,175,04-10-2020
418,TX- WACO,572,25,100,04-10-2020
420,TX- WICHITA FALLS,665,25,175,04-10-2020
421,UT- OGDEN,715,15,250,04-10-2020
422,UT- PROVO,897,5,50,04-10-2020
423,UT- SALT LAKE CITY,3900,50,225,04-10-2020
424,VT- BURLINGTON,1564,20,175,04-10-2020
426,VA- ARLINGTON,2878,15,225,04-10-2020
427,VA- CHARLOTTESVILLE,1388,15,200,04-10-2020
428,VA- LYNCHBURG,727,25,150,04-10-2020
429,VA- NEWPORT NEWS,1134,5,175,04-10-2020
430,VA- NORFOLK,2682,25,200,04-10-2020
431,VA- RICHMOND,4655,45,125,04-10-2020
432,VA- ROANOKE,2744,50,200,04-10-2020
435,VA- WINCHESTER,893,40,200,04-10-2020
437,WA- EVERETT,781,40,200,04-10-2020
438,WA- OLYMPIA,640,35,125,04-10-2020
439,WA- SEATTLE,5398,45,125,04-10-2020
440,WA- SPOKANE,3724,35,175,04-10-2020
441,WA- TACOMA,1182,45,250,04-10-2020
442,WA- YAKIMA,544,35,25,04-10-2020
443,WV- CHARLESTON,2410,15,200,04-10-2020
444,WV- HUNTINGTON,1640,10,50,04-10-2020
445,WV- MORGANTOWN,1733,30,125,04-10-2020
446,WI- APPLETON,572,45,75,04-10-2020
447,WI- GREEN BAY,1586,15,175,04-10-2020
448,WI- LA CROSSE,945,10,250,04-10-2020
449,WI- MADISON,2984,25,225,04-10-2020
450,WI- MARSHFIELD,1148,30,250,04-10-2020
451,WI- MILWAUKEE,8230,20,175,04-10-2020
303,NY- NEW YORK,15531,15,150,04-10-2020
452,WI- NEENAH,523,35,200,04-10-2020
456,WI- WAUSAU,545,20,200,04-10-2020
457,WY- CASPER,681,20,150,04-10-2020
