HRRNum,Hospital Referral Region,Beds Avail,Beds Needed,Projected Cases,Last Update
283,NJ- CAMDEN,7677,310,4805,04-23-2020
284,NJ- HACKENSACK,3481,248,1922,04-23-2020
285,NJ- MORRISTOWN,1680,248,8649,04-23-2020
288,NJ- NEW BRUNSWICK,2549,217,5766,04-23-2020
289,NJ- NEWARK,4644,217,6727,04-23-2020
291,NJ- PATERSON,1023,155,3844,04-23-2020
292,NJ- RIDGEWOOD,761,31,1922,04-23-2020
293,NM- ALBUQUERQUE,3266,93,5766,04-23-2020
295,NY- ALBANY,4650,279,6727,04-23-2020
296,NY- BINGHAMTON,650,279,8649,04-23-2020
297,NY- BRONX,3372,248,9610,04-23-2020
299,NY- BUFFALO,3378,217,3844,04-23-2020
300,NY- ELMIRA,860,217,8649,04-23-2020
301,NY- EAST LONG ISLAND,10877,62,961,04-23-2020
304,NY- ROCHESTER,2712,248,8649,04-23-2020
307,NY- SYRACUSE,2639,186,7688,04-23-2020
308,NY- WHITE PLAINS,2721,248,6727,04-23-2020
309,NC- ASHEVILLE,1661,217,2883,04-23-2020
311,NC- CHARLOTTE,5575,217,7688,04-23-2020
312,NC- DURHAM,4307,310,961,04-23-2020
313,NC- GREENSBORO,1670,124,3844,04-23-2020
314,NC- GREENVILLE,2292,217,4805,04-23-2020
315,NC- HICKORY,686,62,961,04-23-2020
318,NC- RALEIGH,4080,155,961,04-23-2020
319,NC- WILMINGTON,1031,186,8649,04-23-2020
320,NC- WINSTON-SALEM,3558,124,961,04-23-2020
321,ND- BISMARCK,745,93,4805,04-23-2020
322,ND- FARGO MOORHEAD -MN,1905,124,5766,04-23-2020
323,ND- GRAND FORKS,525,62,4805,04-23-2020
324,ND- MINOT,483,217,7688,04-23-2020
325,OH- AKRON,2116,310,7688,04-23-2020
326,OH- CANTON,1929,186,1922,04-23-2020
327,OH- CINCINNATI,4608,186,6727,04-23-2020
328,OH- CLEVELAND,8640,186,2883,04-23-2020
329,OH- COLUMBUS,8862,93,3844,04-23-2020
330,OH- DAYTON,2958,310,8649,04-23-2020
331,OH- ELYRIA,508,217,2883,04-23-2020
332,OH- KETTERING,908,248,1922,04-23-2020
334,OH- TOLEDO,4158,31,5766,04-23-2020
335,OH- YOUNGSTOWN,2383,217,1922,04-23-2020
336,OK- LAWTON,558,155,1922,04-23-2020
339,OK- OKLAHOMA CITY,6301,279,4805,04-23-2020
340,OK- TULSA,4774,248,961,04-23-2020
341,OR- BEND,95,310,1922,04-23-2020
342,OR- EUGENE,1051,124,7688,04-23-2020
343,OR- MEDFORD,872,93,961,04-23-2020
344,OR- PORTLAND,5112,124,7688,04-23-2020
345,OR- SALEM,126,310,5766,04-23-2020
346,PA- ALLENTOWN,2909,248,1922,04-23-2020
347,PA- ALTOONA,385,310,961,04-23-2020
350,PA- DANVILLE,1426,93,1922,04-23-2020
351,PA- ERIE,2133,93,961,04-23-2020
352,PA- HARRISBURG,2198,93,5766,04-23-2020
354,PA- JOHNSTOWN,554,186,6727,04-23-2020
355,PA- LANCASTER,1098,93,2883,04-23-2020
356,PA- PHILADELPHIA,12268,186,6727,04-23-2020
357,PA- PITTSBURGH,11486,186,1922,04-23-2020
358,PA- READING,1300,124,8649,04-23-2020
359,PA- SAYRE,161,310,5766,04-23-2020
360,PA- SCRANTON,727,155,6727,04-23-2020
362,PA- WILKES-BARRE,562,93,4805,04-23-2020
363,PA- YORK,676,155,6727,04-23-2020
364,RI- PROVIDENCE,2884,248,961,04-23-2020
365,SC- CHARLESTON,2946,31,9610,04-23-2020
366,SC- COLUMBIA,3655,93,8649,04-23-2020
367,SC- FLORENCE,1217,124,4805,04-23-2020
368,SC- GREENVILLE,2206,186,7688,04-23-2020
369,SC- SPARTANBURG,906,155,2883,04-23-2020
370,SD- RAPID CITY,626,62,8649,04-23-2020
371,SD- SIOUX FALLS,2619,155,9610,04-23-2020
373,TN- CHATTANOOGA,1931,310,1922,04-23-2020
374,TN- JACKSON,1133,217,961,04-23-2020
375,TN- JOHNSON CITY,909,31,4805,04-23-2020
376,TN- KINGSPORT,1676,310,7688,04-23-2020
377,TN- KNOXVILLE,3989,186,961,04-23-2020
379,TN- MEMPHIS,6194,124,2883,04-23-2020
380,TN- NASHVILLE,8461,93,961,04-23-2020
382,TX- ABILENE,1018,310,7688,04-23-2020
383,TX- AMARILLO,1316,186,3844,04-23-2020
385,TX- AUSTIN,3467,31,7688,04-23-2020
386,TX- BEAUMONT,1184,186,1922,04-23-2020
388,TX- BRYAN,395,217,1922,04-23-2020
390,TX- CORPUS CHRISTI,1897,155,961,04-23-2020
391,TX- DALLAS,11997,248,9610,04-23-2020
393,TX- EL PASO,2683,62,2883,04-23-2020
394,TX- FORT WORTH,4790,217,5766,04-23-2020
396,TX- HARLINGEN,1108,310,8649,04-23-2020
397,TX- HOUSTON,16880,186,4805,04-23-2020
399,TX- LONGVIEW,624,62,2883,04-23-2020
400,TX- LUBBOCK,2235,155,5766,04-23-2020
402,TX- MCALLEN,1555,31,4805,04-23-2020
406,TX- ODESSA,1230,62,5766,04-23-2020
411,TX- SAN ANGELO,501,186,7688,04-23-2020
412,TX- SAN ANTONIO,7050,186,9610,04-23-2020
413,TX- TEMPLE,691,248,4805,04-23-2020
416,TX- TYLER,1449,155,3844,04-23-2020
417,TX- VICTORIA,550,217,8649,04-23-2020
418,TX- WACO,566,31,1922,04-23-2020
420,TX- WICHITA FALLS,380,310,5766,04-23-2020
421,UT- OGDEN,482,248,3844,04-23-2020
422,UT- PROVO,747,155,3844,04-23-2020
423,UT- SALT LAKE CITY,3764,186,3844,04-23-2020
424,VT- BURLINGTON,1367,217,3844,04-23-2020
426,VA- ARLINGTON,2769,124,4805,04-23-2020
427,VA- CHARLOTTESVILLE,1372,31,7688,04-23-2020
428,VA- LYNCHBURG,535,217,1922,04-23-2020
429,VA- NEWPORT NEWS,1108,31,3844,04-23-2020
430,VA- NORFOLK,2552,155,4805,04-23-2020
431,VA- RICHMOND,4483,217,1922,04-23-2020
432,VA- ROANOKE,2701,93,6727,04-23-2020
435,VA- WINCHESTER,716,217,9610,04-23-2020
437,WA- EVERETT,573,248,6727,04-23-2020
438,WA- OLYMPIA,520,155,3844,04-23-2020
439,WA- SEATTLE,5288,155,7688,04-23-2020
440,WA- SPOKANE,3635,124,3844,04-23-2020
441,WA- TACOMA,917,310,961,04-23-2020
442,WA- YAKIMA,362,217,1922,04-23-2020
443,WV- CHARLESTON,2146,279,5766,04-23-2020
444,WV- HUNTINGTON,1526,124,8649,04-23-2020
445,WV- MORGANTOWN,1577,186,7688,04-23-2020
446,WI- APPLETON,400,217,7688,04-23-2020
447,WI- GREEN BAY,1570,31,7688,04-23-2020
448,WI- LA CROSSE,893,62,4805,04-23-2020
449,WI- MADISON,2823,186,8649,04-23-2020
450,WI- MARSHFIELD,992,186,2883,04-23-2020
451,WI- MILWAUKEE,8002,248,6727,04-23-2020
303,NY- NEW YORK,15422,124,2883,04-23-2020
452,WI- NEENAH,372,186,3844,04-23-2020
456,WI- WAUSAU,255,310,5766,04-23-2020
457,WY- CASPER,391,310,2883,04-23-2020
