HRRNum,HRR City,Last Update,Beds Avail,Vent. Avail,Staff Avail,Beds Needed,Vents Needed,Staff Needed,Cases
133,FL- PANAMA CITY,03-26-2020,664,332,NA,50,10,NA,250
134,FL- PENSACOLA,03-26-2020,2349,1174,NA,10,2,NA,75
137,FL- SARASOTA,03-26-2020,1445,722,NA,40,12,NA,250
139,FL- ST PETERSBURG,03-26-2020,1598,799,NA,40,8,NA,50
140,FL- TALLAHASSEE,03-26-2020,2697,1348,NA,20,4,NA,25
141,FL- TAMPA,03-26-2020,4260,2130,NA,15,4,NA,225
142,GA- ALBANY,03-26-2020,1063,531,NA,30,9,NA,225
144,GA- ATLANTA,03-26-2020,11979,5989,NA,35,7,NA,175
145,GA- AUGUSTA,03-26-2020,2455,1227,NA,35,7,NA,25
146,GA- COLUMBUS,03-26-2020,1259,629,NA,10,3,NA,50
147,GA- MACON,03-26-2020,2236,1118,NA,35,7,NA,75
148,GA- ROME,03-26-2020,732,366,NA,50,15,NA,100
149,GA- SAVANNAH,03-26-2020,2058,1029,NA,45,4,NA,75
151,ID- BOISE,03-26-2020,2077,1038,NA,5,1,NA,225
152,ID- IDAHO FALLS,03-26-2020,461,230,NA,20,4,NA,150
154,IL- AURORA,03-26-2020,527,263,NA,10,2,NA,125
155,IL- BLUE ISLAND,03-26-2020,2536,1268,NA,30,3,NA,125
156,IL- CHICAGO,03-26-2020,8560,4280,NA,45,9,NA,100
158,IL- ELGIN,03-26-2020,1086,543,NA,30,6,NA,100
161,IL- EVANSTON,03-26-2020,2416,1208,NA,15,3,NA,50
163,IL- HINSDALE,03-26-2020,1100,550,NA,30,9,NA,50
164,IL- JOLIET,03-26-2020,1326,663,NA,10,1,NA,175
166,IL- MELROSE PARK,03-26-2020,3094,1547,NA,35,3,NA,50
170,IL- PEORIA,03-26-2020,1859,929,NA,10,2,NA,75
171,IL- ROCKFORD,03-26-2020,1531,765,NA,15,3,NA,25
172,IL- SPRINGFIELD,03-26-2020,2545,1272,NA,45,9,NA,100
173,IL- URBANA,03-26-2020,1039,519,NA,50,15,NA,100
175,IL- BLOOMINGTON,03-26-2020,267,133,NA,35,3,NA,250
179,IN- EVANSVILLE,03-26-2020,2045,1022,NA,10,2,NA,125
180,IN- FORT WAYNE,03-26-2020,2212,1106,NA,30,3,NA,25
181,IN- GARY,03-26-2020,1506,753,NA,35,3,NA,125
183,IN- INDIANAPOLIS,03-26-2020,6417,3208,NA,35,10,NA,125
184,IN- LAFAYETTE,03-26-2020,741,370,NA,40,12,NA,150
185,IN- MUNCIE,03-26-2020,419,209,NA,40,8,NA,25
186,IN- MUNSTER,03-26-2020,1154,577,NA,30,6,NA,200
187,IN- SOUTH BEND,03-26-2020,1529,764,NA,30,9,NA,125
188,IN- TERRE HAUTE,03-26-2020,539,269,NA,5,1,NA,150
190,IA- CEDAR RAPIDS,03-26-2020,1116,558,NA,5,1,NA,50
191,IA- DAVENPORT,03-26-2020,2223,1111,NA,5,1,NA,250
192,IA- DES MOINES,03-26-2020,3293,1646,NA,25,7,NA,75
193,IA- DUBUQUE,03-26-2020,545,272,NA,25,7,NA,125
194,IA- IOWA CITY,03-26-2020,1943,971,NA,45,13,NA,25
195,IA- MASON CITY,03-26-2020,733,366,NA,35,3,NA,150
196,IA- SIOUX CITY,03-26-2020,1132,566,NA,40,12,NA,200
197,IA- WATERLOO,03-26-2020,639,319,NA,15,1,NA,125
200,KS- TOPEKA,03-26-2020,1547,773,NA,30,6,NA,100
201,KS- WICHITA,03-26-2020,4950,2475,NA,20,6,NA,150
203,KY- COVINGTON,03-26-2020,1101,550,NA,10,1,NA,75
204,KY- LEXINGTON,03-26-2020,5206,2603,NA,15,1,NA,50
205,KY- LOUISVILLE,03-26-2020,4816,2408,NA,15,3,NA,100
207,KY- OWENSBORO,03-26-2020,472,236,NA,10,3,NA,225
208,KY- PADUCAH,03-26-2020,1622,811,NA,50,10,NA,250
209,LA- ALEXANDRIA,03-26-2020,991,495,NA,30,3,NA,125
210,LA- BATON ROUGE,03-26-2020,2480,1240,NA,50,15,NA,150
212,LA- HOUMA,03-26-2020,701,350,NA,30,9,NA,50
213,LA- LAFAYETTE,03-26-2020,2162,1081,NA,20,2,NA,125
214,LA- LAKE CHARLES,03-26-2020,865,432,NA,10,1,NA,100
216,LA- METAIRIE,03-26-2020,1011,505,NA,45,4,NA,250
217,LA- MONROE,03-26-2020,925,462,NA,35,10,NA,175
218,LA- NEW ORLEANS,03-26-2020,2425,1212,NA,20,2,NA,125
219,LA- SHREVEPORT,03-26-2020,2736,1368,NA,15,3,NA,50
220,LA- SLIDELL,03-26-2020,504,252,NA,50,10,NA,125
221,ME- BANGOR,03-26-2020,1090,545,NA,10,1,NA,125
222,ME- PORTLAND,03-26-2020,2625,1312,NA,15,4,NA,200
223,MD- BALTIMORE,03-26-2020,6745,3372,NA,40,8,NA,250
225,MD- SALISBURY,03-26-2020,937,468,NA,25,2,NA,250
226,MD- TAKOMA PARK,03-26-2020,1287,643,NA,25,2,NA,150
227,MA- BOSTON,03-26-2020,10984,5492,NA,30,6,NA,100
230,MA- SPRINGFIELD,03-26-2020,1601,800,NA,50,10,NA,250
231,MA- WORCESTER,03-26-2020,1642,821,NA,50,15,NA,75
232,MI- ANN ARBOR,03-26-2020,3264,1632,NA,50,10,NA,125
233,MI- DEARBORN,03-26-2020,1644,822,NA,50,10,NA,225
234,MI- DETROIT,03-26-2020,4659,2329,NA,45,4,NA,75
235,MI- FLINT,03-26-2020,1326,663,NA,20,6,NA,50
236,MI- GRAND RAPIDS,03-26-2020,2309,1154,NA,40,8,NA,75
238,MI- KALAMAZOO,03-26-2020,1477,738,NA,5,0,NA,75
239,MI- LANSING,03-26-2020,1535,767,NA,25,7,NA,175
240,MI- MARQUETTE,03-26-2020,488,244,NA,15,4,NA,25
242,MI- MUSKEGON,03-26-2020,536,268,NA,50,5,NA,25
243,MI- PETOSKEY,03-26-2020,346,173,NA,15,1,NA,225
244,MI- PONTIAC,03-26-2020,1184,592,NA,45,13,NA,150
245,MI- ROYAL OAK,03-26-2020,2642,1321,NA,15,4,NA,200
246,MI- SAGINAW,03-26-2020,2096,1048,NA,5,1,NA,50
248,MI- ST JOSEPH,03-26-2020,302,151,NA,20,4,NA,225
249,MI- TRAVERSE CITY,03-26-2020,509,254,NA,50,5,NA,25
250,MN- DULUTH,03-26-2020,1162,581,NA,25,7,NA,75
251,MN- MINNEAPOLIS,03-26-2020,8515,4257,NA,5,1,NA,200
253,MN- ROCHESTER,03-26-2020,2599,1299,NA,35,7,NA,75
254,MN- ST CLOUD,03-26-2020,707,353,NA,40,4,NA,175
256,MN- ST PAUL,03-26-2020,2285,1142,NA,5,0,NA,50
257,MS- GULFPORT,03-26-2020,773,386,NA,15,4,NA,150
258,MS- HATTIESBURG,03-26-2020,1210,605,NA,15,3,NA,225
259,MS- JACKSON,03-26-2020,4481,2240,NA,15,3,NA,25
260,MS- MERIDIAN,03-26-2020,978,489,NA,20,2,NA,50
261,MS- OXFORD,03-26-2020,638,319,NA,25,2,NA,250
262,MS- TUPELO,03-26-2020,1630,815,NA,25,2,NA,50
263,MO- CAPE GIRARDEAU,03-26-2020,1027,513,NA,30,3,NA,75
264,MO- COLUMBIA,03-26-2020,1844,922,NA,40,8,NA,200
267,MO- JOPLIN,03-26-2020,954,477,NA,45,4,NA,75
268,MO- KANSAS CITY,03-26-2020,7925,3962,NA,10,1,NA,250
270,MO- SPRINGFIELD,03-26-2020,1959,979,NA,5,1,NA,225
273,MO- ST LOUIS,03-26-2020,12201,6100,NA,30,9,NA,200
274,MT- BILLINGS,03-26-2020,2209,1104,NA,45,9,NA,100
275,MT- GREAT FALLS,03-26-2020,805,402,NA,35,10,NA,200
276,MT- MISSOULA,03-26-2020,1159,579,NA,25,5,NA,25
277,NE- LINCOLN,03-26-2020,1837,918,NA,5,1,NA,225
278,NE- OMAHA,03-26-2020,5467,2733,NA,30,6,NA,100
279,NV- LAS VEGAS,03-26-2020,4082,2041,NA,30,6,NA,100
280,NV- RENO,03-26-2020,1921,960,NA,45,13,NA,75
281,NH- LEBANON,03-26-2020,971,485,NA,20,6,NA,25
282,NH- MANCHESTER,03-26-2020,1974,987,NA,15,3,NA,250
283,NJ- CAMDEN,03-26-2020,7987,3993,NA,5,1,NA,250
284,NJ- HACKENSACK,03-26-2020,3729,1864,NA,20,4,NA,25
285,NJ- MORRISTOWN,03-26-2020,1928,964,NA,10,3,NA,50
288,NJ- NEW BRUNSWICK,03-26-2020,2766,1383,NA,30,3,NA,100
289,NJ- NEWARK,03-26-2020,4861,2430,NA,35,10,NA,225
291,NJ- PATERSON,03-26-2020,1178,589,NA,15,4,NA,225
292,NJ- RIDGEWOOD,03-26-2020,792,396,NA,50,15,NA,25
293,NM- ALBUQUERQUE,03-26-2020,3359,1679,NA,10,2,NA,225
295,NY- ALBANY,03-26-2020,4929,2464,NA,5,0,NA,25
296,NY- BINGHAMTON,03-26-2020,929,464,NA,45,13,NA,150
297,NY- BRONX,03-26-2020,3620,1810,NA,5,1,NA,225
299,NY- BUFFALO,03-26-2020,3595,1797,NA,20,6,NA,25
300,NY- ELMIRA,03-26-2020,1077,538,NA,20,2,NA,25
301,NY- EAST LONG ISLAND,03-26-2020,10939,5469,NA,30,3,NA,200
304,NY- ROCHESTER,03-26-2020,2960,1480,NA,45,4,NA,175
307,NY- SYRACUSE,03-26-2020,2825,1412,NA,35,10,NA,200
308,NY- WHITE PLAINS,03-26-2020,2969,1484,NA,50,5,NA,75
309,NC- ASHEVILLE,03-26-2020,1878,939,NA,20,4,NA,150
311,NC- CHARLOTTE,03-26-2020,5792,2896,NA,50,10,NA,50
312,NC- DURHAM,03-26-2020,4617,2308,NA,30,6,NA,175
313,NC- GREENSBORO,03-26-2020,1794,897,NA,30,9,NA,200
314,NC- GREENVILLE,03-26-2020,2509,1254,NA,10,1,NA,100
315,NC- HICKORY,03-26-2020,748,374,NA,45,4,NA,25
318,NC- RALEIGH,03-26-2020,4235,2117,NA,40,8,NA,125
319,NC- WILMINGTON,03-26-2020,1217,608,NA,35,3,NA,200
320,NC- WINSTON-SALEM,03-26-2020,3682,1841,NA,40,8,NA,125
321,ND- BISMARCK,03-26-2020,838,419,NA,5,1,NA,250
322,ND- FARGO MOORHEAD -MN,03-26-2020,2029,1014,NA,40,4,NA,25
323,ND- GRAND FORKS,03-26-2020,587,293,NA,25,7,NA,100
324,ND- MINOT,03-26-2020,700,350,NA,40,12,NA,200
325,OH- AKRON,03-26-2020,2426,1213,NA,10,1,NA,150
326,OH- CANTON,03-26-2020,2115,1057,NA,50,5,NA,250
327,OH- CINCINNATI,03-26-2020,4794,2397,NA,30,3,NA,150
328,OH- CLEVELAND,03-26-2020,8826,4413,NA,10,3,NA,75
329,OH- COLUMBUS,03-26-2020,8955,4477,NA,15,1,NA,25
330,OH- DAYTON,03-26-2020,3268,1634,NA,25,2,NA,25
331,OH- ELYRIA,03-26-2020,725,362,NA,35,10,NA,125
332,OH- KETTERING,03-26-2020,1156,578,NA,30,6,NA,100
334,OH- TOLEDO,03-26-2020,4189,2094,NA,5,0,NA,150
335,OH- YOUNGSTOWN,03-26-2020,2600,1300,NA,10,1,NA,100
336,OK- LAWTON,03-26-2020,713,356,NA,50,15,NA,200
339,OK- OKLAHOMA CITY,03-26-2020,6580,3290,NA,10,3,NA,200
340,OK- TULSA,03-26-2020,5022,2511,NA,35,7,NA,25
341,OR- BEND,03-26-2020,405,202,NA,50,5,NA,250
342,OR- EUGENE,03-26-2020,1175,587,NA,15,1,NA,225
343,OR- MEDFORD,03-26-2020,965,482,NA,25,7,NA,50
344,OR- PORTLAND,03-26-2020,5236,2618,NA,40,8,NA,50
345,OR- SALEM,03-26-2020,436,218,NA,10,2,NA,50
346,PA- ALLENTOWN,03-26-2020,3157,1578,NA,25,7,NA,75
347,PA- ALTOONA,03-26-2020,695,347,NA,5,1,NA,225
350,PA- DANVILLE,03-26-2020,1519,759,NA,30,3,NA,75
351,PA- ERIE,03-26-2020,2226,1113,NA,15,4,NA,175
352,PA- HARRISBURG,03-26-2020,2291,1145,NA,15,3,NA,250
354,PA- JOHNSTOWN,03-26-2020,740,370,NA,10,2,NA,25
355,PA- LANCASTER,03-26-2020,1191,595,NA,15,1,NA,25
356,PA- PHILADELPHIA,03-26-2020,12454,6227,NA,10,1,NA,175
357,PA- PITTSBURGH,03-26-2020,11672,5836,NA,40,8,NA,75
358,PA- READING,03-26-2020,1424,712,NA,10,1,NA,100
359,PA- SAYRE,03-26-2020,471,235,NA,30,6,NA,100
360,PA- SCRANTON,03-26-2020,882,441,NA,15,4,NA,200
362,PA- WILKES-BARRE,03-26-2020,655,327,NA,45,13,NA,75
363,PA- YORK,03-26-2020,831,415,NA,20,2,NA,25
364,RI- PROVIDENCE,03-26-2020,3132,1566,NA,35,7,NA,125
365,SC- CHARLESTON,03-26-2020,2977,1488,NA,10,2,NA,150
366,SC- COLUMBIA,03-26-2020,3748,1874,NA,5,1,NA,150
367,SC- FLORENCE,03-26-2020,1341,670,NA,50,10,NA,175
368,SC- GREENVILLE,03-26-2020,2392,1196,NA,40,12,NA,225
369,SC- SPARTANBURG,03-26-2020,1061,530,NA,30,9,NA,50
370,SD- RAPID CITY,03-26-2020,688,344,NA,35,3,NA,175
371,SD- SIOUX FALLS,03-26-2020,2774,1387,NA,30,6,NA,75
373,TN- CHATTANOOGA,03-26-2020,2241,1120,NA,10,3,NA,175
374,TN- JACKSON,03-26-2020,1350,675,NA,50,5,NA,125
375,TN- JOHNSON CITY,03-26-2020,940,470,NA,20,2,NA,125
376,TN- KINGSPORT,03-26-2020,1986,993,NA,50,10,NA,175
377,TN- KNOXVILLE,03-26-2020,4175,2087,NA,50,15,NA,200
379,TN- MEMPHIS,03-26-2020,6318,3159,NA,15,1,NA,25
380,TN- NASHVILLE,03-26-2020,8554,4277,NA,45,13,NA,250
382,TX- ABILENE,03-26-2020,1328,664,NA,15,4,NA,225
383,TX- AMARILLO,03-26-2020,1502,751,NA,5,1,NA,100
385,TX- AUSTIN,03-26-2020,3498,1749,NA,5,1,NA,250
386,TX- BEAUMONT,03-26-2020,1370,685,NA,10,2,NA,225
388,TX- BRYAN,03-26-2020,612,306,NA,10,3,NA,150
390,TX- CORPUS CHRISTI,03-26-2020,2052,1026,NA,10,1,NA,100
391,TX- DALLAS,03-26-2020,12245,6122,NA,15,4,NA,75
393,TX- EL PASO,03-26-2020,2745,1372,NA,35,7,NA,125
394,TX- FORT WORTH,03-26-2020,5007,2503,NA,35,3,NA,150
396,TX- HARLINGEN,03-26-2020,1418,709,NA,5,1,NA,25
397,TX- HOUSTON,03-26-2020,17066,8533,NA,45,4,NA,250
399,TX- LONGVIEW,03-26-2020,686,343,NA,25,2,NA,225
400,TX- LUBBOCK,03-26-2020,2390,1195,NA,5,0,NA,250
402,TX- MCALLEN,03-26-2020,1586,793,NA,5,1,NA,125
406,TX- ODESSA,03-26-2020,1292,646,NA,45,13,NA,150
411,TX- SAN ANGELO,03-26-2020,687,343,NA,40,4,NA,75
412,TX- SAN ANTONIO,03-26-2020,7236,3618,NA,40,12,NA,125
413,TX- TEMPLE,03-26-2020,939,469,NA,50,10,NA,75
416,TX- TYLER,03-26-2020,1604,802,NA,25,5,NA,25
417,TX- VICTORIA,03-26-2020,767,383,NA,45,13,NA,50
418,TX- WACO,03-26-2020,597,298,NA,50,10,NA,75
420,TX- WICHITA FALLS,03-26-2020,690,345,NA,35,7,NA,200
421,UT- OGDEN,03-26-2020,730,365,NA,20,2,NA,100
422,UT- PROVO,03-26-2020,902,451,NA,35,10,NA,100
423,UT- SALT LAKE CITY,03-26-2020,3950,1975,NA,35,3,NA,200
424,VT- BURLINGTON,03-26-2020,1584,792,NA,45,13,NA,100
426,VA- ARLINGTON,03-26-2020,2893,1446,NA,5,0,NA,250
427,VA- CHARLOTTESVILLE,03-26-2020,1403,701,NA,20,6,NA,250
428,VA- LYNCHBURG,03-26-2020,752,376,NA,45,4,NA,100
429,VA- NEWPORT NEWS,03-26-2020,1139,569,NA,40,4,NA,100
430,VA- NORFOLK,03-26-2020,2707,1353,NA,45,9,NA,250
431,VA- RICHMOND,03-26-2020,4700,2350,NA,25,7,NA,25
432,VA- ROANOKE,03-26-2020,2794,1397,NA,20,6,NA,175
435,VA- WINCHESTER,03-26-2020,933,466,NA,20,2,NA,200
437,WA- EVERETT,03-26-2020,821,410,NA,25,7,NA,75
438,WA- OLYMPIA,03-26-2020,675,337,NA,40,4,NA,125
439,WA- SEATTLE,03-26-2020,5443,2721,NA,5,0,NA,150
440,WA- SPOKANE,03-26-2020,3759,1879,NA,45,9,NA,250
441,WA- TACOMA,03-26-2020,1227,613,NA,10,2,NA,250
442,WA- YAKIMA,03-26-2020,579,289,NA,50,15,NA,25
443,WV- CHARLESTON,03-26-2020,2425,1212,NA,35,10,NA,200
444,WV- HUNTINGTON,03-26-2020,1650,825,NA,5,0,NA,50
445,WV- MORGANTOWN,03-26-2020,1763,881,NA,10,3,NA,250
446,WI- APPLETON,03-26-2020,617,308,NA,15,1,NA,175
447,WI- GREEN BAY,03-26-2020,1601,800,NA,15,4,NA,125
448,WI- LA CROSSE,03-26-2020,955,477,NA,15,1,NA,100
449,WI- MADISON,03-26-2020,3009,1504,NA,15,3,NA,175
450,WI- MARSHFIELD,03-26-2020,1178,589,NA,25,5,NA,200
451,WI- MILWAUKEE,03-26-2020,8250,4125,NA,25,7,NA,100
303,NY- NEW YORK,03-26-2020,15546,7773,NA,40,4,NA,75
452,WI- NEENAH,03-26-2020,558,279,NA,30,3,NA,175
456,WI- WAUSAU,03-26-2020,565,282,NA,35,7,NA,100
457,WY- CASPER,03-26-2020,701,350,NA,25,2,NA,125
