HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
134,FL- PENSACOLA,04-26-2020,2349,1174,NA,165,49,NA,21175
137,FL- SARASOTA,04-26-2020,1445,722,NA,385,38,NA,15125
139,FL- ST PETERSBURG,04-26-2020,1598,799,NA,550,110,NA,18150
140,FL- TALLAHASSEE,04-26-2020,2697,1348,NA,165,16,NA,3025
141,FL- TAMPA,04-26-2020,4260,2130,NA,165,33,NA,30250
142,GA- ALBANY,04-26-2020,1063,531,NA,550,55,NA,12100
144,GA- ATLANTA,04-26-2020,11979,5989,NA,385,77,NA,30250
145,GA- AUGUSTA,04-26-2020,2455,1227,NA,110,22,NA,12100
146,GA- COLUMBUS,04-26-2020,1259,629,NA,220,66,NA,6050
147,GA- MACON,04-26-2020,2236,1118,NA,550,55,NA,18150
148,GA- ROME,04-26-2020,732,366,NA,165,16,NA,27225
149,GA- SAVANNAH,04-26-2020,2058,1029,NA,165,49,NA,3025
151,ID- BOISE,04-26-2020,2077,1038,NA,55,5,NA,9075
152,ID- IDAHO FALLS,04-26-2020,461,230,NA,495,148,NA,24200
154,IL- AURORA,04-26-2020,527,263,NA,495,49,NA,12100
155,IL- BLUE ISLAND,04-26-2020,2536,1268,NA,275,55,NA,21175
156,IL- CHICAGO,04-26-2020,8560,4280,NA,440,132,NA,27225
158,IL- ELGIN,04-26-2020,1086,543,NA,495,49,NA,9075
161,IL- EVANSTON,04-26-2020,2416,1208,NA,385,115,NA,12100
163,IL- HINSDALE,04-26-2020,1100,550,NA,550,110,NA,21175
164,IL- JOLIET,04-26-2020,1326,663,NA,275,82,NA,21175
166,IL- MELROSE PARK,04-26-2020,3094,1547,NA,165,16,NA,9075
170,IL- PEORIA,04-26-2020,1859,929,NA,330,99,NA,6050
171,IL- ROCKFORD,04-26-2020,1531,765,NA,275,82,NA,9075
172,IL- SPRINGFIELD,04-26-2020,2545,1272,NA,385,38,NA,15125
173,IL- URBANA,04-26-2020,1039,519,NA,165,49,NA,18150
175,IL- BLOOMINGTON,04-26-2020,267,133,NA,385,115,NA,30250
179,IN- EVANSVILLE,04-26-2020,2045,1022,NA,275,55,NA,15125
180,IN- FORT WAYNE,04-26-2020,2212,1106,NA,440,132,NA,27225
181,IN- GARY,04-26-2020,1506,753,NA,495,99,NA,24200
183,IN- INDIANAPOLIS,04-26-2020,6417,3208,NA,275,27,NA,30250
184,IN- LAFAYETTE,04-26-2020,741,370,NA,330,33,NA,30250
185,IN- MUNCIE,04-26-2020,419,209,NA,550,165,NA,6050
186,IN- MUNSTER,04-26-2020,1154,577,NA,440,132,NA,18150
187,IN- SOUTH BEND,04-26-2020,1529,764,NA,275,27,NA,3025
188,IN- TERRE HAUTE,04-26-2020,539,269,NA,55,16,NA,21175
190,IA- CEDAR RAPIDS,04-26-2020,1116,558,NA,275,27,NA,9075
191,IA- DAVENPORT,04-26-2020,2223,1111,NA,440,132,NA,24200
192,IA- DES MOINES,04-26-2020,3293,1646,NA,550,110,NA,18150
193,IA- DUBUQUE,04-26-2020,545,272,NA,220,66,NA,24200
194,IA- IOWA CITY,04-26-2020,1943,971,NA,55,16,NA,30250
195,IA- MASON CITY,04-26-2020,733,366,NA,440,132,NA,24200
196,IA- SIOUX CITY,04-26-2020,1132,566,NA,55,5,NA,9075
197,IA- WATERLOO,04-26-2020,639,319,NA,550,55,NA,24200
200,KS- TOPEKA,04-26-2020,1547,773,NA,220,44,NA,21175
201,KS- WICHITA,04-26-2020,4950,2475,NA,275,27,NA,9075
203,KY- COVINGTON,04-26-2020,1101,550,NA,220,66,NA,9075
204,KY- LEXINGTON,04-26-2020,5206,2603,NA,385,115,NA,21175
205,KY- LOUISVILLE,04-26-2020,4816,2408,NA,110,11,NA,18150
207,KY- OWENSBORO,04-26-2020,472,236,NA,385,38,NA,3025
208,KY- PADUCAH,04-26-2020,1622,811,NA,495,99,NA,27225
209,LA- ALEXANDRIA,04-26-2020,991,495,NA,550,55,NA,12100
210,LA- BATON ROUGE,04-26-2020,2480,1240,NA,440,132,NA,24200
212,LA- HOUMA,04-26-2020,701,350,NA,440,132,NA,21175
213,LA- LAFAYETTE,04-26-2020,2162,1081,NA,550,55,NA,18150
214,LA- LAKE CHARLES,04-26-2020,865,432,NA,385,38,NA,21175
216,LA- METAIRIE,04-26-2020,1011,505,NA,55,16,NA,6050
217,LA- MONROE,04-26-2020,925,462,NA,220,66,NA,21175
218,LA- NEW ORLEANS,04-26-2020,2425,1212,NA,330,33,NA,12100
219,LA- SHREVEPORT,04-26-2020,2736,1368,NA,110,11,NA,3025
220,LA- SLIDELL,04-26-2020,504,252,NA,440,88,NA,9075
221,ME- BANGOR,04-26-2020,1090,545,NA,275,55,NA,3025
222,ME- PORTLAND,04-26-2020,2625,1312,NA,550,55,NA,30250
223,MD- BALTIMORE,04-26-2020,6745,3372,NA,220,66,NA,15125
225,MD- SALISBURY,04-26-2020,937,468,NA,440,132,NA,3025
226,MD- TAKOMA PARK,04-26-2020,1287,643,NA,55,5,NA,18150
227,MA- BOSTON,04-26-2020,10984,5492,NA,220,44,NA,24200
230,MA- SPRINGFIELD,04-26-2020,1601,800,NA,55,5,NA,9075
231,MA- WORCESTER,04-26-2020,1642,821,NA,440,132,NA,9075
232,MI- ANN ARBOR,04-26-2020,3264,1632,NA,385,38,NA,30250
233,MI- DEARBORN,04-26-2020,1644,822,NA,495,99,NA,3025
234,MI- DETROIT,04-26-2020,4659,2329,NA,275,82,NA,3025
235,MI- FLINT,04-26-2020,1326,663,NA,550,110,NA,9075
236,MI- GRAND RAPIDS,04-26-2020,2309,1154,NA,220,66,NA,6050
238,MI- KALAMAZOO,04-26-2020,1477,738,NA,495,99,NA,15125
239,MI- LANSING,04-26-2020,1535,767,NA,440,132,NA,18150
240,MI- MARQUETTE,04-26-2020,488,244,NA,220,22,NA,9075
242,MI- MUSKEGON,04-26-2020,536,268,NA,220,66,NA,24200
243,MI- PETOSKEY,04-26-2020,346,173,NA,330,33,NA,30250
244,MI- PONTIAC,04-26-2020,1184,592,NA,550,55,NA,12100
245,MI- ROYAL OAK,04-26-2020,2642,1321,NA,440,88,NA,9075
246,MI- SAGINAW,04-26-2020,2096,1048,NA,550,55,NA,24200
248,MI- ST JOSEPH,04-26-2020,302,151,NA,275,55,NA,18150
249,MI- TRAVERSE CITY,04-26-2020,509,254,NA,550,110,NA,27225
250,MN- DULUTH,04-26-2020,1162,581,NA,55,11,NA,27225
251,MN- MINNEAPOLIS,04-26-2020,8515,4257,NA,385,77,NA,21175
253,MN- ROCHESTER,04-26-2020,2599,1299,NA,495,148,NA,30250
254,MN- ST CLOUD,04-26-2020,707,353,NA,220,44,NA,18150
256,MN- ST PAUL,04-26-2020,2285,1142,NA,495,99,NA,6050
257,MS- GULFPORT,04-26-2020,773,386,NA,330,66,NA,6050
258,MS- HATTIESBURG,04-26-2020,1210,605,NA,385,77,NA,3025
259,MS- JACKSON,04-26-2020,4481,2240,NA,330,33,NA,21175
260,MS- MERIDIAN,04-26-2020,978,489,NA,495,49,NA,27225
261,MS- OXFORD,04-26-2020,638,319,NA,495,148,NA,12100
262,MS- TUPELO,04-26-2020,1630,815,NA,165,33,NA,6050
263,MO- CAPE GIRARDEAU,04-26-2020,1027,513,NA,275,55,NA,3025
264,MO- COLUMBIA,04-26-2020,1844,922,NA,165,16,NA,6050
267,MO- JOPLIN,04-26-2020,954,477,NA,330,33,NA,3025
268,MO- KANSAS CITY,04-26-2020,7925,3962,NA,385,38,NA,9075
270,MO- SPRINGFIELD,04-26-2020,1959,979,NA,110,11,NA,9075
273,MO- ST LOUIS,04-26-2020,12201,6100,NA,220,66,NA,18150
274,MT- BILLINGS,04-26-2020,2209,1104,NA,330,66,NA,24200
275,MT- GREAT FALLS,04-26-2020,805,402,NA,330,33,NA,18150
276,MT- MISSOULA,04-26-2020,1159,579,NA,220,44,NA,27225
277,NE- LINCOLN,04-26-2020,1837,918,NA,550,55,NA,18150
278,NE- OMAHA,04-26-2020,5467,2733,NA,330,66,NA,15125
279,NV- LAS VEGAS,04-26-2020,4082,2041,NA,165,16,NA,30250
280,NV- RENO,04-26-2020,1921,960,NA,220,22,NA,15125
281,NH- LEBANON,04-26-2020,971,485,NA,440,132,NA,30250
282,NH- MANCHESTER,04-26-2020,1974,987,NA,110,22,NA,30250
283,NJ- CAMDEN,04-26-2020,7987,3993,NA,495,148,NA,6050
284,NJ- HACKENSACK,04-26-2020,3729,1864,NA,330,33,NA,24200
285,NJ- MORRISTOWN,04-26-2020,1928,964,NA,220,22,NA,24200
288,NJ- NEW BRUNSWICK,04-26-2020,2766,1383,NA,165,49,NA,27225
289,NJ- NEWARK,04-26-2020,4861,2430,NA,440,44,NA,21175
291,NJ- PATERSON,04-26-2020,1178,589,NA,165,49,NA,12100
292,NJ- RIDGEWOOD,04-26-2020,792,396,NA,550,165,NA,12100
293,NM- ALBUQUERQUE,04-26-2020,3359,1679,NA,55,5,NA,6050
295,NY- ALBANY,04-26-2020,4929,2464,NA,165,16,NA,18150
296,NY- BINGHAMTON,04-26-2020,929,464,NA,275,82,NA,18150
297,NY- BRONX,04-26-2020,3620,1810,NA,440,88,NA,30250
299,NY- BUFFALO,04-26-2020,3595,1797,NA,550,165,NA,12100
300,NY- ELMIRA,04-26-2020,1077,538,NA,550,165,NA,9075
301,NY- EAST LONG ISLAND,04-26-2020,10939,5469,NA,220,66,NA,15125
304,NY- ROCHESTER,04-26-2020,2960,1480,NA,55,5,NA,9075
307,NY- SYRACUSE,04-26-2020,2825,1412,NA,550,165,NA,9075
308,NY- WHITE PLAINS,04-26-2020,2969,1484,NA,220,44,NA,27225
309,NC- ASHEVILLE,04-26-2020,1878,939,NA,550,55,NA,18150
311,NC- CHARLOTTE,04-26-2020,5792,2896,NA,385,115,NA,30250
312,NC- DURHAM,04-26-2020,4617,2308,NA,495,99,NA,30250
313,NC- GREENSBORO,04-26-2020,1794,897,NA,440,88,NA,24200
314,NC- GREENVILLE,04-26-2020,2509,1254,NA,55,5,NA,30250
315,NC- HICKORY,04-26-2020,748,374,NA,550,165,NA,6050
318,NC- RALEIGH,04-26-2020,4235,2117,NA,220,22,NA,15125
319,NC- WILMINGTON,04-26-2020,1217,608,NA,495,148,NA,9075
320,NC- WINSTON-SALEM,04-26-2020,3682,1841,NA,165,16,NA,30250
321,ND- BISMARCK,04-26-2020,838,419,NA,330,66,NA,18150
322,ND- FARGO MOORHEAD -MN,04-26-2020,2029,1014,NA,495,148,NA,27225
323,ND- GRAND FORKS,04-26-2020,587,293,NA,495,49,NA,27225
324,ND- MINOT,04-26-2020,700,350,NA,495,99,NA,27225
325,OH- AKRON,04-26-2020,2426,1213,NA,550,110,NA,24200
326,OH- CANTON,04-26-2020,2115,1057,NA,385,38,NA,21175
327,OH- CINCINNATI,04-26-2020,4794,2397,NA,220,22,NA,9075
328,OH- CLEVELAND,04-26-2020,8826,4413,NA,55,11,NA,30250
329,OH- COLUMBUS,04-26-2020,8955,4477,NA,110,22,NA,6050
330,OH- DAYTON,04-26-2020,3268,1634,NA,165,16,NA,12100
331,OH- ELYRIA,04-26-2020,725,362,NA,440,88,NA,30250
332,OH- KETTERING,04-26-2020,1156,578,NA,165,16,NA,3025
334,OH- TOLEDO,04-26-2020,4189,2094,NA,275,55,NA,9075
335,OH- YOUNGSTOWN,04-26-2020,2600,1300,NA,165,33,NA,6050
336,OK- LAWTON,04-26-2020,713,356,NA,550,110,NA,30250
339,OK- OKLAHOMA CITY,04-26-2020,6580,3290,NA,110,11,NA,12100
340,OK- TULSA,04-26-2020,5022,2511,NA,440,88,NA,15125
341,OR- BEND,04-26-2020,405,202,NA,165,33,NA,12100
342,OR- EUGENE,04-26-2020,1175,587,NA,495,148,NA,15125
343,OR- MEDFORD,04-26-2020,965,482,NA,330,99,NA,18150
344,OR- PORTLAND,04-26-2020,5236,2618,NA,55,16,NA,6050
345,OR- SALEM,04-26-2020,436,218,NA,495,99,NA,21175
346,PA- ALLENTOWN,04-26-2020,3157,1578,NA,330,66,NA,3025
347,PA- ALTOONA,04-26-2020,695,347,NA,110,11,NA,6050
350,PA- DANVILLE,04-26-2020,1519,759,NA,55,11,NA,24200
351,PA- ERIE,04-26-2020,2226,1113,NA,220,66,NA,18150
352,PA- HARRISBURG,04-26-2020,2291,1145,NA,275,82,NA,15125
354,PA- JOHNSTOWN,04-26-2020,740,370,NA,275,55,NA,27225
355,PA- LANCASTER,04-26-2020,1191,595,NA,440,44,NA,24200
356,PA- PHILADELPHIA,04-26-2020,12454,6227,NA,220,44,NA,27225
357,PA- PITTSBURGH,04-26-2020,11672,5836,NA,385,38,NA,21175
358,PA- READING,04-26-2020,1424,712,NA,55,5,NA,27225
359,PA- SAYRE,04-26-2020,471,235,NA,385,38,NA,12100
360,PA- SCRANTON,04-26-2020,882,441,NA,220,66,NA,21175
362,PA- WILKES-BARRE,04-26-2020,655,327,NA,55,5,NA,3025
363,PA- YORK,04-26-2020,831,415,NA,55,16,NA,3025
364,RI- PROVIDENCE,04-26-2020,3132,1566,NA,330,33,NA,27225
365,SC- CHARLESTON,04-26-2020,2977,1488,NA,495,148,NA,27225
366,SC- COLUMBIA,04-26-2020,3748,1874,NA,165,49,NA,18150
367,SC- FLORENCE,04-26-2020,1341,670,NA,220,44,NA,6050
368,SC- GREENVILLE,04-26-2020,2392,1196,NA,55,16,NA,18150
369,SC- SPARTANBURG,04-26-2020,1061,530,NA,440,88,NA,9075
370,SD- RAPID CITY,04-26-2020,688,344,NA,495,49,NA,24200
371,SD- SIOUX FALLS,04-26-2020,2774,1387,NA,220,22,NA,9075
373,TN- CHATTANOOGA,04-26-2020,2241,1120,NA,165,33,NA,30250
374,TN- JACKSON,04-26-2020,1350,675,NA,165,49,NA,6050
375,TN- JOHNSON CITY,04-26-2020,940,470,NA,330,33,NA,3025
376,TN- KINGSPORT,04-26-2020,1986,993,NA,110,33,NA,24200
377,TN- KNOXVILLE,04-26-2020,4175,2087,NA,275,55,NA,12100
379,TN- MEMPHIS,04-26-2020,6318,3159,NA,385,115,NA,30250
380,TN- NASHVILLE,04-26-2020,8554,4277,NA,220,22,NA,18150
382,TX- ABILENE,04-26-2020,1328,664,NA,110,11,NA,9075
383,TX- AMARILLO,04-26-2020,1502,751,NA,440,44,NA,24200
385,TX- AUSTIN,04-26-2020,3498,1749,NA,440,44,NA,9075
386,TX- BEAUMONT,04-26-2020,1370,685,NA,55,5,NA,6050
388,TX- BRYAN,04-26-2020,612,306,NA,440,44,NA,24200
390,TX- CORPUS CHRISTI,04-26-2020,2052,1026,NA,385,115,NA,3025
391,TX- DALLAS,04-26-2020,12245,6122,NA,495,99,NA,9075
393,TX- EL PASO,04-26-2020,2745,1372,NA,550,110,NA,21175
394,TX- FORT WORTH,04-26-2020,5007,2503,NA,550,55,NA,9075
396,TX- HARLINGEN,04-26-2020,1418,709,NA,110,11,NA,27225
397,TX- HOUSTON,04-26-2020,17066,8533,NA,220,66,NA,30250
399,TX- LONGVIEW,04-26-2020,686,343,NA,550,55,NA,15125
400,TX- LUBBOCK,04-26-2020,2390,1195,NA,110,22,NA,3025
402,TX- MCALLEN,04-26-2020,1586,793,NA,55,5,NA,12100
406,TX- ODESSA,04-26-2020,1292,646,NA,495,49,NA,24200
411,TX- SAN ANGELO,04-26-2020,687,343,NA,220,66,NA,15125
412,TX- SAN ANTONIO,04-26-2020,7236,3618,NA,330,33,NA,30250
413,TX- TEMPLE,04-26-2020,939,469,NA,440,88,NA,27225
416,TX- TYLER,04-26-2020,1604,802,NA,275,82,NA,27225
417,TX- VICTORIA,04-26-2020,767,383,NA,495,148,NA,30250
418,TX- WACO,04-26-2020,597,298,NA,275,82,NA,9075
420,TX- WICHITA FALLS,04-26-2020,690,345,NA,165,49,NA,24200
421,UT- OGDEN,04-26-2020,730,365,NA,495,148,NA,27225
422,UT- PROVO,04-26-2020,902,451,NA,165,33,NA,27225
423,UT- SALT LAKE CITY,04-26-2020,3950,1975,NA,385,115,NA,15125
424,VT- BURLINGTON,04-26-2020,1584,792,NA,220,44,NA,30250
426,VA- ARLINGTON,04-26-2020,2893,1446,NA,55,5,NA,9075
427,VA- CHARLOTTESVILLE,04-26-2020,1403,701,NA,495,49,NA,9075
428,VA- LYNCHBURG,04-26-2020,752,376,NA,550,165,NA,6050
429,VA- NEWPORT NEWS,04-26-2020,1139,569,NA,220,66,NA,12100
430,VA- NORFOLK,04-26-2020,2707,1353,NA,220,44,NA,3025
431,VA- RICHMOND,04-26-2020,4700,2350,NA,330,66,NA,15125
432,VA- ROANOKE,04-26-2020,2794,1397,NA,550,55,NA,9075
435,VA- WINCHESTER,04-26-2020,933,466,NA,330,66,NA,30250
437,WA- EVERETT,04-26-2020,821,410,NA,165,16,NA,3025
438,WA- OLYMPIA,04-26-2020,675,337,NA,440,88,NA,15125
439,WA- SEATTLE,04-26-2020,5443,2721,NA,330,33,NA,12100
440,WA- SPOKANE,04-26-2020,3759,1879,NA,440,44,NA,9075
441,WA- TACOMA,04-26-2020,1227,613,NA,550,165,NA,21175
442,WA- YAKIMA,04-26-2020,579,289,NA,385,77,NA,6050
443,WV- CHARLESTON,04-26-2020,2425,1212,NA,55,11,NA,3025
444,WV- HUNTINGTON,04-26-2020,1650,825,NA,440,88,NA,15125
445,WV- MORGANTOWN,04-26-2020,1763,881,NA,330,66,NA,30250
446,WI- APPLETON,04-26-2020,617,308,NA,275,55,NA,12100
447,WI- GREEN BAY,04-26-2020,1601,800,NA,55,16,NA,3025
448,WI- LA CROSSE,04-26-2020,955,477,NA,385,38,NA,15125
449,WI- MADISON,04-26-2020,3009,1504,NA,165,16,NA,6050
450,WI- MARSHFIELD,04-26-2020,1178,589,NA,440,88,NA,21175
451,WI- MILWAUKEE,04-26-2020,8250,4125,NA,55,16,NA,18150
303,NY- NEW YORK,04-26-2020,15546,7773,NA,220,66,NA,12100
452,WI- NEENAH,04-26-2020,558,279,NA,550,110,NA,24200
456,WI- WAUSAU,04-26-2020,565,282,NA,55,5,NA,27225
457,WY- CASPER,04-26-2020,701,350,NA,550,55,NA,6050
