HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
87,CA- SANTA CRUZ,04-27-2020,359,179,NA,171,17,NA,9747
89,CA- SANTA ROSA,04-27-2020,1861,930,NA,114,22,NA,16245
91,CA- STOCKTON,04-27-2020,1063,531,NA,228,22,NA,3249
96,CA- VENTURA,04-27-2020,1573,786,NA,285,85,NA,6498
101,CO- BOULDER,04-27-2020,475,237,NA,285,85,NA,16245
102,CO- COLORADO SPRINGS,04-27-2020,1035,517,NA,399,119,NA,12996
103,CO- DENVER,04-27-2020,4777,2388,NA,570,114,NA,12996
104,CO- FORT COLLINS,04-27-2020,639,319,NA,114,22,NA,32490
105,CO- GRAND JUNCTION,04-27-2020,792,396,NA,399,119,NA,12996
106,CO- GREELEY,04-27-2020,777,388,NA,228,68,NA,3249
107,CO- PUEBLO,04-27-2020,798,399,NA,228,45,NA,29241
109,CT- BRIDGEPORT,04-27-2020,1695,847,NA,570,171,NA,3249
110,CT- HARTFORD,04-27-2020,3256,1628,NA,171,34,NA,3249
111,CT- NEW HAVEN,04-27-2020,3852,1926,NA,570,114,NA,19494
112,DE- WILMINGTON,04-27-2020,1862,931,NA,456,136,NA,9747
113,DC- WASHINGTON,04-27-2020,5489,2744,NA,456,91,NA,3249
115,FL- BRADENTON,04-27-2020,709,354,NA,285,57,NA,29241
116,FL- CLEARWATER,04-27-2020,1637,818,NA,570,171,NA,25992
118,FL- FORT LAUDERDALE,04-27-2020,8699,4349,NA,513,153,NA,16245
119,FL- FORT MYERS,04-27-2020,3826,1913,NA,171,17,NA,19494
120,FL- GAINESVILLE,04-27-2020,1841,920,NA,57,5,NA,32490
122,FL- HUDSON,04-27-2020,1252,626,NA,114,34,NA,22743
123,FL- JACKSONVILLE,04-27-2020,4912,2456,NA,513,102,NA,16245
124,FL- LAKELAND,04-27-2020,1068,534,NA,342,102,NA,3249
127,FL- MIAMI,04-27-2020,10782,5391,NA,399,79,NA,22743
129,FL- OCALA,04-27-2020,1368,684,NA,513,51,NA,22743
130,FL- ORLANDO,04-27-2020,10361,5180,NA,228,45,NA,29241
131,FL- ORMOND BEACH,04-27-2020,1654,827,NA,513,102,NA,25992
133,FL- PANAMA CITY,04-27-2020,664,332,NA,513,102,NA,25992
134,FL- PENSACOLA,04-27-2020,2349,1174,NA,285,28,NA,3249
137,FL- SARASOTA,04-27-2020,1445,722,NA,456,45,NA,16245
139,FL- ST PETERSBURG,04-27-2020,1598,799,NA,342,102,NA,3249
140,FL- TALLAHASSEE,04-27-2020,2697,1348,NA,570,171,NA,32490
141,FL- TAMPA,04-27-2020,4260,2130,NA,513,102,NA,32490
142,GA- ALBANY,04-27-2020,1063,531,NA,570,171,NA,6498
144,GA- ATLANTA,04-27-2020,11979,5989,NA,342,34,NA,22743
145,GA- AUGUSTA,04-27-2020,2455,1227,NA,171,51,NA,9747
146,GA- COLUMBUS,04-27-2020,1259,629,NA,399,119,NA,3249
147,GA- MACON,04-27-2020,2236,1118,NA,171,17,NA,22743
148,GA- ROME,04-27-2020,732,366,NA,342,34,NA,29241
149,GA- SAVANNAH,04-27-2020,2058,1029,NA,228,45,NA,19494
151,ID- BOISE,04-27-2020,2077,1038,NA,399,79,NA,29241
152,ID- IDAHO FALLS,04-27-2020,461,230,NA,285,57,NA,19494
154,IL- AURORA,04-27-2020,527,263,NA,513,102,NA,22743
155,IL- BLUE ISLAND,04-27-2020,2536,1268,NA,171,34,NA,19494
156,IL- CHICAGO,04-27-2020,8560,4280,NA,399,39,NA,16245
158,IL- ELGIN,04-27-2020,1086,543,NA,228,68,NA,12996
161,IL- EVANSTON,04-27-2020,2416,1208,NA,171,34,NA,22743
163,IL- HINSDALE,04-27-2020,1100,550,NA,228,68,NA,12996
164,IL- JOLIET,04-27-2020,1326,663,NA,57,11,NA,9747
166,IL- MELROSE PARK,04-27-2020,3094,1547,NA,114,34,NA,9747
170,IL- PEORIA,04-27-2020,1859,929,NA,171,17,NA,12996
171,IL- ROCKFORD,04-27-2020,1531,765,NA,513,153,NA,22743
172,IL- SPRINGFIELD,04-27-2020,2545,1272,NA,228,45,NA,9747
173,IL- URBANA,04-27-2020,1039,519,NA,570,114,NA,6498
175,IL- BLOOMINGTON,04-27-2020,267,133,NA,570,114,NA,22743
179,IN- EVANSVILLE,04-27-2020,2045,1022,NA,570,114,NA,29241
180,IN- FORT WAYNE,04-27-2020,2212,1106,NA,285,57,NA,32490
181,IN- GARY,04-27-2020,1506,753,NA,228,22,NA,25992
183,IN- INDIANAPOLIS,04-27-2020,6417,3208,NA,57,11,NA,3249
184,IN- LAFAYETTE,04-27-2020,741,370,NA,171,34,NA,6498
185,IN- MUNCIE,04-27-2020,419,209,NA,570,114,NA,16245
186,IN- MUNSTER,04-27-2020,1154,577,NA,171,51,NA,12996
187,IN- SOUTH BEND,04-27-2020,1529,764,NA,114,11,NA,29241
188,IN- TERRE HAUTE,04-27-2020,539,269,NA,285,85,NA,25992
190,IA- CEDAR RAPIDS,04-27-2020,1116,558,NA,456,45,NA,25992
191,IA- DAVENPORT,04-27-2020,2223,1111,NA,57,11,NA,12996
192,IA- DES MOINES,04-27-2020,3293,1646,NA,570,171,NA,9747
193,IA- DUBUQUE,04-27-2020,545,272,NA,114,11,NA,16245
194,IA- IOWA CITY,04-27-2020,1943,971,NA,456,45,NA,12996
195,IA- MASON CITY,04-27-2020,733,366,NA,456,136,NA,22743
196,IA- SIOUX CITY,04-27-2020,1132,566,NA,57,17,NA,3249
197,IA- WATERLOO,04-27-2020,639,319,NA,57,17,NA,3249
200,KS- TOPEKA,04-27-2020,1547,773,NA,228,45,NA,6498
201,KS- WICHITA,04-27-2020,4950,2475,NA,513,153,NA,6498
203,KY- COVINGTON,04-27-2020,1101,550,NA,285,85,NA,22743
204,KY- LEXINGTON,04-27-2020,5206,2603,NA,228,45,NA,3249
205,KY- LOUISVILLE,04-27-2020,4816,2408,NA,513,102,NA,25992
207,KY- OWENSBORO,04-27-2020,472,236,NA,513,51,NA,9747
208,KY- PADUCAH,04-27-2020,1622,811,NA,399,119,NA,25992
209,LA- ALEXANDRIA,04-27-2020,991,495,NA,114,22,NA,22743
210,LA- BATON ROUGE,04-27-2020,2480,1240,NA,399,119,NA,22743
212,LA- HOUMA,04-27-2020,701,350,NA,513,102,NA,6498
213,LA- LAFAYETTE,04-27-2020,2162,1081,NA,228,45,NA,29241
214,LA- LAKE CHARLES,04-27-2020,865,432,NA,342,102,NA,12996
216,LA- METAIRIE,04-27-2020,1011,505,NA,57,5,NA,22743
217,LA- MONROE,04-27-2020,925,462,NA,513,51,NA,32490
218,LA- NEW ORLEANS,04-27-2020,2425,1212,NA,57,11,NA,9747
219,LA- SHREVEPORT,04-27-2020,2736,1368,NA,114,34,NA,19494
220,LA- SLIDELL,04-27-2020,504,252,NA,57,17,NA,16245
221,ME- BANGOR,04-27-2020,1090,545,NA,342,34,NA,12996
222,ME- PORTLAND,04-27-2020,2625,1312,NA,342,68,NA,22743
223,MD- BALTIMORE,04-27-2020,6745,3372,NA,171,51,NA,12996
225,MD- SALISBURY,04-27-2020,937,468,NA,285,28,NA,16245
226,MD- TAKOMA PARK,04-27-2020,1287,643,NA,456,45,NA,6498
227,MA- BOSTON,04-27-2020,10984,5492,NA,570,114,NA,9747
230,MA- SPRINGFIELD,04-27-2020,1601,800,NA,513,51,NA,29241
231,MA- WORCESTER,04-27-2020,1642,821,NA,57,5,NA,3249
232,MI- ANN ARBOR,04-27-2020,3264,1632,NA,570,114,NA,3249
233,MI- DEARBORN,04-27-2020,1644,822,NA,399,79,NA,19494
234,MI- DETROIT,04-27-2020,4659,2329,NA,57,17,NA,29241
235,MI- FLINT,04-27-2020,1326,663,NA,228,68,NA,16245
236,MI- GRAND RAPIDS,04-27-2020,2309,1154,NA,114,11,NA,12996
238,MI- KALAMAZOO,04-27-2020,1477,738,NA,228,68,NA,32490
239,MI- LANSING,04-27-2020,1535,767,NA,285,57,NA,3249
240,MI- MARQUETTE,04-27-2020,488,244,NA,342,68,NA,9747
242,MI- MUSKEGON,04-27-2020,536,268,NA,228,45,NA,6498
243,MI- PETOSKEY,04-27-2020,346,173,NA,342,102,NA,22743
244,MI- PONTIAC,04-27-2020,1184,592,NA,342,102,NA,29241
245,MI- ROYAL OAK,04-27-2020,2642,1321,NA,399,119,NA,29241
246,MI- SAGINAW,04-27-2020,2096,1048,NA,228,68,NA,12996
248,MI- ST JOSEPH,04-27-2020,302,151,NA,285,28,NA,12996
249,MI- TRAVERSE CITY,04-27-2020,509,254,NA,342,68,NA,16245
250,MN- DULUTH,04-27-2020,1162,581,NA,114,11,NA,32490
251,MN- MINNEAPOLIS,04-27-2020,8515,4257,NA,228,22,NA,12996
253,MN- ROCHESTER,04-27-2020,2599,1299,NA,171,34,NA,19494
254,MN- ST CLOUD,04-27-2020,707,353,NA,513,153,NA,9747
256,MN- ST PAUL,04-27-2020,2285,1142,NA,57,5,NA,3249
257,MS- GULFPORT,04-27-2020,773,386,NA,456,136,NA,32490
258,MS- HATTIESBURG,04-27-2020,1210,605,NA,570,57,NA,22743
259,MS- JACKSON,04-27-2020,4481,2240,NA,228,45,NA,16245
260,MS- MERIDIAN,04-27-2020,978,489,NA,456,136,NA,16245
261,MS- OXFORD,04-27-2020,638,319,NA,342,34,NA,3249
262,MS- TUPELO,04-27-2020,1630,815,NA,171,51,NA,9747
263,MO- CAPE GIRARDEAU,04-27-2020,1027,513,NA,57,5,NA,25992
264,MO- COLUMBIA,04-27-2020,1844,922,NA,456,45,NA,6498
267,MO- JOPLIN,04-27-2020,954,477,NA,57,5,NA,16245
268,MO- KANSAS CITY,04-27-2020,7925,3962,NA,570,114,NA,9747
270,MO- SPRINGFIELD,04-27-2020,1959,979,NA,456,136,NA,22743
273,MO- ST LOUIS,04-27-2020,12201,6100,NA,114,34,NA,12996
274,MT- BILLINGS,04-27-2020,2209,1104,NA,228,68,NA,22743
275,MT- GREAT FALLS,04-27-2020,805,402,NA,57,5,NA,9747
276,MT- MISSOULA,04-27-2020,1159,579,NA,456,45,NA,12996
277,NE- LINCOLN,04-27-2020,1837,918,NA,513,51,NA,16245
278,NE- OMAHA,04-27-2020,5467,2733,NA,342,102,NA,25992
279,NV- LAS VEGAS,04-27-2020,4082,2041,NA,513,153,NA,3249
280,NV- RENO,04-27-2020,1921,960,NA,285,57,NA,3249
281,NH- LEBANON,04-27-2020,971,485,NA,228,22,NA,29241
282,NH- MANCHESTER,04-27-2020,1974,987,NA,228,68,NA,22743
283,NJ- CAMDEN,04-27-2020,7987,3993,NA,114,22,NA,29241
284,NJ- HACKENSACK,04-27-2020,3729,1864,NA,570,114,NA,29241
285,NJ- MORRISTOWN,04-27-2020,1928,964,NA,456,45,NA,6498
288,NJ- NEW BRUNSWICK,04-27-2020,2766,1383,NA,456,91,NA,32490
289,NJ- NEWARK,04-27-2020,4861,2430,NA,513,102,NA,3249
291,NJ- PATERSON,04-27-2020,1178,589,NA,456,45,NA,22743
292,NJ- RIDGEWOOD,04-27-2020,792,396,NA,285,57,NA,25992
293,NM- ALBUQUERQUE,04-27-2020,3359,1679,NA,171,51,NA,19494
295,NY- ALBANY,04-27-2020,4929,2464,NA,399,39,NA,3249
296,NY- BINGHAMTON,04-27-2020,929,464,NA,570,171,NA,3249
297,NY- BRONX,04-27-2020,3620,1810,NA,57,5,NA,25992
299,NY- BUFFALO,04-27-2020,3595,1797,NA,57,11,NA,29241
300,NY- ELMIRA,04-27-2020,1077,538,NA,171,34,NA,3249
301,NY- EAST LONG ISLAND,04-27-2020,10939,5469,NA,114,34,NA,16245
304,NY- ROCHESTER,04-27-2020,2960,1480,NA,171,34,NA,9747
307,NY- SYRACUSE,04-27-2020,2825,1412,NA,513,153,NA,6498
308,NY- WHITE PLAINS,04-27-2020,2969,1484,NA,513,51,NA,3249
309,NC- ASHEVILLE,04-27-2020,1878,939,NA,342,102,NA,22743
311,NC- CHARLOTTE,04-27-2020,5792,2896,NA,228,45,NA,32490
312,NC- DURHAM,04-27-2020,4617,2308,NA,114,22,NA,25992
313,NC- GREENSBORO,04-27-2020,1794,897,NA,456,45,NA,25992
314,NC- GREENVILLE,04-27-2020,2509,1254,NA,399,79,NA,32490
315,NC- HICKORY,04-27-2020,748,374,NA,456,45,NA,32490
318,NC- RALEIGH,04-27-2020,4235,2117,NA,399,39,NA,6498
319,NC- WILMINGTON,04-27-2020,1217,608,NA,171,51,NA,19494
320,NC- WINSTON-SALEM,04-27-2020,3682,1841,NA,57,17,NA,19494
321,ND- BISMARCK,04-27-2020,838,419,NA,570,171,NA,16245
322,ND- FARGO MOORHEAD -MN,04-27-2020,2029,1014,NA,456,91,NA,12996
323,ND- GRAND FORKS,04-27-2020,587,293,NA,228,22,NA,25992
324,ND- MINOT,04-27-2020,700,350,NA,114,34,NA,9747
325,OH- AKRON,04-27-2020,2426,1213,NA,513,51,NA,25992
326,OH- CANTON,04-27-2020,2115,1057,NA,57,11,NA,6498
327,OH- CINCINNATI,04-27-2020,4794,2397,NA,114,22,NA,9747
328,OH- CLEVELAND,04-27-2020,8826,4413,NA,456,45,NA,22743
329,OH- COLUMBUS,04-27-2020,8955,4477,NA,513,51,NA,25992
330,OH- DAYTON,04-27-2020,3268,1634,NA,285,28,NA,32490
331,OH- ELYRIA,04-27-2020,725,362,NA,513,51,NA,22743
332,OH- KETTERING,04-27-2020,1156,578,NA,456,136,NA,16245
334,OH- TOLEDO,04-27-2020,4189,2094,NA,114,22,NA,3249
335,OH- YOUNGSTOWN,04-27-2020,2600,1300,NA,513,51,NA,19494
336,OK- LAWTON,04-27-2020,713,356,NA,228,45,NA,29241
339,OK- OKLAHOMA CITY,04-27-2020,6580,3290,NA,114,34,NA,29241
340,OK- TULSA,04-27-2020,5022,2511,NA,228,68,NA,19494
341,OR- BEND,04-27-2020,405,202,NA,285,85,NA,16245
342,OR- EUGENE,04-27-2020,1175,587,NA,171,51,NA,3249
343,OR- MEDFORD,04-27-2020,965,482,NA,171,34,NA,9747
344,OR- PORTLAND,04-27-2020,5236,2618,NA,285,28,NA,3249
345,OR- SALEM,04-27-2020,436,218,NA,570,57,NA,6498
346,PA- ALLENTOWN,04-27-2020,3157,1578,NA,228,68,NA,22743
347,PA- ALTOONA,04-27-2020,695,347,NA,570,114,NA,25992
350,PA- DANVILLE,04-27-2020,1519,759,NA,570,171,NA,25992
351,PA- ERIE,04-27-2020,2226,1113,NA,57,17,NA,29241
352,PA- HARRISBURG,04-27-2020,2291,1145,NA,399,79,NA,29241
354,PA- JOHNSTOWN,04-27-2020,740,370,NA,513,102,NA,19494
355,PA- LANCASTER,04-27-2020,1191,595,NA,399,79,NA,25992
356,PA- PHILADELPHIA,04-27-2020,12454,6227,NA,456,136,NA,16245
357,PA- PITTSBURGH,04-27-2020,11672,5836,NA,285,57,NA,6498
358,PA- READING,04-27-2020,1424,712,NA,456,136,NA,9747
359,PA- SAYRE,04-27-2020,471,235,NA,513,153,NA,6498
360,PA- SCRANTON,04-27-2020,882,441,NA,570,57,NA,29241
362,PA- WILKES-BARRE,04-27-2020,655,327,NA,342,102,NA,16245
363,PA- YORK,04-27-2020,831,415,NA,513,51,NA,19494
364,RI- PROVIDENCE,04-27-2020,3132,1566,NA,570,171,NA,6498
365,SC- CHARLESTON,04-27-2020,2977,1488,NA,342,102,NA,6498
366,SC- COLUMBIA,04-27-2020,3748,1874,NA,171,34,NA,6498
367,SC- FLORENCE,04-27-2020,1341,670,NA,228,22,NA,19494
368,SC- GREENVILLE,04-27-2020,2392,1196,NA,456,91,NA,12996
369,SC- SPARTANBURG,04-27-2020,1061,530,NA,342,68,NA,6498
370,SD- RAPID CITY,04-27-2020,688,344,NA,513,153,NA,32490
371,SD- SIOUX FALLS,04-27-2020,2774,1387,NA,285,57,NA,22743
373,TN- CHATTANOOGA,04-27-2020,2241,1120,NA,342,68,NA,22743
374,TN- JACKSON,04-27-2020,1350,675,NA,228,22,NA,16245
375,TN- JOHNSON CITY,04-27-2020,940,470,NA,342,68,NA,16245
376,TN- KINGSPORT,04-27-2020,1986,993,NA,342,34,NA,9747
377,TN- KNOXVILLE,04-27-2020,4175,2087,NA,513,102,NA,22743
379,TN- MEMPHIS,04-27-2020,6318,3159,NA,228,45,NA,19494
380,TN- NASHVILLE,04-27-2020,8554,4277,NA,285,85,NA,25992
382,TX- ABILENE,04-27-2020,1328,664,NA,399,119,NA,25992
383,TX- AMARILLO,04-27-2020,1502,751,NA,228,22,NA,19494
385,TX- AUSTIN,04-27-2020,3498,1749,NA,570,114,NA,22743
386,TX- BEAUMONT,04-27-2020,1370,685,NA,114,34,NA,6498
388,TX- BRYAN,04-27-2020,612,306,NA,456,136,NA,16245
390,TX- CORPUS CHRISTI,04-27-2020,2052,1026,NA,513,153,NA,19494
391,TX- DALLAS,04-27-2020,12245,6122,NA,342,102,NA,16245
393,TX- EL PASO,04-27-2020,2745,1372,NA,57,11,NA,12996
394,TX- FORT WORTH,04-27-2020,5007,2503,NA,513,51,NA,29241
396,TX- HARLINGEN,04-27-2020,1418,709,NA,399,79,NA,19494
397,TX- HOUSTON,04-27-2020,17066,8533,NA,114,34,NA,32490
399,TX- LONGVIEW,04-27-2020,686,343,NA,114,22,NA,6498
400,TX- LUBBOCK,04-27-2020,2390,1195,NA,228,68,NA,6498
402,TX- MCALLEN,04-27-2020,1586,793,NA,342,68,NA,12996
406,TX- ODESSA,04-27-2020,1292,646,NA,171,51,NA,32490
411,TX- SAN ANGELO,04-27-2020,687,343,NA,399,39,NA,9747
412,TX- SAN ANTONIO,04-27-2020,7236,3618,NA,171,17,NA,29241
413,TX- TEMPLE,04-27-2020,939,469,NA,285,85,NA,25992
416,TX- TYLER,04-27-2020,1604,802,NA,342,68,NA,29241
417,TX- VICTORIA,04-27-2020,767,383,NA,171,51,NA,29241
418,TX- WACO,04-27-2020,597,298,NA,228,22,NA,29241
420,TX- WICHITA FALLS,04-27-2020,690,345,NA,570,171,NA,6498
421,UT- OGDEN,04-27-2020,730,365,NA,399,119,NA,6498
422,UT- PROVO,04-27-2020,902,451,NA,228,45,NA,19494
423,UT- SALT LAKE CITY,04-27-2020,3950,1975,NA,456,91,NA,25992
424,VT- BURLINGTON,04-27-2020,1584,792,NA,513,51,NA,32490
426,VA- ARLINGTON,04-27-2020,2893,1446,NA,513,51,NA,16245
427,VA- CHARLOTTESVILLE,04-27-2020,1403,701,NA,456,91,NA,3249
428,VA- LYNCHBURG,04-27-2020,752,376,NA,228,45,NA,25992
429,VA- NEWPORT NEWS,04-27-2020,1139,569,NA,114,22,NA,19494
430,VA- NORFOLK,04-27-2020,2707,1353,NA,570,57,NA,3249
431,VA- RICHMOND,04-27-2020,4700,2350,NA,342,34,NA,9747
432,VA- ROANOKE,04-27-2020,2794,1397,NA,399,79,NA,32490
435,VA- WINCHESTER,04-27-2020,933,466,NA,513,51,NA,22743
437,WA- EVERETT,04-27-2020,821,410,NA,570,114,NA,12996
438,WA- OLYMPIA,04-27-2020,675,337,NA,114,34,NA,9747
439,WA- SEATTLE,04-27-2020,5443,2721,NA,342,102,NA,29241
440,WA- SPOKANE,04-27-2020,3759,1879,NA,456,136,NA,9747
441,WA- TACOMA,04-27-2020,1227,613,NA,570,57,NA,6498
442,WA- YAKIMA,04-27-2020,579,289,NA,342,68,NA,6498
443,WV- CHARLESTON,04-27-2020,2425,1212,NA,456,136,NA,16245
444,WV- HUNTINGTON,04-27-2020,1650,825,NA,57,11,NA,12996
445,WV- MORGANTOWN,04-27-2020,1763,881,NA,171,51,NA,19494
446,WI- APPLETON,04-27-2020,617,308,NA,285,57,NA,19494
447,WI- GREEN BAY,04-27-2020,1601,800,NA,285,57,NA,22743
448,WI- LA CROSSE,04-27-2020,955,477,NA,114,34,NA,32490
449,WI- MADISON,04-27-2020,3009,1504,NA,399,119,NA,25992
450,WI- MARSHFIELD,04-27-2020,1178,589,NA,342,68,NA,16245
451,WI- MILWAUKEE,04-27-2020,8250,4125,NA,399,79,NA,3249
303,NY- NEW YORK,04-27-2020,15546,7773,NA,570,171,NA,12996
452,WI- NEENAH,04-27-2020,558,279,NA,114,11,NA,32490
456,WI- WAUSAU,04-27-2020,565,282,NA,171,17,NA,25992
457,WY- CASPER,04-27-2020,701,350,NA,570,57,NA,32490
