HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Last Update
212,LA- HOUMA,113,238,04-25-2020
213,LA- LAFAYETTE,86,136,04-25-2020
214,LA- LAKE CHARLES,83,34,04-25-2020
216,LA- METAIRIE,113,340,04-25-2020
217,LA- MONROE,105,238,04-25-2020
218,LA- NEW ORLEANS,88,204,04-25-2020
219,LA- SHREVEPORT,86,170,04-25-2020
220,LA- SLIDELL,93,68,04-25-2020
221,ME- BANGOR,89,102,04-25-2020
222,ME- PORTLAND,89,238,04-25-2020
223,MD- BALTIMORE,81,68,04-25-2020
225,MD- SALISBURY,105,238,04-25-2020
226,MD- TAKOMA PARK,106,340,04-25-2020
227,MA- BOSTON,80,68,04-25-2020
230,MA- SPRINGFIELD,96,272,04-25-2020
231,MA- WORCESTER,82,34,04-25-2020
232,MI- ANN ARBOR,88,272,04-25-2020
233,MI- DEARBORN,96,272,04-25-2020
234,MI- DETROIT,87,340,04-25-2020
235,MI- FLINT,90,136,04-25-2020
236,MI- GRAND RAPIDS,85,136,04-25-2020
238,MI- KALAMAZOO,91,170,04-25-2020
239,MI- LANSING,93,204,04-25-2020
240,MI- MARQUETTE,142,306,04-25-2020
242,MI- MUSKEGON,118,204,04-25-2020
243,MI- PETOSKEY,168,306,04-25-2020
244,MI- PONTIAC,102,272,04-25-2020
245,MI- ROYAL OAK,89,238,04-25-2020
246,MI- SAGINAW,91,238,04-25-2020
248,MI- ST JOSEPH,91,34,04-25-2020
249,MI- TRAVERSE CITY,120,204,04-25-2020
250,MN- DULUTH,103,272,04-25-2020
251,MN- MINNEAPOLIS,80,34,04-25-2020
253,MN- ROCHESTER,93,340,04-25-2020
254,MN- ST CLOUD,128,340,04-25-2020
256,MN- ST PAUL,82,68,04-25-2020
257,MS- GULFPORT,106,204,04-25-2020
258,MS- HATTIESBURG,108,340,04-25-2020
259,MS- JACKSON,84,204,04-25-2020
260,MS- MERIDIAN,97,170,04-25-2020
261,MS- OXFORD,106,170,04-25-2020
262,MS- TUPELO,84,68,04-25-2020
263,MO- CAPE GIRARDEAU,96,170,04-25-2020
264,MO- COLUMBIA,92,238,04-25-2020
267,MO- JOPLIN,104,238,04-25-2020
268,MO- KANSAS CITY,81,136,04-25-2020
270,MO- SPRINGFIELD,92,238,04-25-2020
273,MO- ST LOUIS,80,102,04-25-2020
274,MT- BILLINGS,84,102,04-25-2020
275,MT- GREAT FALLS,101,170,04-25-2020
276,MT- MISSOULA,94,170,04-25-2020
277,NE- LINCOLN,96,306,04-25-2020
278,NE- OMAHA,85,306,04-25-2020
279,NV- LAS VEGAS,82,102,04-25-2020
280,NV- RENO,94,272,04-25-2020
281,NH- LEBANON,101,204,04-25-2020
282,NH- MANCHESTER,85,102,04-25-2020
283,NJ- CAMDEN,81,136,04-25-2020
284,NJ- HACKENSACK,83,136,04-25-2020
285,NJ- MORRISTOWN,90,204,04-25-2020
288,NJ- NEW BRUNSWICK,89,272,04-25-2020
289,NJ- NEWARK,86,306,04-25-2020
291,NJ- PATERSON,91,136,04-25-2020
292,NJ- RIDGEWOOD,105,204,04-25-2020
293,NM- ALBUQUERQUE,86,204,04-25-2020
295,NY- ALBANY,84,204,04-25-2020
296,NY- BINGHAMTON,98,170,04-25-2020
297,NY- BRONX,82,102,04-25-2020
299,NY- BUFFALO,89,340,04-25-2020
300,NY- ELMIRA,98,204,04-25-2020
301,NY- EAST LONG ISLAND,80,102,04-25-2020
304,NY- ROCHESTER,82,68,04-25-2020
307,NY- SYRACUSE,87,204,04-25-2020
308,NY- WHITE PLAINS,89,272,04-25-2020
309,NC- ASHEVILLE,92,238,04-25-2020
311,NC- CHARLOTTE,80,34,04-25-2020
312,NC- DURHAM,85,238,04-25-2020
313,NC- GREENSBORO,91,204,04-25-2020
314,NC- GREENVILLE,84,102,04-25-2020
315,NC- HICKORY,116,272,04-25-2020
318,NC- RALEIGH,84,204,04-25-2020
319,NC- WILMINGTON,99,238,04-25-2020
320,NC- WINSTON-SALEM,82,102,04-25-2020
321,ND- BISMARCK,100,170,04-25-2020
322,ND- FARGO MOORHEAD -MN,90,204,04-25-2020
323,ND- GRAND FORKS,114,204,04-25-2020
324,ND- MINOT,118,272,04-25-2020
325,OH- AKRON,84,102,04-25-2020
326,OH- CANTON,89,204,04-25-2020
327,OH- CINCINNATI,85,272,04-25-2020
328,OH- CLEVELAND,82,204,04-25-2020
329,OH- COLUMBUS,81,136,04-25-2020
330,OH- DAYTON,90,340,04-25-2020
331,OH- ELYRIA,112,238,04-25-2020
332,OH- KETTERING,88,102,04-25-2020
334,OH- TOLEDO,82,102,04-25-2020
335,OH- YOUNGSTOWN,90,272,04-25-2020
336,OK- LAWTON,108,204,04-25-2020
339,OK- OKLAHOMA CITY,82,136,04-25-2020
340,OK- TULSA,86,306,04-25-2020
341,OR- BEND,130,204,04-25-2020
342,OR- EUGENE,103,272,04-25-2020
343,OR- MEDFORD,101,204,04-25-2020
344,OR- PORTLAND,86,340,04-25-2020
345,OR- SALEM,111,136,04-25-2020
346,PA- ALLENTOWN,82,68,04-25-2020
347,PA- ALTOONA,94,102,04-25-2020
350,PA- DANVILLE,86,102,04-25-2020
351,PA- ERIE,86,136,04-25-2020
352,PA- HARRISBURG,88,204,04-25-2020
354,PA- JOHNSTOWN,102,170,04-25-2020
355,PA- LANCASTER,102,272,04-25-2020
356,PA- PHILADELPHIA,82,340,04-25-2020
357,PA- PITTSBURGH,82,306,04-25-2020
358,PA- READING,91,170,04-25-2020
359,PA- SAYRE,108,136,04-25-2020
360,PA- SCRANTON,83,34,04-25-2020
362,PA- WILKES-BARRE,126,306,04-25-2020
363,PA- YORK,120,340,04-25-2020
364,RI- PROVIDENCE,88,272,04-25-2020
365,SC- CHARLESTON,89,272,04-25-2020
366,SC- COLUMBIA,85,204,04-25-2020
367,SC- FLORENCE,105,340,04-25-2020
368,SC- GREENVILLE,82,68,04-25-2020
369,SC- SPARTANBURG,102,238,04-25-2020
370,SD- RAPID CITY,124,306,04-25-2020
371,SD- SIOUX FALLS,84,136,04-25-2020
373,TN- CHATTANOOGA,81,34,04-25-2020
374,TN- JACKSON,95,204,04-25-2020
375,TN- JOHNSON CITY,112,306,04-25-2020
376,TN- KINGSPORT,97,340,04-25-2020
377,TN- KNOXVILLE,80,34,04-25-2020
379,TN- MEMPHIS,83,204,04-25-2020
380,TN- NASHVILLE,83,272,04-25-2020
382,TX- ABILENE,87,102,04-25-2020
383,TX- AMARILLO,95,238,04-25-2020
385,TX- AUSTIN,89,340,04-25-2020
386,TX- BEAUMONT,104,340,04-25-2020
388,TX- BRYAN,113,204,04-25-2020
390,TX- CORPUS CHRISTI,83,68,04-25-2020
391,TX- DALLAS,82,340,04-25-2020
393,TX- EL PASO,89,272,04-25-2020
394,TX- FORT WORTH,84,204,04-25-2020
396,TX- HARLINGEN,91,170,04-25-2020
397,TX- HOUSTON,81,238,04-25-2020
399,TX- LONGVIEW,84,34,04-25-2020
400,TX- LUBBOCK,89,238,04-25-2020
402,TX- MCALLEN,84,68,04-25-2020
406,TX- ODESSA,90,136,04-25-2020
411,TX- SAN ANGELO,114,238,04-25-2020
412,TX- SAN ANTONIO,84,306,04-25-2020
413,TX- TEMPLE,112,306,04-25-2020
416,TX- TYLER,90,170,04-25-2020
417,TX- VICTORIA,124,340,04-25-2020
418,TX- WACO,85,34,04-25-2020
420,TX- WICHITA FALLS,124,306,04-25-2020
421,UT- OGDEN,89,68,04-25-2020
422,UT- PROVO,87,68,04-25-2020
423,UT- SALT LAKE CITY,84,170,04-25-2020
424,VT- BURLINGTON,95,238,04-25-2020
426,VA- ARLINGTON,84,136,04-25-2020
427,VA- CHARLOTTESVILLE,101,306,04-25-2020
428,VA- LYNCHBURG,102,170,04-25-2020
429,VA- NEWPORT NEWS,106,306,04-25-2020
430,VA- NORFOLK,92,340,04-25-2020
431,VA- RICHMOND,82,136,04-25-2020
432,VA- ROANOKE,90,306,04-25-2020
435,VA- WINCHESTER,116,340,04-25-2020
437,WA- EVERETT,117,306,04-25-2020
438,WA- OLYMPIA,130,340,04-25-2020
439,WA- SEATTLE,84,238,04-25-2020
440,WA- SPOKANE,87,272,04-25-2020
441,WA- TACOMA,91,136,04-25-2020
442,WA- YAKIMA,103,136,04-25-2020
443,WV- CHARLESTON,82,68,04-25-2020
444,WV- HUNTINGTON,92,204,04-25-2020
445,WV- MORGANTOWN,81,34,04-25-2020
446,WI- APPLETON,96,102,04-25-2020
447,WI- GREEN BAY,84,68,04-25-2020
448,WI- LA CROSSE,83,34,04-25-2020
449,WI- MADISON,83,102,04-25-2020
450,WI- MARSHFIELD,105,306,04-25-2020
451,WI- MILWAUKEE,84,340,04-25-2020
303,NY- NEW YORK,80,68,04-25-2020
452,WI- NEENAH,128,272,04-25-2020
456,WI- WAUSAU,116,204,04-25-2020
457,WY- CASPER,123,306,04-25-2020
