HRRNum,HRR City,Beds Avail,Beds Needed,Projected Cases,Last Update
87,CA- SANTA CRUZ,278,81,729,04-09-2020
89,CA- SANTA ROSA,1834,27,81,04-09-2020
91,CA- STOCKTON,991,72,648,04-09-2020
96,CA- VENTURA,1501,72,567,04-09-2020
101,CO- BOULDER,430,45,810,04-09-2020
102,CO- COLORADO SPRINGS,945,90,162,04-09-2020
103,CO- DENVER,4759,18,810,04-09-2020
104,CO- FORT COLLINS,567,72,324,04-09-2020
105,CO- GRAND JUNCTION,711,81,810,04-09-2020
106,CO- GREELEY,705,72,486,04-09-2020
107,CO- PUEBLO,771,27,243,04-09-2020
109,CT- BRIDGEPORT,1650,45,405,04-09-2020
110,CT- HARTFORD,3238,18,162,04-09-2020
111,CT- NEW HAVEN,3807,45,567,04-09-2020
112,DE- WILMINGTON,1853,9,243,04-09-2020
113,DC- WASHINGTON,5408,81,486,04-09-2020
115,FL- BRADENTON,637,72,567,04-09-2020
116,FL- CLEARWATER,1574,63,648,04-09-2020
118,FL- FORT LAUDERDALE,8609,90,567,04-09-2020
119,FL- FORT MYERS,3754,72,567,04-09-2020
120,FL- GAINESVILLE,1778,63,486,04-09-2020
122,FL- HUDSON,1162,90,648,04-09-2020
123,FL- JACKSONVILLE,4849,63,162,04-09-2020
124,FL- LAKELAND,1041,27,567,04-09-2020
127,FL- MIAMI,10719,63,729,04-09-2020
129,FL- OCALA,1350,18,81,04-09-2020
130,FL- ORLANDO,10325,36,243,04-09-2020
131,FL- ORMOND BEACH,1627,27,810,04-09-2020
133,FL- PANAMA CITY,655,9,648,04-09-2020
134,FL- PENSACOLA,2286,63,567,04-09-2020
137,FL- SARASOTA,1400,45,81,04-09-2020
139,FL- ST PETERSBURG,1553,45,405,04-09-2020
140,FL- TALLAHASSEE,2652,45,567,04-09-2020
141,FL- TAMPA,4206,54,243,04-09-2020
142,GA- ALBANY,1036,27,729,04-09-2020
144,GA- ATLANTA,11961,18,162,04-09-2020
145,GA- AUGUSTA,2428,27,810,04-09-2020
146,GA- COLUMBUS,1232,27,729,04-09-2020
147,GA- MACON,2218,18,405,04-09-2020
148,GA- ROME,705,27,810,04-09-2020
149,GA- SAVANNAH,1995,63,243,04-09-2020
151,ID- BOISE,2032,45,405,04-09-2020
152,ID- IDAHO FALLS,371,90,648,04-09-2020
154,IL- AURORA,491,36,810,04-09-2020
155,IL- BLUE ISLAND,2518,18,729,04-09-2020
156,IL- CHICAGO,8542,18,243,04-09-2020
158,IL- ELGIN,1005,81,810,04-09-2020
161,IL- EVANSTON,2362,54,729,04-09-2020
163,IL- HINSDALE,1046,54,81,04-09-2020
164,IL- JOLIET,1308,18,243,04-09-2020
166,IL- MELROSE PARK,3058,36,486,04-09-2020
170,IL- PEORIA,1778,81,162,04-09-2020
171,IL- ROCKFORD,1522,9,648,04-09-2020
172,IL- SPRINGFIELD,2518,27,243,04-09-2020
173,IL- URBANA,976,63,486,04-09-2020
175,IL- BLOOMINGTON,249,18,567,04-09-2020
179,IN- EVANSVILLE,2036,9,162,04-09-2020
180,IN- FORT WAYNE,2122,90,567,04-09-2020
181,IN- GARY,1497,9,324,04-09-2020
183,IN- INDIANAPOLIS,6345,72,567,04-09-2020
184,IN- LAFAYETTE,714,27,729,04-09-2020
185,IN- MUNCIE,329,90,729,04-09-2020
186,IN- MUNSTER,1136,18,405,04-09-2020
187,IN- SOUTH BEND,1511,18,729,04-09-2020
188,IN- TERRE HAUTE,449,90,729,04-09-2020
190,IA- CEDAR RAPIDS,1089,27,729,04-09-2020
191,IA- DAVENPORT,2160,63,162,04-09-2020
192,IA- DES MOINES,3257,36,810,04-09-2020
193,IA- DUBUQUE,482,63,162,04-09-2020
194,IA- IOWA CITY,1898,45,324,04-09-2020
195,IA- MASON CITY,715,18,81,04-09-2020
196,IA- SIOUX CITY,1087,45,243,04-09-2020
197,IA- WATERLOO,603,36,324,04-09-2020
200,KS- TOPEKA,1466,81,324,04-09-2020
201,KS- WICHITA,4878,72,324,04-09-2020
203,KY- COVINGTON,1020,81,243,04-09-2020
204,KY- LEXINGTON,5161,45,567,04-09-2020
205,KY- LOUISVILLE,4735,81,648,04-09-2020
207,KY- OWENSBORO,409,63,162,04-09-2020
208,KY- PADUCAH,1550,72,405,04-09-2020
209,LA- ALEXANDRIA,964,27,648,04-09-2020
210,LA- BATON ROUGE,2390,90,162,04-09-2020
212,LA- HOUMA,683,18,324,04-09-2020
213,LA- LAFAYETTE,2126,36,405,04-09-2020
214,LA- LAKE CHARLES,775,90,324,04-09-2020
216,LA- METAIRIE,1002,9,405,04-09-2020
217,LA- MONROE,871,54,729,04-09-2020
218,LA- NEW ORLEANS,2344,81,648,04-09-2020
219,LA- SHREVEPORT,2727,9,567,04-09-2020
220,LA- SLIDELL,414,90,324,04-09-2020
221,ME- BANGOR,1000,90,162,04-09-2020
222,ME- PORTLAND,2535,90,810,04-09-2020
223,MD- BALTIMORE,6700,45,486,04-09-2020
225,MD- SALISBURY,856,81,810,04-09-2020
226,MD- TAKOMA PARK,1224,63,81,04-09-2020
227,MA- BOSTON,10930,54,405,04-09-2020
230,MA- SPRINGFIELD,1529,72,81,04-09-2020
231,MA- WORCESTER,1552,90,162,04-09-2020
232,MI- ANN ARBOR,3255,9,648,04-09-2020
233,MI- DEARBORN,1554,90,162,04-09-2020
234,MI- DETROIT,4605,54,648,04-09-2020
235,MI- FLINT,1317,9,567,04-09-2020
236,MI- GRAND RAPIDS,2228,81,486,04-09-2020
238,MI- KALAMAZOO,1405,72,405,04-09-2020
239,MI- LANSING,1517,18,243,04-09-2020
240,MI- MARQUETTE,470,18,405,04-09-2020
242,MI- MUSKEGON,464,72,729,04-09-2020
243,MI- PETOSKEY,319,27,810,04-09-2020
244,MI- PONTIAC,1130,54,810,04-09-2020
245,MI- ROYAL OAK,2633,9,405,04-09-2020
246,MI- SAGINAW,2042,54,729,04-09-2020
248,MI- ST JOSEPH,248,54,243,04-09-2020
249,MI- TRAVERSE CITY,428,81,648,04-09-2020
250,MN- DULUTH,1144,18,405,04-09-2020
251,MN- MINNEAPOLIS,8488,27,567,04-09-2020
253,MN- ROCHESTER,2509,90,810,04-09-2020
254,MN- ST CLOUD,635,72,405,04-09-2020
256,MN- ST PAUL,2276,9,810,04-09-2020
257,MS- GULFPORT,737,36,324,04-09-2020
258,MS- HATTIESBURG,1165,45,162,04-09-2020
259,MS- JACKSON,4472,9,405,04-09-2020
260,MS- MERIDIAN,906,72,243,04-09-2020
261,MS- OXFORD,611,27,486,04-09-2020
262,MS- TUPELO,1576,54,324,04-09-2020
263,MO- CAPE GIRARDEAU,937,90,243,04-09-2020
264,MO- COLUMBIA,1826,18,243,04-09-2020
267,MO- JOPLIN,909,45,162,04-09-2020
268,MO- KANSAS CITY,7835,90,567,04-09-2020
270,MO- SPRINGFIELD,1923,36,567,04-09-2020
273,MO- ST LOUIS,12192,9,648,04-09-2020
274,MT- BILLINGS,2164,45,324,04-09-2020
275,MT- GREAT FALLS,742,63,405,04-09-2020
276,MT- MISSOULA,1087,72,324,04-09-2020
277,NE- LINCOLN,1783,54,162,04-09-2020
278,NE- OMAHA,5440,27,567,04-09-2020
279,NV- LAS VEGAS,4046,36,648,04-09-2020
280,NV- RENO,1903,18,81,04-09-2020
281,NH- LEBANON,917,54,648,04-09-2020
282,NH- MANCHESTER,1947,27,648,04-09-2020
283,NJ- CAMDEN,7924,63,810,04-09-2020
284,NJ- HACKENSACK,3684,45,567,04-09-2020
285,NJ- MORRISTOWN,1883,45,567,04-09-2020
288,NJ- NEW BRUNSWICK,2685,81,486,04-09-2020
289,NJ- NEWARK,4852,9,648,04-09-2020
291,NJ- PATERSON,1133,45,648,04-09-2020
292,NJ- RIDGEWOOD,738,54,486,04-09-2020
293,NM- ALBUQUERQUE,3305,54,243,04-09-2020
295,NY- ALBANY,4911,18,324,04-09-2020
296,NY- BINGHAMTON,902,27,162,04-09-2020
297,NY- BRONX,3548,72,81,04-09-2020
299,NY- BUFFALO,3514,81,81,04-09-2020
300,NY- ELMIRA,1068,9,810,04-09-2020
301,NY- EAST LONG ISLAND,10930,9,243,04-09-2020
304,NY- ROCHESTER,2888,72,81,04-09-2020
307,NY- SYRACUSE,2780,45,81,04-09-2020
308,NY- WHITE PLAINS,2897,72,567,04-09-2020
309,NC- ASHEVILLE,1869,9,81,04-09-2020
311,NC- CHARLOTTE,5729,63,648,04-09-2020
312,NC- DURHAM,4554,63,324,04-09-2020
313,NC- GREENSBORO,1767,27,810,04-09-2020
314,NC- GREENVILLE,2446,63,567,04-09-2020
315,NC- HICKORY,685,63,81,04-09-2020
318,NC- RALEIGH,4226,9,648,04-09-2020
319,NC- WILMINGTON,1199,18,405,04-09-2020
320,NC- WINSTON-SALEM,3655,27,81,04-09-2020
321,ND- BISMARCK,793,45,243,04-09-2020
322,ND- FARGO MOORHEAD -MN,2002,27,81,04-09-2020
323,ND- GRAND FORKS,551,36,81,04-09-2020
324,ND- MINOT,628,72,162,04-09-2020
325,OH- AKRON,2408,18,243,04-09-2020
326,OH- CANTON,2088,27,567,04-09-2020
327,OH- CINCINNATI,4740,54,243,04-09-2020
328,OH- CLEVELAND,8817,9,729,04-09-2020
329,OH- COLUMBUS,8937,18,405,04-09-2020
330,OH- DAYTON,3241,27,486,04-09-2020
331,OH- ELYRIA,653,72,324,04-09-2020
332,OH- KETTERING,1138,18,243,04-09-2020
334,OH- TOLEDO,4162,27,405,04-09-2020
335,OH- YOUNGSTOWN,2591,9,486,04-09-2020
336,OK- LAWTON,641,72,324,04-09-2020
339,OK- OKLAHOMA CITY,6526,54,810,04-09-2020
340,OK- TULSA,4950,72,324,04-09-2020
341,OR- BEND,351,54,810,04-09-2020
342,OR- EUGENE,1139,36,405,04-09-2020
343,OR- MEDFORD,956,9,648,04-09-2020
344,OR- PORTLAND,5146,90,729,04-09-2020
345,OR- SALEM,400,36,405,04-09-2020
346,PA- ALLENTOWN,3112,45,729,04-09-2020
347,PA- ALTOONA,641,54,324,04-09-2020
350,PA- DANVILLE,1438,81,729,04-09-2020
351,PA- ERIE,2163,63,729,04-09-2020
352,PA- HARRISBURG,2219,72,405,04-09-2020
354,PA- JOHNSTOWN,722,18,81,04-09-2020
355,PA- LANCASTER,1137,54,243,04-09-2020
356,PA- PHILADELPHIA,12409,45,243,04-09-2020
357,PA- PITTSBURGH,11582,90,648,04-09-2020
358,PA- READING,1370,54,729,04-09-2020
359,PA- SAYRE,381,90,567,04-09-2020
360,PA- SCRANTON,801,81,324,04-09-2020
362,PA- WILKES-BARRE,628,27,810,04-09-2020
363,PA- YORK,786,45,405,04-09-2020
364,RI- PROVIDENCE,3060,72,648,04-09-2020
365,SC- CHARLESTON,2932,45,243,04-09-2020
366,SC- COLUMBIA,3703,45,162,04-09-2020
367,SC- FLORENCE,1332,9,324,04-09-2020
368,SC- GREENVILLE,2311,81,324,04-09-2020
369,SC- SPARTANBURG,1043,18,243,04-09-2020
370,SD- RAPID CITY,652,36,648,04-09-2020
371,SD- SIOUX FALLS,2711,63,648,04-09-2020
373,TN- CHATTANOOGA,2232,9,81,04-09-2020
374,TN- JACKSON,1278,72,810,04-09-2020
375,TN- JOHNSON CITY,931,9,324,04-09-2020
376,TN- KINGSPORT,1950,36,567,04-09-2020
377,TN- KNOXVILLE,4094,81,81,04-09-2020
379,TN- MEMPHIS,6300,18,243,04-09-2020
380,TN- NASHVILLE,8464,90,648,04-09-2020
382,TX- ABILENE,1319,9,810,04-09-2020
383,TX- AMARILLO,1421,81,324,04-09-2020
385,TX- AUSTIN,3408,90,324,04-09-2020
386,TX- BEAUMONT,1289,81,567,04-09-2020
388,TX- BRYAN,540,72,405,04-09-2020
390,TX- CORPUS CHRISTI,2007,45,162,04-09-2020
391,TX- DALLAS,12200,45,567,04-09-2020
393,TX- EL PASO,2673,72,810,04-09-2020
394,TX- FORT WORTH,4926,81,567,04-09-2020
396,TX- HARLINGEN,1337,81,810,04-09-2020
397,TX- HOUSTON,17057,9,324,04-09-2020
399,TX- LONGVIEW,650,36,567,04-09-2020
400,TX- LUBBOCK,2300,90,567,04-09-2020
402,TX- MCALLEN,1505,81,810,04-09-2020
406,TX- ODESSA,1211,81,486,04-09-2020
411,TX- SAN ANGELO,615,72,81,04-09-2020
412,TX- SAN ANTONIO,7209,27,567,04-09-2020
413,TX- TEMPLE,921,18,324,04-09-2020
416,TX- TYLER,1595,9,810,04-09-2020
417,TX- VICTORIA,758,9,810,04-09-2020
418,TX- WACO,525,72,81,04-09-2020
420,TX- WICHITA FALLS,654,36,324,04-09-2020
421,UT- OGDEN,712,18,567,04-09-2020
422,UT- PROVO,893,9,405,04-09-2020
423,UT- SALT LAKE CITY,3914,36,162,04-09-2020
424,VT- BURLINGTON,1557,27,486,04-09-2020
426,VA- ARLINGTON,2875,18,567,04-09-2020
427,VA- CHARLOTTESVILLE,1358,45,648,04-09-2020
428,VA- LYNCHBURG,662,90,405,04-09-2020
429,VA- NEWPORT NEWS,1094,45,162,04-09-2020
430,VA- NORFOLK,2635,72,243,04-09-2020
431,VA- RICHMOND,4628,72,81,04-09-2020
432,VA- ROANOKE,2713,81,648,04-09-2020
435,VA- WINCHESTER,897,36,729,04-09-2020
437,WA- EVERETT,812,9,567,04-09-2020
438,WA- OLYMPIA,585,90,243,04-09-2020
439,WA- SEATTLE,5398,45,324,04-09-2020
440,WA- SPOKANE,3705,54,324,04-09-2020
441,WA- TACOMA,1209,18,81,04-09-2020
442,WA- YAKIMA,561,18,729,04-09-2020
443,WV- CHARLESTON,2380,45,729,04-09-2020
444,WV- HUNTINGTON,1632,18,324,04-09-2020
445,WV- MORGANTOWN,1673,90,162,04-09-2020
446,WI- APPLETON,563,54,324,04-09-2020
447,WI- GREEN BAY,1538,63,162,04-09-2020
448,WI- LA CROSSE,910,45,243,04-09-2020
449,WI- MADISON,2955,54,243,04-09-2020
450,WI- MARSHFIELD,1115,63,810,04-09-2020
451,WI- MILWAUKEE,8232,18,81,04-09-2020
303,NY- NEW YORK,15456,90,648,04-09-2020
452,WI- NEENAH,531,27,567,04-09-2020
456,WI- WAUSAU,547,18,567,04-09-2020
457,WY- CASPER,692,9,405,04-09-2020
