HRRNum,HRR City,Beds Avail,Beds Needed,Projected Cases,Last Update
418,TX- WACO,537,60,1800,04-12-2020
420,TX- WICHITA FALLS,555,135,2025,04-12-2020
421,UT- OGDEN,715,15,1125,04-12-2020
422,UT- PROVO,797,105,1575,04-12-2020
423,UT- SALT LAKE CITY,3860,90,2025,04-12-2020
424,VT- BURLINGTON,1494,90,450,04-12-2020
426,VA- ARLINGTON,2803,90,450,04-12-2020
427,VA- CHARLOTTESVILLE,1343,60,900,04-12-2020
428,VA- LYNCHBURG,602,150,1575,04-12-2020
429,VA- NEWPORT NEWS,1034,105,675,04-12-2020
430,VA- NORFOLK,2647,60,1575,04-12-2020
431,VA- RICHMOND,4595,105,2025,04-12-2020
432,VA- ROANOKE,2764,30,1800,04-12-2020
435,VA- WINCHESTER,858,75,1575,04-12-2020
437,WA- EVERETT,776,45,1800,04-12-2020
438,WA- OLYMPIA,585,90,2025,04-12-2020
439,WA- SEATTLE,5293,150,2250,04-12-2020
440,WA- SPOKANE,3669,90,1125,04-12-2020
441,WA- TACOMA,1107,120,1800,04-12-2020
442,WA- YAKIMA,444,135,450,04-12-2020
443,WV- CHARLESTON,2350,75,1575,04-12-2020
444,WV- HUNTINGTON,1575,75,225,04-12-2020
445,WV- MORGANTOWN,1673,90,675,04-12-2020
446,WI- APPLETON,542,75,675,04-12-2020
447,WI- GREEN BAY,1496,105,2025,04-12-2020
448,WI- LA CROSSE,865,90,2025,04-12-2020
449,WI- MADISON,2994,15,225,04-12-2020
450,WI- MARSHFIELD,1133,45,2025,04-12-2020
451,WI- MILWAUKEE,8160,90,450,04-12-2020
303,NY- NEW YORK,15501,45,1350,04-12-2020
452,WI- NEENAH,438,120,675,04-12-2020
456,WI- WAUSAU,430,135,1575,04-12-2020
457,WY- CASPER,551,150,675,04-12-2020
