HRRNum,Hospital Referral Region,Beds Avail,Beds Needed,Projected Cases,Last Update
156,IL- CHICAGO,8532,28,441,04-11-2020
158,IL- ELGIN,1030,56,245,04-11-2020
161,IL- EVANSTON,2402,14,49,04-11-2020
163,IL- HINSDALE,1037,63,245,04-11-2020
164,IL- JOLIET,1277,49,147,04-11-2020
166,IL- MELROSE PARK,3073,21,245,04-11-2020
170,IL- PEORIA,1824,35,49,04-11-2020
171,IL- ROCKFORD,1489,42,392,04-11-2020
172,IL- SPRINGFIELD,2531,14,392,04-11-2020
173,IL- URBANA,997,42,392,04-11-2020
175,IL- BLOOMINGTON,260,7,196,04-11-2020
179,IN- EVANSVILLE,2010,35,490,04-11-2020
180,IN- FORT WAYNE,2205,7,294,04-11-2020
181,IN- GARY,1464,42,392,04-11-2020
183,IN- INDIANAPOLIS,6375,42,392,04-11-2020
184,IN- LAFAYETTE,720,21,294,04-11-2020
185,IN- MUNCIE,391,28,196,04-11-2020
186,IN- MUNSTER,1105,49,490,04-11-2020
187,IN- SOUTH BEND,1494,35,343,04-11-2020
188,IN- TERRE HAUTE,518,21,147,04-11-2020
190,IA- CEDAR RAPIDS,1081,35,98,04-11-2020
191,IA- DAVENPORT,2188,35,49,04-11-2020
192,IA- DES MOINES,3244,49,98,04-11-2020
193,IA- DUBUQUE,489,56,196,04-11-2020
194,IA- IOWA CITY,1922,21,294,04-11-2020
195,IA- MASON CITY,670,63,490,04-11-2020
196,IA- SIOUX CITY,1111,21,245,04-11-2020
197,IA- WATERLOO,625,14,343,04-11-2020
200,KS- TOPEKA,1505,42,343,04-11-2020
201,KS- WICHITA,4922,28,294,04-11-2020
203,KY- COVINGTON,1080,21,147,04-11-2020
204,KY- LEXINGTON,5136,70,245,04-11-2020
205,KY- LOUISVILLE,4767,49,147,04-11-2020
207,KY- OWENSBORO,458,14,196,04-11-2020
208,KY- PADUCAH,1566,56,343,04-11-2020
209,LA- ALEXANDRIA,963,28,49,04-11-2020
210,LA- BATON ROUGE,2424,56,147,04-11-2020
212,LA- HOUMA,680,21,98,04-11-2020
213,LA- LAFAYETTE,2113,49,147,04-11-2020
214,LA- LAKE CHARLES,823,42,147,04-11-2020
216,LA- METAIRIE,990,21,49,04-11-2020
217,LA- MONROE,911,14,196,04-11-2020
218,LA- NEW ORLEANS,2411,14,245,04-11-2020
219,LA- SHREVEPORT,2701,35,98,04-11-2020
220,LA- SLIDELL,448,56,98,04-11-2020
221,ME- BANGOR,1062,28,392,04-11-2020
222,ME- PORTLAND,2562,63,245,04-11-2020
223,MD- BALTIMORE,6717,28,392,04-11-2020
225,MD- SALISBURY,909,28,147,04-11-2020
226,MD- TAKOMA PARK,1224,63,49,04-11-2020
227,MA- BOSTON,10956,28,441,04-11-2020
230,MA- SPRINGFIELD,1559,42,294,04-11-2020
231,MA- WORCESTER,1607,35,196,04-11-2020
232,MI- ANN ARBOR,3194,70,147,04-11-2020
233,MI- DEARBORN,1595,49,490,04-11-2020
234,MI- DETROIT,4596,63,343,04-11-2020
235,MI- FLINT,1305,21,392,04-11-2020
236,MI- GRAND RAPIDS,2267,42,196,04-11-2020
238,MI- KALAMAZOO,1428,49,392,04-11-2020
239,MI- LANSING,1479,56,392,04-11-2020
240,MI- MARQUETTE,460,28,490,04-11-2020
242,MI- MUSKEGON,529,7,490,04-11-2020
243,MI- PETOSKEY,276,70,49,04-11-2020
244,MI- PONTIAC,1114,70,294,04-11-2020
245,MI- ROYAL OAK,2621,21,294,04-11-2020
246,MI- SAGINAW,2040,56,490,04-11-2020
248,MI- ST JOSEPH,253,49,294,04-11-2020
249,MI- TRAVERSE CITY,453,56,490,04-11-2020
250,MN- DULUTH,1141,21,490,04-11-2020
251,MN- MINNEAPOLIS,8494,21,147,04-11-2020
253,MN- ROCHESTER,2543,56,245,04-11-2020
254,MN- ST CLOUD,637,70,147,04-11-2020
256,MN- ST PAUL,2278,7,490,04-11-2020
257,MS- GULFPORT,752,21,441,04-11-2020
258,MS- HATTIESBURG,1140,70,147,04-11-2020
259,MS- JACKSON,4432,49,441,04-11-2020
260,MS- MERIDIAN,943,35,245,04-11-2020
261,MS- OXFORD,624,14,490,04-11-2020
262,MS- TUPELO,1623,7,441,04-11-2020
263,MO- CAPE GIRARDEAU,971,56,196,04-11-2020
264,MO- COLUMBIA,1809,35,196,04-11-2020
267,MO- JOPLIN,884,70,490,04-11-2020
268,MO- KANSAS CITY,7883,42,441,04-11-2020
270,MO- SPRINGFIELD,1896,63,196,04-11-2020
273,MO- ST LOUIS,12194,7,147,04-11-2020
274,MT- BILLINGS,2167,42,196,04-11-2020
275,MT- GREAT FALLS,784,21,294,04-11-2020
276,MT- MISSOULA,1131,28,147,04-11-2020
277,NE- LINCOLN,1816,21,245,04-11-2020
278,NE- OMAHA,5439,28,441,04-11-2020
279,NV- LAS VEGAS,4047,35,147,04-11-2020
280,NV- RENO,1914,7,490,04-11-2020
281,NH- LEBANON,901,70,196,04-11-2020
282,NH- MANCHESTER,1918,56,98,04-11-2020
283,NJ- CAMDEN,7931,56,294,04-11-2020
284,NJ- HACKENSACK,3680,49,294,04-11-2020
285,NJ- MORRISTOWN,1914,14,245,04-11-2020
288,NJ- NEW BRUNSWICK,2759,7,49,04-11-2020
289,NJ- NEWARK,4798,63,294,04-11-2020
291,NJ- PATERSON,1129,49,294,04-11-2020
292,NJ- RIDGEWOOD,785,7,147,04-11-2020
293,NM- ALBUQUERQUE,3345,14,441,04-11-2020
295,NY- ALBANY,4922,7,343,04-11-2020
296,NY- BINGHAMTON,908,21,392,04-11-2020
297,NY- BRONX,3564,56,49,04-11-2020
299,NY- BUFFALO,3525,70,49,04-11-2020
300,NY- ELMIRA,1063,14,392,04-11-2020
301,NY- EAST LONG ISLAND,10890,49,98,04-11-2020
304,NY- ROCHESTER,2939,21,245,04-11-2020
307,NY- SYRACUSE,2776,49,245,04-11-2020
308,NY- WHITE PLAINS,2962,7,245,04-11-2020
309,NC- ASHEVILLE,1871,7,294,04-11-2020
311,NC- CHARLOTTE,5764,28,196,04-11-2020
312,NC- DURHAM,4568,49,294,04-11-2020
313,NC- GREENSBORO,1738,56,49,04-11-2020
314,NC- GREENVILLE,2460,49,441,04-11-2020
315,NC- HICKORY,741,7,294,04-11-2020
318,NC- RALEIGH,4228,7,147,04-11-2020
319,NC- WILMINGTON,1196,21,343,04-11-2020
320,NC- WINSTON-SALEM,3626,56,490,04-11-2020
321,ND- BISMARCK,768,70,98,04-11-2020
322,ND- FARGO MOORHEAD -MN,2008,21,294,04-11-2020
323,ND- GRAND FORKS,566,21,196,04-11-2020
324,ND- MINOT,693,7,294,04-11-2020
325,OH- AKRON,2405,21,343,04-11-2020
326,OH- CANTON,2066,49,245,04-11-2020
327,OH- CINCINNATI,4731,63,196,04-11-2020
328,OH- CLEVELAND,8819,7,392,04-11-2020
329,OH- COLUMBUS,8906,49,196,04-11-2020
330,OH- DAYTON,3261,7,245,04-11-2020
331,OH- ELYRIA,662,63,392,04-11-2020
332,OH- KETTERING,1100,56,441,04-11-2020
334,OH- TOLEDO,4126,63,441,04-11-2020
335,OH- YOUNGSTOWN,2565,35,392,04-11-2020
336,OK- LAWTON,657,56,196,04-11-2020
339,OK- OKLAHOMA CITY,6538,42,392,04-11-2020
340,OK- TULSA,4966,56,245,04-11-2020
341,OR- BEND,384,21,441,04-11-2020
342,OR- EUGENE,1105,70,490,04-11-2020
343,OR- MEDFORD,951,14,147,04-11-2020
344,OR- PORTLAND,5187,49,196,04-11-2020
345,OR- SALEM,366,70,196,04-11-2020
346,PA- ALLENTOWN,3094,63,196,04-11-2020
347,PA- ALTOONA,674,21,294,04-11-2020
350,PA- DANVILLE,1491,28,490,04-11-2020
351,PA- ERIE,2219,7,392,04-11-2020
352,PA- HARRISBURG,2270,21,245,04-11-2020
354,PA- JOHNSTOWN,677,63,490,04-11-2020
355,PA- LANCASTER,1170,21,98,04-11-2020
356,PA- PHILADELPHIA,12433,21,441,04-11-2020
357,PA- PITTSBURGH,11665,7,392,04-11-2020
358,PA- READING,1382,42,196,04-11-2020
359,PA- SAYRE,457,14,147,04-11-2020
360,PA- SCRANTON,868,14,245,04-11-2020
362,PA- WILKES-BARRE,641,14,98,04-11-2020
363,PA- YORK,775,56,245,04-11-2020
364,RI- PROVIDENCE,3097,35,343,04-11-2020
365,SC- CHARLESTON,2928,49,49,04-11-2020
366,SC- COLUMBIA,3692,56,49,04-11-2020
367,SC- FLORENCE,1299,42,294,04-11-2020
368,SC- GREENVILLE,2378,14,147,04-11-2020
369,SC- SPARTANBURG,1005,56,245,04-11-2020
370,SD- RAPID CITY,653,35,245,04-11-2020
371,SD- SIOUX FALLS,2725,49,294,04-11-2020
373,TN- CHATTANOOGA,2213,28,49,04-11-2020
374,TN- JACKSON,1343,7,49,04-11-2020
375,TN- JOHNSON CITY,919,21,147,04-11-2020
376,TN- KINGSPORT,1965,21,245,04-11-2020
377,TN- KNOXVILLE,4119,56,294,04-11-2020
379,TN- MEMPHIS,6248,70,98,04-11-2020
380,TN- NASHVILLE,8512,42,98,04-11-2020
382,TX- ABILENE,1307,21,441,04-11-2020
383,TX- AMARILLO,1488,14,147,04-11-2020
385,TX- AUSTIN,3463,35,490,04-11-2020
386,TX- BEAUMONT,1300,70,392,04-11-2020
388,TX- BRYAN,542,70,98,04-11-2020
390,TX- CORPUS CHRISTI,2045,7,147,04-11-2020
391,TX- DALLAS,12224,21,441,04-11-2020
393,TX- EL PASO,2696,49,294,04-11-2020
394,TX- FORT WORTH,4951,56,49,04-11-2020
396,TX- HARLINGEN,1404,14,343,04-11-2020
397,TX- HOUSTON,17003,63,294,04-11-2020
399,TX- LONGVIEW,658,28,392,04-11-2020
400,TX- LUBBOCK,2376,14,392,04-11-2020
402,TX- MCALLEN,1558,28,490,04-11-2020
406,TX- ODESSA,1229,63,441,04-11-2020
411,TX- SAN ANGELO,645,42,294,04-11-2020
412,TX- SAN ANTONIO,7187,49,49,04-11-2020
413,TX- TEMPLE,925,14,98,04-11-2020
416,TX- TYLER,1569,35,441,04-11-2020
417,TX- VICTORIA,739,28,245,04-11-2020
418,TX- WACO,576,21,196,04-11-2020
420,TX- WICHITA FALLS,669,21,245,04-11-2020
421,UT- OGDEN,674,56,343,04-11-2020
422,UT- PROVO,867,35,392,04-11-2020
423,UT- SALT LAKE CITY,3915,35,441,04-11-2020
424,VT- BURLINGTON,1535,49,441,04-11-2020
426,VA- ARLINGTON,2865,28,98,04-11-2020
427,VA- CHARLOTTESVILLE,1368,35,441,04-11-2020
428,VA- LYNCHBURG,689,63,343,04-11-2020
429,VA- NEWPORT NEWS,1076,63,49,04-11-2020
430,VA- NORFOLK,2637,70,343,04-11-2020
431,VA- RICHMOND,4637,63,196,04-11-2020
432,VA- ROANOKE,2724,70,196,04-11-2020
435,VA- WINCHESTER,912,21,441,04-11-2020
437,WA- EVERETT,758,63,147,04-11-2020
438,WA- OLYMPIA,612,63,245,04-11-2020
439,WA- SEATTLE,5436,7,147,04-11-2020
440,WA- SPOKANE,3710,49,392,04-11-2020
441,WA- TACOMA,1171,56,245,04-11-2020
442,WA- YAKIMA,530,49,343,04-11-2020
443,WV- CHARLESTON,2397,28,98,04-11-2020
444,WV- HUNTINGTON,1629,21,490,04-11-2020
445,WV- MORGANTOWN,1735,28,343,04-11-2020
446,WI- APPLETON,596,21,49,04-11-2020
447,WI- GREEN BAY,1580,21,147,04-11-2020
448,WI- LA CROSSE,913,42,441,04-11-2020
449,WI- MADISON,2995,14,294,04-11-2020
450,WI- MARSHFIELD,1143,35,392,04-11-2020
451,WI- MILWAUKEE,8243,7,196,04-11-2020
303,NY- NEW YORK,15497,49,98,04-11-2020
452,WI- NEENAH,551,7,196,04-11-2020
456,WI- WAUSAU,551,14,245,04-11-2020
457,WY- CASPER,659,42,49,04-11-2020
