HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
141,FL- TAMPA,04-06-2020,4260,2130,NA,60,6,NA,1125
142,GA- ALBANY,04-06-2020,1063,531,NA,30,9,NA,1350
144,GA- ATLANTA,04-06-2020,11979,5989,NA,15,3,NA,2025
145,GA- AUGUSTA,04-06-2020,2455,1227,NA,75,15,NA,2025
146,GA- COLUMBUS,04-06-2020,1259,629,NA,120,12,NA,900
147,GA- MACON,04-06-2020,2236,1118,NA,75,15,NA,1575
148,GA- ROME,04-06-2020,732,366,NA,150,15,NA,1575
149,GA- SAVANNAH,04-06-2020,2058,1029,NA,75,22,NA,675
151,ID- BOISE,04-06-2020,2077,1038,NA,60,6,NA,225
152,ID- IDAHO FALLS,04-06-2020,461,230,NA,15,3,NA,2025
154,IL- AURORA,04-06-2020,527,263,NA,150,45,NA,900
155,IL- BLUE ISLAND,04-06-2020,2536,1268,NA,90,9,NA,2025
156,IL- CHICAGO,04-06-2020,8560,4280,NA,90,18,NA,2250
158,IL- ELGIN,04-06-2020,1086,543,NA,120,12,NA,225
161,IL- EVANSTON,04-06-2020,2416,1208,NA,120,12,NA,225
163,IL- HINSDALE,04-06-2020,1100,550,NA,75,22,NA,2250
164,IL- JOLIET,04-06-2020,1326,663,NA,135,40,NA,1125
166,IL- MELROSE PARK,04-06-2020,3094,1547,NA,15,3,NA,1350
170,IL- PEORIA,04-06-2020,1859,929,NA,90,9,NA,2025
171,IL- ROCKFORD,04-06-2020,1531,765,NA,60,12,NA,450
172,IL- SPRINGFIELD,04-06-2020,2545,1272,NA,105,21,NA,225
173,IL- URBANA,04-06-2020,1039,519,NA,75,7,NA,450
175,IL- BLOOMINGTON,04-06-2020,267,133,NA,75,7,NA,2250
179,IN- EVANSVILLE,04-06-2020,2045,1022,NA,150,15,NA,1125
180,IN- FORT WAYNE,04-06-2020,2212,1106,NA,105,10,NA,2025
181,IN- GARY,04-06-2020,1506,753,NA,105,21,NA,1350
183,IN- INDIANAPOLIS,04-06-2020,6417,3208,NA,15,1,NA,900
184,IN- LAFAYETTE,04-06-2020,741,370,NA,135,13,NA,900
185,IN- MUNCIE,04-06-2020,419,209,NA,30,9,NA,1350
186,IN- MUNSTER,04-06-2020,1154,577,NA,75,15,NA,1125
187,IN- SOUTH BEND,04-06-2020,1529,764,NA,30,9,NA,2250
188,IN- TERRE HAUTE,04-06-2020,539,269,NA,60,6,NA,675
190,IA- CEDAR RAPIDS,04-06-2020,1116,558,NA,120,36,NA,1125
191,IA- DAVENPORT,04-06-2020,2223,1111,NA,30,6,NA,1575
192,IA- DES MOINES,04-06-2020,3293,1646,NA,15,1,NA,450
193,IA- DUBUQUE,04-06-2020,545,272,NA,45,9,NA,1125
194,IA- IOWA CITY,04-06-2020,1943,971,NA,90,18,NA,2250
195,IA- MASON CITY,04-06-2020,733,366,NA,45,9,NA,225
196,IA- SIOUX CITY,04-06-2020,1132,566,NA,30,9,NA,1575
197,IA- WATERLOO,04-06-2020,639,319,NA,45,9,NA,1125
200,KS- TOPEKA,04-06-2020,1547,773,NA,60,6,NA,1575
201,KS- WICHITA,04-06-2020,4950,2475,NA,60,18,NA,2025
203,KY- COVINGTON,04-06-2020,1101,550,NA,150,30,NA,2250
204,KY- LEXINGTON,04-06-2020,5206,2603,NA,30,9,NA,2250
205,KY- LOUISVILLE,04-06-2020,4816,2408,NA,45,13,NA,1575
207,KY- OWENSBORO,04-06-2020,472,236,NA,90,18,NA,1800
208,KY- PADUCAH,04-06-2020,1622,811,NA,75,15,NA,1350
209,LA- ALEXANDRIA,04-06-2020,991,495,NA,150,45,NA,450
210,LA- BATON ROUGE,04-06-2020,2480,1240,NA,30,3,NA,900
212,LA- HOUMA,04-06-2020,701,350,NA,60,18,NA,1125
213,LA- LAFAYETTE,04-06-2020,2162,1081,NA,135,27,NA,675
214,LA- LAKE CHARLES,04-06-2020,865,432,NA,75,7,NA,2025
216,LA- METAIRIE,04-06-2020,1011,505,NA,105,31,NA,900
217,LA- MONROE,04-06-2020,925,462,NA,105,21,NA,900
218,LA- NEW ORLEANS,04-06-2020,2425,1212,NA,90,27,NA,2025
219,LA- SHREVEPORT,04-06-2020,2736,1368,NA,45,9,NA,1800
220,LA- SLIDELL,04-06-2020,504,252,NA,15,4,NA,675
221,ME- BANGOR,04-06-2020,1090,545,NA,120,36,NA,1575
222,ME- PORTLAND,04-06-2020,2625,1312,NA,45,4,NA,675
223,MD- BALTIMORE,04-06-2020,6745,3372,NA,135,13,NA,2025
225,MD- SALISBURY,04-06-2020,937,468,NA,30,3,NA,900
226,MD- TAKOMA PARK,04-06-2020,1287,643,NA,105,10,NA,1800
227,MA- BOSTON,04-06-2020,10984,5492,NA,15,3,NA,1350
230,MA- SPRINGFIELD,04-06-2020,1601,800,NA,105,31,NA,2250
231,MA- WORCESTER,04-06-2020,1642,821,NA,30,9,NA,2250
232,MI- ANN ARBOR,04-06-2020,3264,1632,NA,150,30,NA,1350
233,MI- DEARBORN,04-06-2020,1644,822,NA,15,4,NA,900
234,MI- DETROIT,04-06-2020,4659,2329,NA,30,9,NA,675
235,MI- FLINT,04-06-2020,1326,663,NA,150,45,NA,1350
236,MI- GRAND RAPIDS,04-06-2020,2309,1154,NA,15,1,NA,2250
238,MI- KALAMAZOO,04-06-2020,1477,738,NA,60,6,NA,1125
239,MI- LANSING,04-06-2020,1535,767,NA,150,45,NA,450
240,MI- MARQUETTE,04-06-2020,488,244,NA,45,9,NA,1350
242,MI- MUSKEGON,04-06-2020,536,268,NA,150,15,NA,2250
243,MI- PETOSKEY,04-06-2020,346,173,NA,30,9,NA,1125
244,MI- PONTIAC,04-06-2020,1184,592,NA,150,45,NA,1125
245,MI- ROYAL OAK,04-06-2020,2642,1321,NA,30,9,NA,450
246,MI- SAGINAW,04-06-2020,2096,1048,NA,45,9,NA,2025
248,MI- ST JOSEPH,04-06-2020,302,151,NA,150,15,NA,1125
249,MI- TRAVERSE CITY,04-06-2020,509,254,NA,30,3,NA,1800
250,MN- DULUTH,04-06-2020,1162,581,NA,90,27,NA,1125
251,MN- MINNEAPOLIS,04-06-2020,8515,4257,NA,105,31,NA,2025
