HRRNum,HRR City,Last Update,Beds Avail,Vent. Avail,Staff Avail,Beds Needed,Vents Needed,Staff Needed,Cases
181,IN- GARY,04-28-2020,1506,753,NA,71,21,NA,35287
183,IN- INDIANAPOLIS,04-28-2020,6417,3208,NA,568,170,NA,25205
184,IN- LAFAYETTE,04-28-2020,741,370,NA,213,63,NA,40328
185,IN- MUNCIE,04-28-2020,419,209,NA,284,56,NA,40328
186,IN- MUNSTER,04-28-2020,1154,577,NA,639,127,NA,35287
187,IN- SOUTH BEND,04-28-2020,1529,764,NA,568,170,NA,15123
188,IN- TERRE HAUTE,04-28-2020,539,269,NA,639,191,NA,35287
190,IA- CEDAR RAPIDS,04-28-2020,1116,558,NA,213,21,NA,5041
191,IA- DAVENPORT,04-28-2020,2223,1111,NA,710,213,NA,15123
192,IA- DES MOINES,04-28-2020,3293,1646,NA,213,21,NA,40328
193,IA- DUBUQUE,04-28-2020,545,272,NA,284,28,NA,50410
194,IA- IOWA CITY,04-28-2020,1943,971,NA,142,42,NA,15123
195,IA- MASON CITY,04-28-2020,733,366,NA,71,14,NA,50410
196,IA- SIOUX CITY,04-28-2020,1132,566,NA,355,35,NA,45369
197,IA- WATERLOO,04-28-2020,639,319,NA,213,63,NA,15123
200,KS- TOPEKA,04-28-2020,1547,773,NA,568,56,NA,30246
201,KS- WICHITA,04-28-2020,4950,2475,NA,355,35,NA,25205
203,KY- COVINGTON,04-28-2020,1101,550,NA,639,191,NA,25205
204,KY- LEXINGTON,04-28-2020,5206,2603,NA,355,106,NA,35287
205,KY- LOUISVILLE,04-28-2020,4816,2408,NA,71,7,NA,25205
207,KY- OWENSBORO,04-28-2020,472,236,NA,284,28,NA,40328
208,KY- PADUCAH,04-28-2020,1622,811,NA,497,49,NA,20164
209,LA- ALEXANDRIA,04-28-2020,991,495,NA,710,142,NA,35287
210,LA- BATON ROUGE,04-28-2020,2480,1240,NA,71,14,NA,40328
212,LA- HOUMA,04-28-2020,701,350,NA,284,28,NA,5041
213,LA- LAFAYETTE,04-28-2020,2162,1081,NA,710,142,NA,15123
214,LA- LAKE CHARLES,04-28-2020,865,432,NA,710,213,NA,5041
216,LA- METAIRIE,04-28-2020,1011,505,NA,71,21,NA,20164
217,LA- MONROE,04-28-2020,925,462,NA,568,113,NA,45369
218,LA- NEW ORLEANS,04-28-2020,2425,1212,NA,213,63,NA,50410
219,LA- SHREVEPORT,04-28-2020,2736,1368,NA,497,49,NA,15123
220,LA- SLIDELL,04-28-2020,504,252,NA,426,85,NA,45369
221,ME- BANGOR,04-28-2020,1090,545,NA,710,142,NA,40328
222,ME- PORTLAND,04-28-2020,2625,1312,NA,568,170,NA,50410
223,MD- BALTIMORE,04-28-2020,6745,3372,NA,213,42,NA,30246
225,MD- SALISBURY,04-28-2020,937,468,NA,710,213,NA,5041
226,MD- TAKOMA PARK,04-28-2020,1287,643,NA,568,113,NA,40328
227,MA- BOSTON,04-28-2020,10984,5492,NA,355,35,NA,25205
230,MA- SPRINGFIELD,04-28-2020,1601,800,NA,355,106,NA,30246
231,MA- WORCESTER,04-28-2020,1642,821,NA,142,14,NA,15123
232,MI- ANN ARBOR,04-28-2020,3264,1632,NA,568,113,NA,5041
233,MI- DEARBORN,04-28-2020,1644,822,NA,213,42,NA,30246
234,MI- DETROIT,04-28-2020,4659,2329,NA,142,14,NA,40328
235,MI- FLINT,04-28-2020,1326,663,NA,213,42,NA,25205
236,MI- GRAND RAPIDS,04-28-2020,2309,1154,NA,568,56,NA,50410
238,MI- KALAMAZOO,04-28-2020,1477,738,NA,497,49,NA,35287
239,MI- LANSING,04-28-2020,1535,767,NA,284,28,NA,15123
240,MI- MARQUETTE,04-28-2020,488,244,NA,568,113,NA,20164
242,MI- MUSKEGON,04-28-2020,536,268,NA,284,56,NA,20164
243,MI- PETOSKEY,04-28-2020,346,173,NA,213,21,NA,20164
244,MI- PONTIAC,04-28-2020,1184,592,NA,639,63,NA,50410
245,MI- ROYAL OAK,04-28-2020,2642,1321,NA,355,71,NA,50410
246,MI- SAGINAW,04-28-2020,2096,1048,NA,355,71,NA,50410
248,MI- ST JOSEPH,04-28-2020,302,151,NA,497,149,NA,40328
249,MI- TRAVERSE CITY,04-28-2020,509,254,NA,639,127,NA,45369
250,MN- DULUTH,04-28-2020,1162,581,NA,284,56,NA,25205
251,MN- MINNEAPOLIS,04-28-2020,8515,4257,NA,426,42,NA,30246
253,MN- ROCHESTER,04-28-2020,2599,1299,NA,426,42,NA,50410
254,MN- ST CLOUD,04-28-2020,707,353,NA,497,99,NA,45369
256,MN- ST PAUL,04-28-2020,2285,1142,NA,213,63,NA,50410
257,MS- GULFPORT,04-28-2020,773,386,NA,355,35,NA,45369
258,MS- HATTIESBURG,04-28-2020,1210,605,NA,426,42,NA,25205
259,MS- JACKSON,04-28-2020,4481,2240,NA,568,113,NA,25205
260,MS- MERIDIAN,04-28-2020,978,489,NA,355,35,NA,20164
261,MS- OXFORD,04-28-2020,638,319,NA,71,7,NA,20164
262,MS- TUPELO,04-28-2020,1630,815,NA,355,71,NA,30246
263,MO- CAPE GIRARDEAU,04-28-2020,1027,513,NA,568,56,NA,40328
264,MO- COLUMBIA,04-28-2020,1844,922,NA,426,127,NA,25205
267,MO- JOPLIN,04-28-2020,954,477,NA,213,21,NA,10082
268,MO- KANSAS CITY,04-28-2020,7925,3962,NA,426,42,NA,15123
270,MO- SPRINGFIELD,04-28-2020,1959,979,NA,426,85,NA,10082
273,MO- ST LOUIS,04-28-2020,12201,6100,NA,355,35,NA,50410
274,MT- BILLINGS,04-28-2020,2209,1104,NA,426,127,NA,20164
275,MT- GREAT FALLS,04-28-2020,805,402,NA,497,49,NA,25205
276,MT- MISSOULA,04-28-2020,1159,579,NA,568,113,NA,35287
277,NE- LINCOLN,04-28-2020,1837,918,NA,710,142,NA,15123
278,NE- OMAHA,04-28-2020,5467,2733,NA,71,21,NA,50410
279,NV- LAS VEGAS,04-28-2020,4082,2041,NA,426,127,NA,40328
280,NV- RENO,04-28-2020,1921,960,NA,71,14,NA,15123
281,NH- LEBANON,04-28-2020,971,485,NA,284,56,NA,25205
282,NH- MANCHESTER,04-28-2020,1974,987,NA,426,85,NA,40328
283,NJ- CAMDEN,04-28-2020,7987,3993,NA,568,56,NA,50410
284,NJ- HACKENSACK,04-28-2020,3729,1864,NA,284,56,NA,35287
285,NJ- MORRISTOWN,04-28-2020,1928,964,NA,355,106,NA,5041
288,NJ- NEW BRUNSWICK,04-28-2020,2766,1383,NA,71,7,NA,20164
289,NJ- NEWARK,04-28-2020,4861,2430,NA,213,21,NA,40328
291,NJ- PATERSON,04-28-2020,1178,589,NA,355,35,NA,50410
292,NJ- RIDGEWOOD,04-28-2020,792,396,NA,568,170,NA,40328
293,NM- ALBUQUERQUE,04-28-2020,3359,1679,NA,497,49,NA,10082
295,NY- ALBANY,04-28-2020,4929,2464,NA,284,28,NA,40328
296,NY- BINGHAMTON,04-28-2020,929,464,NA,639,191,NA,40328
297,NY- BRONX,04-28-2020,3620,1810,NA,213,42,NA,25205
299,NY- BUFFALO,04-28-2020,3595,1797,NA,497,99,NA,45369
300,NY- ELMIRA,04-28-2020,1077,538,NA,710,142,NA,30246
301,NY- EAST LONG ISLAND,04-28-2020,10939,5469,NA,710,213,NA,35287
304,NY- ROCHESTER,04-28-2020,2960,1480,NA,426,85,NA,15123
307,NY- SYRACUSE,04-28-2020,2825,1412,NA,355,71,NA,25205
308,NY- WHITE PLAINS,04-28-2020,2969,1484,NA,142,28,NA,15123
309,NC- ASHEVILLE,04-28-2020,1878,939,NA,639,63,NA,50410
311,NC- CHARLOTTE,04-28-2020,5792,2896,NA,213,21,NA,20164
312,NC- DURHAM,04-28-2020,4617,2308,NA,355,106,NA,30246
313,NC- GREENSBORO,04-28-2020,1794,897,NA,497,99,NA,50410
314,NC- GREENVILLE,04-28-2020,2509,1254,NA,710,213,NA,50410
315,NC- HICKORY,04-28-2020,748,374,NA,284,85,NA,50410
318,NC- RALEIGH,04-28-2020,4235,2117,NA,568,170,NA,15123
319,NC- WILMINGTON,04-28-2020,1217,608,NA,213,63,NA,40328
320,NC- WINSTON-SALEM,04-28-2020,3682,1841,NA,142,42,NA,30246
321,ND- BISMARCK,04-28-2020,838,419,NA,710,71,NA,5041
322,ND- FARGO MOORHEAD -MN,04-28-2020,2029,1014,NA,213,63,NA,45369
323,ND- GRAND FORKS,04-28-2020,587,293,NA,568,56,NA,20164
324,ND- MINOT,04-28-2020,700,350,NA,213,21,NA,45369
325,OH- AKRON,04-28-2020,2426,1213,NA,568,113,NA,35287
326,OH- CANTON,04-28-2020,2115,1057,NA,213,63,NA,10082
327,OH- CINCINNATI,04-28-2020,4794,2397,NA,426,42,NA,35287
328,OH- CLEVELAND,04-28-2020,8826,4413,NA,497,149,NA,40328
329,OH- COLUMBUS,04-28-2020,8955,4477,NA,142,42,NA,50410
330,OH- DAYTON,04-28-2020,3268,1634,NA,639,127,NA,15123
331,OH- ELYRIA,04-28-2020,725,362,NA,710,213,NA,25205
332,OH- KETTERING,04-28-2020,1156,578,NA,284,85,NA,50410
334,OH- TOLEDO,04-28-2020,4189,2094,NA,426,42,NA,45369
335,OH- YOUNGSTOWN,04-28-2020,2600,1300,NA,355,35,NA,30246
336,OK- LAWTON,04-28-2020,713,356,NA,497,149,NA,40328
339,OK- OKLAHOMA CITY,04-28-2020,6580,3290,NA,284,85,NA,50410
340,OK- TULSA,04-28-2020,5022,2511,NA,497,99,NA,35287
341,OR- BEND,04-28-2020,405,202,NA,142,42,NA,25205
342,OR- EUGENE,04-28-2020,1175,587,NA,639,191,NA,25205
343,OR- MEDFORD,04-28-2020,965,482,NA,568,56,NA,50410
344,OR- PORTLAND,04-28-2020,5236,2618,NA,71,21,NA,40328
345,OR- SALEM,04-28-2020,436,218,NA,568,113,NA,35287
346,PA- ALLENTOWN,04-28-2020,3157,1578,NA,497,49,NA,45369
347,PA- ALTOONA,04-28-2020,695,347,NA,213,21,NA,25205
350,PA- DANVILLE,04-28-2020,1519,759,NA,568,113,NA,50410
351,PA- ERIE,04-28-2020,2226,1113,NA,284,28,NA,35287
352,PA- HARRISBURG,04-28-2020,2291,1145,NA,213,42,NA,45369
354,PA- JOHNSTOWN,04-28-2020,740,370,NA,71,21,NA,5041
355,PA- LANCASTER,04-28-2020,1191,595,NA,284,56,NA,10082
356,PA- PHILADELPHIA,04-28-2020,12454,6227,NA,710,213,NA,15123
357,PA- PITTSBURGH,04-28-2020,11672,5836,NA,639,127,NA,50410
358,PA- READING,04-28-2020,1424,712,NA,710,71,NA,40328
359,PA- SAYRE,04-28-2020,471,235,NA,639,127,NA,35287
360,PA- SCRANTON,04-28-2020,882,441,NA,284,56,NA,10082
362,PA- WILKES-BARRE,04-28-2020,655,327,NA,71,7,NA,50410
363,PA- YORK,04-28-2020,831,415,NA,426,85,NA,20164
364,RI- PROVIDENCE,04-28-2020,3132,1566,NA,355,35,NA,15123
365,SC- CHARLESTON,04-28-2020,2977,1488,NA,355,35,NA,50410
366,SC- COLUMBIA,04-28-2020,3748,1874,NA,568,113,NA,10082
367,SC- FLORENCE,04-28-2020,1341,670,NA,284,85,NA,45369
368,SC- GREENVILLE,04-28-2020,2392,1196,NA,426,85,NA,50410
369,SC- SPARTANBURG,04-28-2020,1061,530,NA,284,28,NA,35287
370,SD- RAPID CITY,04-28-2020,688,344,NA,639,191,NA,35287
371,SD- SIOUX FALLS,04-28-2020,2774,1387,NA,142,42,NA,25205
373,TN- CHATTANOOGA,04-28-2020,2241,1120,NA,284,28,NA,5041
374,TN- JACKSON,04-28-2020,1350,675,NA,568,113,NA,45369
375,TN- JOHNSON CITY,04-28-2020,940,470,NA,284,85,NA,40328
376,TN- KINGSPORT,04-28-2020,1986,993,NA,71,14,NA,10082
377,TN- KNOXVILLE,04-28-2020,4175,2087,NA,568,170,NA,10082
379,TN- MEMPHIS,04-28-2020,6318,3159,NA,71,14,NA,35287
380,TN- NASHVILLE,04-28-2020,8554,4277,NA,71,14,NA,30246
382,TX- ABILENE,04-28-2020,1328,664,NA,355,35,NA,45369
383,TX- AMARILLO,04-28-2020,1502,751,NA,355,35,NA,15123
385,TX- AUSTIN,04-28-2020,3498,1749,NA,284,28,NA,40328
386,TX- BEAUMONT,04-28-2020,1370,685,NA,213,42,NA,40328
388,TX- BRYAN,04-28-2020,612,306,NA,568,170,NA,35287
390,TX- CORPUS CHRISTI,04-28-2020,2052,1026,NA,284,56,NA,40328
391,TX- DALLAS,04-28-2020,12245,6122,NA,355,106,NA,35287
393,TX- EL PASO,04-28-2020,2745,1372,NA,213,63,NA,30246
394,TX- FORT WORTH,04-28-2020,5007,2503,NA,497,99,NA,10082
396,TX- HARLINGEN,04-28-2020,1418,709,NA,497,149,NA,45369
397,TX- HOUSTON,04-28-2020,17066,8533,NA,71,21,NA,5041
399,TX- LONGVIEW,04-28-2020,686,343,NA,284,28,NA,20164
400,TX- LUBBOCK,04-28-2020,2390,1195,NA,639,127,NA,25205
402,TX- MCALLEN,04-28-2020,1586,793,NA,710,71,NA,45369
406,TX- ODESSA,04-28-2020,1292,646,NA,142,14,NA,20164
411,TX- SAN ANGELO,04-28-2020,687,343,NA,639,63,NA,35287
412,TX- SAN ANTONIO,04-28-2020,7236,3618,NA,142,28,NA,50410
413,TX- TEMPLE,04-28-2020,939,469,NA,497,149,NA,45369
416,TX- TYLER,04-28-2020,1604,802,NA,71,14,NA,45369
417,TX- VICTORIA,04-28-2020,767,383,NA,71,21,NA,20164
418,TX- WACO,04-28-2020,597,298,NA,355,35,NA,50410
420,TX- WICHITA FALLS,04-28-2020,690,345,NA,71,21,NA,30246
421,UT- OGDEN,04-28-2020,730,365,NA,568,56,NA,10082
422,UT- PROVO,04-28-2020,902,451,NA,213,63,NA,10082
423,UT- SALT LAKE CITY,04-28-2020,3950,1975,NA,142,28,NA,15123
424,VT- BURLINGTON,04-28-2020,1584,792,NA,213,42,NA,45369
426,VA- ARLINGTON,04-28-2020,2893,1446,NA,497,149,NA,45369
427,VA- CHARLOTTESVILLE,04-28-2020,1403,701,NA,639,191,NA,25205
428,VA- LYNCHBURG,04-28-2020,752,376,NA,639,63,NA,25205
429,VA- NEWPORT NEWS,04-28-2020,1139,569,NA,213,42,NA,45369
430,VA- NORFOLK,04-28-2020,2707,1353,NA,142,42,NA,40328
431,VA- RICHMOND,04-28-2020,4700,2350,NA,568,113,NA,45369
432,VA- ROANOKE,04-28-2020,2794,1397,NA,284,28,NA,15123
435,VA- WINCHESTER,04-28-2020,933,466,NA,355,35,NA,25205
437,WA- EVERETT,04-28-2020,821,410,NA,710,213,NA,30246
438,WA- OLYMPIA,04-28-2020,675,337,NA,284,56,NA,10082
439,WA- SEATTLE,04-28-2020,5443,2721,NA,355,71,NA,5041
440,WA- SPOKANE,04-28-2020,3759,1879,NA,426,85,NA,10082
441,WA- TACOMA,04-28-2020,1227,613,NA,213,42,NA,10082
442,WA- YAKIMA,04-28-2020,579,289,NA,426,127,NA,35287
443,WV- CHARLESTON,04-28-2020,2425,1212,NA,71,14,NA,10082
444,WV- HUNTINGTON,04-28-2020,1650,825,NA,142,42,NA,5041
445,WV- MORGANTOWN,04-28-2020,1763,881,NA,426,85,NA,30246
446,WI- APPLETON,04-28-2020,617,308,NA,71,7,NA,10082
447,WI- GREEN BAY,04-28-2020,1601,800,NA,426,85,NA,45369
448,WI- LA CROSSE,04-28-2020,955,477,NA,71,21,NA,40328
449,WI- MADISON,04-28-2020,3009,1504,NA,71,7,NA,15123
450,WI- MARSHFIELD,04-28-2020,1178,589,NA,568,170,NA,10082
451,WI- MILWAUKEE,04-28-2020,8250,4125,NA,639,191,NA,30246
303,NY- NEW YORK,04-28-2020,15546,7773,NA,497,49,NA,45369
452,WI- NEENAH,04-28-2020,558,279,NA,710,142,NA,10082
456,WI- WAUSAU,04-28-2020,565,282,NA,213,21,NA,40328
457,WY- CASPER,04-28-2020,701,350,NA,426,42,NA,10082
