HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
137,FL- SARASOTA,04-04-2020,1445,722,NA,44,8,NA,968
139,FL- ST PETERSBURG,04-04-2020,1598,799,NA,22,4,NA,242
140,FL- TALLAHASSEE,04-04-2020,2697,1348,NA,66,6,NA,847
141,FL- TAMPA,04-04-2020,4260,2130,NA,33,9,NA,484
142,GA- ALBANY,04-04-2020,1063,531,NA,22,4,NA,605
144,GA- ATLANTA,04-04-2020,11979,5989,NA,22,2,NA,484
145,GA- AUGUSTA,04-04-2020,2455,1227,NA,77,7,NA,968
146,GA- COLUMBUS,04-04-2020,1259,629,NA,11,3,NA,605
147,GA- MACON,04-04-2020,2236,1118,NA,99,9,NA,363
148,GA- ROME,04-04-2020,732,366,NA,88,26,NA,726
149,GA- SAVANNAH,04-04-2020,2058,1029,NA,55,11,NA,1210
151,ID- BOISE,04-04-2020,2077,1038,NA,22,4,NA,1210
152,ID- IDAHO FALLS,04-04-2020,461,230,NA,110,33,NA,484
154,IL- AURORA,04-04-2020,527,263,NA,66,19,NA,726
155,IL- BLUE ISLAND,04-04-2020,2536,1268,NA,33,6,NA,726
156,IL- CHICAGO,04-04-2020,8560,4280,NA,88,26,NA,968
158,IL- ELGIN,04-04-2020,1086,543,NA,44,8,NA,1089
161,IL- EVANSTON,04-04-2020,2416,1208,NA,88,8,NA,605
163,IL- HINSDALE,04-04-2020,1100,550,NA,66,6,NA,605
164,IL- JOLIET,04-04-2020,1326,663,NA,22,6,NA,605
166,IL- MELROSE PARK,04-04-2020,3094,1547,NA,22,4,NA,242
170,IL- PEORIA,04-04-2020,1859,929,NA,66,6,NA,1089
171,IL- ROCKFORD,04-04-2020,1531,765,NA,77,15,NA,968
172,IL- SPRINGFIELD,04-04-2020,2545,1272,NA,77,15,NA,121
173,IL- URBANA,04-04-2020,1039,519,NA,55,11,NA,484
175,IL- BLOOMINGTON,04-04-2020,267,133,NA,88,8,NA,726
179,IN- EVANSVILLE,04-04-2020,2045,1022,NA,66,13,NA,968
180,IN- FORT WAYNE,04-04-2020,2212,1106,NA,33,6,NA,968
181,IN- GARY,04-04-2020,1506,753,NA,33,3,NA,1089
183,IN- INDIANAPOLIS,04-04-2020,6417,3208,NA,88,8,NA,242
184,IN- LAFAYETTE,04-04-2020,741,370,NA,33,9,NA,484
185,IN- MUNCIE,04-04-2020,419,209,NA,11,1,NA,1210
186,IN- MUNSTER,04-04-2020,1154,577,NA,99,9,NA,847
187,IN- SOUTH BEND,04-04-2020,1529,764,NA,77,23,NA,847
188,IN- TERRE HAUTE,04-04-2020,539,269,NA,55,11,NA,605
190,IA- CEDAR RAPIDS,04-04-2020,1116,558,NA,22,2,NA,1210
191,IA- DAVENPORT,04-04-2020,2223,1111,NA,33,9,NA,1210
192,IA- DES MOINES,04-04-2020,3293,1646,NA,66,19,NA,605
193,IA- DUBUQUE,04-04-2020,545,272,NA,77,23,NA,968
194,IA- IOWA CITY,04-04-2020,1943,971,NA,99,29,NA,484
195,IA- MASON CITY,04-04-2020,733,366,NA,88,17,NA,1210
196,IA- SIOUX CITY,04-04-2020,1132,566,NA,110,11,NA,242
197,IA- WATERLOO,04-04-2020,639,319,NA,44,4,NA,968
200,KS- TOPEKA,04-04-2020,1547,773,NA,110,33,NA,726
201,KS- WICHITA,04-04-2020,4950,2475,NA,66,19,NA,1210
203,KY- COVINGTON,04-04-2020,1101,550,NA,66,19,NA,847
204,KY- LEXINGTON,04-04-2020,5206,2603,NA,88,17,NA,968
205,KY- LOUISVILLE,04-04-2020,4816,2408,NA,33,3,NA,1089
207,KY- OWENSBORO,04-04-2020,472,236,NA,22,4,NA,847
208,KY- PADUCAH,04-04-2020,1622,811,NA,44,4,NA,1089
209,LA- ALEXANDRIA,04-04-2020,991,495,NA,33,6,NA,726
210,LA- BATON ROUGE,04-04-2020,2480,1240,NA,11,2,NA,968
212,LA- HOUMA,04-04-2020,701,350,NA,11,3,NA,1089
213,LA- LAFAYETTE,04-04-2020,2162,1081,NA,110,22,NA,726
214,LA- LAKE CHARLES,04-04-2020,865,432,NA,66,19,NA,726
216,LA- METAIRIE,04-04-2020,1011,505,NA,99,9,NA,121
217,LA- MONROE,04-04-2020,925,462,NA,66,13,NA,242
218,LA- NEW ORLEANS,04-04-2020,2425,1212,NA,11,3,NA,484
219,LA- SHREVEPORT,04-04-2020,2736,1368,NA,33,6,NA,363
220,LA- SLIDELL,04-04-2020,504,252,NA,99,29,NA,726
221,ME- BANGOR,04-04-2020,1090,545,NA,77,15,NA,242
222,ME- PORTLAND,04-04-2020,2625,1312,NA,66,13,NA,726
223,MD- BALTIMORE,04-04-2020,6745,3372,NA,77,23,NA,726
225,MD- SALISBURY,04-04-2020,937,468,NA,66,19,NA,1210
226,MD- TAKOMA PARK,04-04-2020,1287,643,NA,22,6,NA,242
227,MA- BOSTON,04-04-2020,10984,5492,NA,55,5,NA,363
230,MA- SPRINGFIELD,04-04-2020,1601,800,NA,22,6,NA,121
231,MA- WORCESTER,04-04-2020,1642,821,NA,22,2,NA,847
232,MI- ANN ARBOR,04-04-2020,3264,1632,NA,88,26,NA,121
233,MI- DEARBORN,04-04-2020,1644,822,NA,66,13,NA,121
234,MI- DETROIT,04-04-2020,4659,2329,NA,99,19,NA,484
235,MI- FLINT,04-04-2020,1326,663,NA,44,8,NA,121
236,MI- GRAND RAPIDS,04-04-2020,2309,1154,NA,99,19,NA,363
238,MI- KALAMAZOO,04-04-2020,1477,738,NA,33,3,NA,363
239,MI- LANSING,04-04-2020,1535,767,NA,11,1,NA,847
240,MI- MARQUETTE,04-04-2020,488,244,NA,22,2,NA,1089
242,MI- MUSKEGON,04-04-2020,536,268,NA,22,2,NA,1210
243,MI- PETOSKEY,04-04-2020,346,173,NA,99,19,NA,968
244,MI- PONTIAC,04-04-2020,1184,592,NA,77,23,NA,726
245,MI- ROYAL OAK,04-04-2020,2642,1321,NA,44,4,NA,1089
246,MI- SAGINAW,04-04-2020,2096,1048,NA,44,4,NA,363
248,MI- ST JOSEPH,04-04-2020,302,151,NA,66,13,NA,605
249,MI- TRAVERSE CITY,04-04-2020,509,254,NA,11,1,NA,1210
250,MN- DULUTH,04-04-2020,1162,581,NA,77,7,NA,1089
251,MN- MINNEAPOLIS,04-04-2020,8515,4257,NA,110,33,NA,1089
