HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
104,CO- FORT COLLINS,85.34,30,28,39,82.5,94.4,30 [28 - 39],85.34% [82.5% - 94.4%],05-18-2020
105,CO- GRAND JUNCTION,87.83,57,51,71,82.15,99.57,57 [51 - 71],87.83% [82.15% - 99.57%],05-18-2020
106,CO- GREELEY,86.49,45,41,58,82.19,97.37,45 [41 - 58],86.49% [82.19% - 97.37%],05-18-2020
107,CO- PUEBLO,81.33,8,7,11,80.5,84.14,8 [7 - 11],81.33% [80.5% - 84.14%],05-18-2020
109,CT- BRIDGEPORT,90.63,175,158,207,83.66,103.24,175 [158 - 207],90.63% [83.66% - 103.24%],05-18-2020
110,CT- HARTFORD,86.06,196,176,243,81.6,96.12,196 [176 - 243],86.06% [81.6% - 96.12%],05-18-2020
111,CT- NEW HAVEN,87.55,287,259,349,82.6,98.54,287 [259 - 349],87.55% [82.6% - 98.54%],05-18-2020
112,DE- WILMINGTON,83.8,66,61,78,81.88,88.0,66 [61 - 78],83.8% [81.88% - 88.0%],05-18-2020
113,DC- WASHINGTON,95.84,867,808,1012,89.02,111.95,867 [808 - 1012],95.84% [89.02% - 111.95%],05-18-2020
115,FL- BRADENTON,84.61,31,28,37,81.13,89.73,31 [28 - 37],84.61% [81.13% - 89.73%],05-18-2020
116,FL- CLEARWATER,82.83,43,39,52,80.86,86.05,43 [39 - 52],82.83% [80.86% - 86.05%],05-18-2020
118,FL- FORT LAUDERDALE,84.49,387,345,454,81.38,89.33,387 [345 - 454],84.49% [81.38% - 89.33%],05-18-2020
119,FL- FORT MYERS,83.78,140,125,166,81.12,88.02,140 [125 - 166],83.78% [81.12% - 88.02%],05-18-2020
120,FL- GAINESVILLE,82.56,45,40,55,80.54,86.08,45 [40 - 55],82.56% [80.54% - 86.08%],05-18-2020
122,FL- HUDSON,82.89,34,31,41,80.88,86.23,34 [31 - 41],82.89% [80.88% - 86.23%],05-18-2020
123,FL- JACKSONVILLE,82.62,126,112,155,80.61,86.17,126 [112 - 155],82.62% [80.61% - 86.17%],05-18-2020
124,FL- LAKELAND,83.23,32,29,39,80.94,86.93,32 [29 - 39],83.23% [80.94% - 86.93%],05-18-2020
127,FL- MIAMI,84.52,485,433,569,81.34,89.4,485 [433 - 569],84.52% [81.34% - 89.4%],05-18-2020
129,FL- OCALA,83.1,39,35,47,81.24,86.65,39 [35 - 47],83.1% [81.24% - 86.65%],05-18-2020
130,FL- ORLANDO,83.0,307,275,365,80.97,86.49,307 [275 - 365],83.0% [80.97% - 86.49%],05-18-2020
131,FL- ORMOND BEACH,82.12,33,30,39,80.73,84.41,33 [30 - 39],82.12% [80.73% - 84.41%],05-18-2020
133,FL- PANAMA CITY,80.73,0,0,2,80.15,81.96,0 [0 - 2],80.73% [80.15% - 81.96%],05-18-2020
134,FL- PENSACOLA,82.2,49,44,59,80.6,84.85,49 [44 - 59],82.2% [80.6% - 84.85%],05-18-2020
137,FL- SARASOTA,83.0,41,36,48,80.69,86.09,41 [36 - 48],83.0% [80.69% - 86.09%],05-18-2020
139,FL- ST PETERSBURG,82.36,33,30,40,80.75,85.01,33 [30 - 40],82.36% [80.75% - 85.01%],05-18-2020
140,FL- TALLAHASSEE,81.95,49,44,72,80.48,87.12,49 [44 - 72],81.95% [80.48% - 87.12%],05-18-2020
141,FL- TAMPA,83.23,135,121,160,81.03,86.85,135 [121 - 160],83.23% [81.03% - 86.85%],05-18-2020
142,GA- ALBANY,86.03,58,52,76,82.26,96.84,58 [52 - 76],86.03% [82.26% - 96.84%],05-18-2020
144,GA- ATLANTA,89.34,1285,1163,1612,83.9,103.44,1285 [1163 - 1612],89.34% [83.9% - 103.44%],05-18-2020
145,GA- AUGUSTA,81.67,40,38,54,80.86,84.93,40 [38 - 54],81.67% [80.86% - 84.93%],05-18-2020
146,GA- COLUMBUS,83.72,43,40,53,81.75,88.66,43 [40 - 53],83.72% [81.75% - 88.66%],05-18-2020
147,GA- MACON,82.03,39,36,63,80.72,88.54,39 [36 - 63],82.03% [80.72% - 88.54%],05-18-2020
148,GA- ROME,89.53,68,61,83,83.14,102.13,68 [61 - 83],89.53% [83.14% - 102.13%],05-18-2020
149,GA- SAVANNAH,81.82,32,29,48,80.83,86.71,32 [29 - 48],81.82% [80.83% - 86.71%],05-18-2020
151,ID- BOISE,80.65,7,7,13,80.19,82.12,7 [7 - 13],80.65% [80.19% - 82.12%],05-18-2020
152,ID- IDAHO FALLS,80.0,0,0,0,80.0,80.87,0 [0 - 0],80.0% [80.0% - 80.87%],05-18-2020
154,IL- AURORA,101.65,111,101,134,88.54,127.82,111 [101 - 134],101.65% [88.54% - 127.82%],05-18-2020
155,IL- BLUE ISLAND,90.38,259,236,308,84.22,102.59,259 [236 - 308],90.38% [84.22% - 102.59%],05-18-2020
156,IL- CHICAGO,90.26,876,795,1039,84.21,102.34,876 [795 - 1039],90.26% [84.21% - 102.34%],05-18-2020
158,IL- ELGIN,103.97,258,235,307,89.85,132.39,258 [235 - 307],103.97% [89.85% - 132.39%],05-18-2020
161,IL- EVANSTON,94.51,346,314,411,86.0,111.5,346 [314 - 411],94.51% [86.0% - 111.5%],05-18-2020
163,IL- HINSDALE,95.45,166,151,198,86.18,113.91,166 [151 - 198],95.45% [86.18% - 113.91%],05-18-2020
164,IL- JOLIET,97.69,231,210,277,86.86,119.22,231 [210 - 277],97.69% [86.86% - 119.22%],05-18-2020
166,IL- MELROSE PARK,95.08,462,419,550,86.14,112.97,462 [419 - 550],95.08% [86.14% - 112.97%],05-18-2020
170,IL- PEORIA,83.95,70,63,89,81.08,89.74,70 [63 - 89],83.95% [81.08% - 89.74%],05-18-2020
171,IL- ROCKFORD,90.23,153,140,187,84.25,103.51,153 [140 - 187],90.23% [84.25% - 103.51%],05-18-2020
172,IL- SPRINGFIELD,82.42,57,50,77,80.55,86.84,57 [50 - 77],82.42% [80.55% - 86.84%],05-18-2020
173,IL- URBANA,82.99,28,25,40,80.48,88.95,28 [25 - 40],82.99% [80.48% - 88.95%],05-18-2020
175,IL- BLOOMINGTON,90.35,25,23,33,84.49,106.59,25 [23 - 33],90.35% [84.49% - 106.59%],05-18-2020
179,IN- EVANSVILLE,80.82,14,12,23,80.0,83.91,14 [12 - 23],80.82% [80.0% - 83.91%],05-18-2020
180,IN- FORT WAYNE,82.59,55,49,83,80.72,88.18,55 [49 - 83],82.59% [80.72% - 88.18%],05-18-2020
181,IN- GARY,97.76,264,240,308,87.24,115.26,264 [240 - 308],97.76% [87.24% - 115.26%],05-18-2020
183,IN- INDIANAPOLIS,90.7,683,601,821,82.51,103.45,683 [601 - 821],90.7% [82.51% - 103.45%],05-18-2020
184,IN- LAFAYETTE,85.56,35,33,43,82.16,91.07,35 [33 - 43],85.56% [82.16% - 91.07%],05-18-2020
185,IN- MUNCIE,84.53,14,12,19,80.0,91.46,14 [12 - 19],84.53% [80.0% - 91.46%],05-18-2020
186,IN- MUNSTER,95.33,173,157,199,86.41,109.64,173 [157 - 199],95.33% [86.41% - 109.64%],05-18-2020
187,IN- SOUTH BEND,86.73,102,94,121,82.75,94.06,102 [94 - 121],86.73% [82.75% - 94.06%],05-18-2020
188,IN- TERRE HAUTE,83.12,14,12,17,80.0,85.19,14 [12 - 17],83.12% [80.0% - 85.19%],05-18-2020
190,IA- CEDAR RAPIDS,83.36,32,28,41,80.9,88.51,32 [28 - 41],83.36% [80.9% - 88.51%],05-18-2020
191,IA- DAVENPORT,81.27,27,25,34,80.45,83.1,27 [25 - 34],81.27% [80.45% - 83.1%],05-18-2020
192,IA- DES MOINES,81.47,47,42,65,80.27,84.46,47 [42 - 65],81.47% [80.27% - 84.46%],05-18-2020
193,IA- DUBUQUE,82.98,13,12,15,81.1,85.5,13 [12 - 15],82.98% [81.1% - 85.5%],05-18-2020
194,IA- IOWA CITY,81.82,31,28,41,80.46,85.25,31 [28 - 41],81.82% [80.46% - 85.25%],05-18-2020
195,IA- MASON CITY,80.0,0,0,0,80.0,80.55,0 [0 - 0],80.0% [80.0% - 80.55%],05-18-2020
196,IA- SIOUX CITY,80.9,7,6,12,80.35,83.53,7 [6 - 12],80.9% [80.35% - 83.53%],05-18-2020
197,IA- WATERLOO,81.1,3,3,7,80.31,84.69,3 [3 - 7],81.1% [80.31% - 84.69%],05-18-2020
200,KS- TOPEKA,80.8,7,7,16,80.78,83.94,7 [7 - 16],80.8% [80.78% - 83.94%],05-18-2020
201,KS- WICHITA,80.52,23,20,38,80.22,82.28,23 [20 - 38],80.52% [80.22% - 82.28%],05-18-2020
203,KY- COVINGTON,85.27,56,49,70,80.82,90.81,56 [49 - 70],85.27% [80.82% - 90.81%],05-18-2020
204,KY- LEXINGTON,82.47,124,105,199,80.36,91.28,124 [105 - 199],82.47% [80.36% - 91.28%],05-18-2020
205,KY- LOUISVILLE,84.29,203,182,276,81.25,93.58,203 [182 - 276],84.29% [81.25% - 93.58%],05-18-2020
207,KY- OWENSBORO,82.96,10,8,13,80.0,86.99,10 [8 - 13],82.96% [80.0% - 86.99%],05-18-2020
208,KY- PADUCAH,80.16,0,0,9,80.0,82.84,0 [0 - 9],80.16% [80.0% - 82.84%],05-18-2020
209,LA- ALEXANDRIA,80.5,0,0,3,80.0,82.22,0 [0 - 3],80.5% [80.0% - 82.22%],05-18-2020
210,LA- BATON ROUGE,82.84,65,60,99,81.17,91.45,65 [60 - 99],82.84% [81.17% - 91.45%],05-18-2020
212,LA- HOUMA,83.55,21,20,31,81.28,91.98,21 [20 - 31],83.55% [81.28% - 91.98%],05-18-2020
213,LA- LAFAYETTE,80.99,21,19,31,80.19,83.93,21 [19 - 31],80.99% [80.19% - 83.93%],05-18-2020
214,LA- LAKE CHARLES,80.57,0,0,4,80.0,82.89,0 [0 - 4],80.57% [80.0% - 82.89%],05-18-2020
216,LA- METAIRIE,87.6,71,66,93,83.26,102.06,71 [66 - 93],87.6% [83.26% - 102.06%],05-18-2020
217,LA- MONROE,80.53,0,0,1,80.0,80.97,0 [0 - 1],80.53% [80.0% - 80.97%],05-18-2020
218,LA- NEW ORLEANS,85.08,120,110,151,82.19,93.73,120 [110 - 151],85.08% [82.19% - 93.73%],05-18-2020
219,LA- SHREVEPORT,80.82,18,16,29,80.29,83.4,18 [16 - 29],80.82% [80.29% - 83.4%],05-18-2020
220,LA- SLIDELL,89.06,42,40,53,85.36,103.02,42 [40 - 53],89.06% [85.36% - 103.02%],05-18-2020
221,ME- BANGOR,80.68,3,3,6,80.09,82.02,3 [3 - 6],80.68% [80.09% - 82.02%],05-18-2020
222,ME- PORTLAND,82.24,55,51,69,80.88,85.52,55 [51 - 69],82.24% [80.88% - 85.52%],05-18-2020
223,MD- BALTIMORE,95.31,1028,947,1239,87.66,114.38,1028 [947 - 1239],95.31% [87.66% - 114.38%],05-18-2020
225,MD- SALISBURY,88.88,81,73,97,83.09,98.89,81 [73 - 97],88.88% [83.09% - 98.89%],05-18-2020
226,MD- TAKOMA PARK,110.96,394,369,456,98.49,140.99,394 [369 - 456],110.96% [98.49% - 140.99%],05-18-2020
227,MA- BOSTON,83.99,436,388,530,81.17,89.79,436 [388 - 530],83.99% [81.17% - 89.79%],05-18-2020
230,MA- SPRINGFIELD,82.82,44,39,53,80.69,86.68,44 [39 - 53],82.82% [80.69% - 86.68%],05-18-2020
231,MA- WORCESTER,84.03,63,58,77,81.28,90.11,63 [58 - 77],84.03% [81.28% - 90.11%],05-18-2020
232,MI- ANN ARBOR,81.08,31,28,45,80.31,83.98,31 [28 - 45],81.08% [80.31% - 83.98%],05-18-2020
233,MI- DEARBORN,80.91,14,13,19,80.24,83.16,14 [13 - 19],80.91% [80.24% - 83.16%],05-18-2020
234,MI- DETROIT,81.06,45,41,63,80.3,83.69,45 [41 - 63],81.06% [80.3% - 83.69%],05-18-2020
235,MI- FLINT,80.8,7,7,12,80.08,83.17,7 [7 - 12],80.8% [80.08% - 83.17%],05-18-2020
236,MI- GRAND RAPIDS,80.21,0,0,4,80.0,81.17,0 [0 - 4],80.21% [80.0% - 81.17%],05-18-2020
238,MI- KALAMAZOO,80.0,0,0,1,80.0,80.81,0 [0 - 1],80.0% [80.0% - 80.81%],05-18-2020
239,MI- LANSING,80.32,0,0,4,80.0,81.89,0 [0 - 4],80.32% [80.0% - 81.89%],05-18-2020
240,MI- MARQUETTE,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
242,MI- MUSKEGON,80.0,0,0,0,80.0,80.93,0 [0 - 0],80.0% [80.0% - 80.93%],05-18-2020
243,MI- PETOSKEY,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
244,MI- PONTIAC,81.11,10,9,15,80.25,83.8,10 [9 - 15],81.11% [80.25% - 83.8%],05-18-2020
245,MI- ROYAL OAK,80.83,17,15,26,80.23,82.88,17 [15 - 26],80.83% [80.23% - 82.88%],05-18-2020
246,MI- SAGINAW,80.0,0,0,2,80.0,80.62,0 [0 - 2],80.0% [80.0% - 80.62%],05-18-2020
248,MI- ST JOSEPH,81.2,0,0,1,80.0,81.99,0 [0 - 1],81.2% [80.0% - 81.99%],05-18-2020
249,MI- TRAVERSE CITY,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
250,MN- DULUTH,80.8,7,7,11,80.34,83.01,7 [7 - 11],80.8% [80.34% - 83.01%],05-18-2020
251,MN- MINNEAPOLIS,85.14,434,390,548,81.68,93.27,434 [390 - 548],85.14% [81.68% - 93.27%],05-18-2020
253,MN- ROCHESTER,82.53,62,56,78,80.73,86.19,62 [56 - 78],82.53% [80.73% - 86.19%],05-18-2020
254,MN- ST CLOUD,84.13,28,25,36,80.99,90.89,28 [25 - 36],84.13% [80.99% - 90.89%],05-18-2020
256,MN- ST PAUL,86.69,150,136,187,82.54,96.59,150 [136 - 187],86.69% [82.54% - 96.59%],05-18-2020
257,MS- GULFPORT,86.73,48,44,58,82.72,94.62,48 [44 - 58],86.73% [82.72% - 94.62%],05-18-2020
258,MS- HATTIESBURG,83.27,35,31,53,80.25,91.24,35 [31 - 53],83.27% [80.25% - 91.24%],05-18-2020
259,MS- JACKSON,82.81,121,102,172,80.6,89.89,121 [102 - 172],82.81% [80.6% - 89.89%],05-18-2020
260,MS- MERIDIAN,80.34,2,1,5,80.0,82.35,2 [1 - 5],80.34% [80.0% - 82.35%],05-18-2020
261,MS- OXFORD,81.83,7,6,13,80.0,86.74,7 [6 - 13],81.83% [80.0% - 86.74%],05-18-2020
262,MS- TUPELO,81.67,23,18,40,80.0,87.55,23 [18 - 40],81.67% [80.0% - 87.55%],05-18-2020
263,MO- CAPE GIRARDEAU,80.12,0,0,1,80.0,80.88,0 [0 - 1],80.12% [80.0% - 80.88%],05-18-2020
264,MO- COLUMBIA,80.8,14,13,19,80.22,82.55,14 [13 - 19],80.8% [80.22% - 82.55%],05-18-2020
267,MO- JOPLIN,80.15,0,0,1,80.0,80.73,0 [0 - 1],80.15% [80.0% - 80.73%],05-18-2020
268,MO- KANSAS CITY,82.54,199,184,237,81.24,85.58,199 [184 - 237],82.54% [81.24% - 85.58%],05-18-2020
270,MO- SPRINGFIELD,80.79,14,13,23,80.2,83.32,14 [13 - 23],80.79% [80.2% - 83.32%],05-18-2020
273,MO- ST LOUIS,81.49,178,161,221,80.54,83.61,178 [161 - 221],81.49% [80.54% - 83.61%],05-18-2020
274,MT- BILLINGS,80.45,7,6,9,80.0,81.09,7 [6 - 9],80.45% [80.0% - 81.09%],05-18-2020
275,MT- GREAT FALLS,80.01,0,0,0,80.0,80.25,0 [0 - 0],80.01% [80.0% - 80.25%],05-18-2020
276,MT- MISSOULA,80.43,0,0,1,80.0,81.04,0 [0 - 1],80.43% [80.0% - 81.04%],05-18-2020
277,NE- LINCOLN,91.06,199,179,235,83.76,103.35,199 [179 - 235],91.06% [83.76% - 103.35%],05-18-2020
278,NE- OMAHA,92.43,677,620,745,85.25,100.82,677 [620 - 745],92.43% [85.25% - 100.82%],05-18-2020
279,NV- LAS VEGAS,85.73,231,212,287,82.57,94.36,231 [212 - 287],85.73% [82.57% - 94.36%],05-18-2020
280,NV- RENO,82.88,53,48,70,80.83,88.17,53 [48 - 70],82.88% [80.83% - 88.17%],05-18-2020
281,NH- LEBANON,81.47,14,13,18,80.1,84.33,14 [13 - 18],81.47% [80.1% - 84.33%],05-18-2020
282,NH- MANCHESTER,81.75,31,28,38,80.61,84.05,31 [28 - 38],81.75% [80.61% - 84.05%],05-18-2020
283,NJ- CAMDEN,81.44,112,102,145,80.45,84.19,112 [102 - 145],81.44% [80.45% - 84.19%],05-18-2020
284,NJ- HACKENSACK,83.3,120,109,144,81.21,87.64,120 [109 - 144],83.3% [81.21% - 87.64%],05-18-2020
285,NJ- MORRISTOWN,83.81,70,64,88,81.35,90.22,70 [64 - 88],83.81% [81.35% - 90.22%],05-18-2020
288,NJ- NEW BRUNSWICK,82.44,63,58,81,80.9,86.76,63 [58 - 81],82.44% [80.9% - 86.76%],05-18-2020
289,NJ- NEWARK,82.39,113,103,139,80.86,86.01,113 [103 - 139],82.39% [80.86% - 86.01%],05-18-2020
291,NJ- PATERSON,82.36,22,20,30,80.93,86.54,22 [20 - 30],82.36% [80.93% - 86.54%],05-18-2020
292,NJ- RIDGEWOOD,87.58,57,52,69,82.65,98.18,57 [52 - 69],87.58% [82.65% - 98.18%],05-18-2020
293,NM- ALBUQUERQUE,89.06,301,270,382,83.07,103.49,301 [270 - 382],89.06% [83.07% - 103.49%],05-18-2020
295,NY- ALBANY,84.16,201,175,263,80.61,92.58,201 [175 - 263],84.16% [80.61% - 92.58%],05-18-2020
296,NY- BINGHAMTON,81.15,7,6,13,80.0,84.84,7 [6 - 13],81.15% [80.0% - 84.84%],05-18-2020
297,NY- BRONX,87.09,254,227,312,82.24,98.07,254 [227 - 312],87.09% [82.24% - 98.07%],05-18-2020
299,NY- BUFFALO,81.15,35,32,51,80.28,83.95,35 [32 - 51],81.15% [80.28% - 83.95%],05-18-2020
300,NY- ELMIRA,80.67,7,6,12,80.0,83.44,7 [6 - 12],80.67% [80.0% - 83.44%],05-18-2020
301,NY- EAST LONG ISLAND,89.28,858,768,1063,82.93,102.9,858 [768 - 1063],89.28% [82.93% - 102.9%],05-18-2020
304,NY- ROCHESTER,81.05,28,26,45,80.34,84.86,28 [26 - 45],81.05% [80.34% - 84.86%],05-18-2020
307,NY- SYRACUSE,80.48,7,6,22,80.0,83.89,7 [6 - 22],80.48% [80.0% - 83.89%],05-18-2020
308,NY- WHITE PLAINS,86.49,192,173,234,82.09,96.17,192 [173 - 234],86.49% [82.09% - 96.17%],05-18-2020
309,NC- ASHEVILLE,81.3,22,20,32,80.43,84.42,22 [20 - 32],81.3% [80.43% - 84.42%],05-18-2020
311,NC- CHARLOTTE,85.69,326,296,398,82.43,93.12,326 [296 - 398],85.69% [82.43% - 93.12%],05-18-2020
312,NC- DURHAM,83.62,164,146,213,81.41,90.2,164 [146 - 213],83.62% [81.41% - 90.2%],05-18-2020
313,NC- GREENSBORO,83.74,64,58,82,81.56,89.7,64 [58 - 82],83.74% [81.56% - 89.7%],05-18-2020
314,NC- GREENVILLE,81.94,44,39,63,80.56,86.18,44 [39 - 63],81.94% [80.56% - 86.18%],05-18-2020
315,NC- HICKORY,83.34,20,18,27,80.94,88.42,20 [18 - 27],83.34% [80.94% - 88.42%],05-18-2020
318,NC- RALEIGH,87.25,302,274,388,82.98,99.41,302 [274 - 388],87.25% [82.98% - 99.41%],05-18-2020
319,NC- WILMINGTON,83.33,36,32,46,80.9,88.3,36 [32 - 46],83.33% [80.9% - 88.3%],05-18-2020
320,NC- WINSTON-SALEM,82.88,103,94,133,80.98,87.6,103 [94 - 133],82.88% [80.98% - 87.6%],05-18-2020
321,ND- BISMARCK,84.46,34,31,42,81.31,89.55,34 [31 - 42],84.46% [81.31% - 89.55%],05-18-2020
322,ND- FARGO MOORHEAD -MN,80.83,14,13,20,80.1,82.56,14 [13 - 20],80.83% [80.1% - 82.56%],05-18-2020
323,ND- GRAND FORKS,80.48,0,0,1,80.0,82.04,0 [0 - 1],80.48% [80.0% - 82.04%],05-18-2020
324,ND- MINOT,81.77,7,7,12,80.43,85.29,7 [7 - 12],81.77% [80.43% - 85.29%],05-18-2020
325,OH- AKRON,84.97,116,105,146,81.77,92.61,116 [105 - 146],84.97% [81.77% - 92.61%],05-18-2020
326,OH- CANTON,83.81,79,71,103,81.13,90.78,79 [71 - 103],83.81% [81.13% - 90.78%],05-18-2020
327,OH- CINCINNATI,82.89,136,125,173,81.25,87.34,136 [125 - 173],82.89% [81.25% - 87.34%],05-18-2020
328,OH- CLEVELAND,84.44,389,349,482,81.45,91.01,389 [349 - 482],84.44% [81.45% - 91.01%],05-18-2020
329,OH- COLUMBUS,81.67,146,130,209,80.44,85.94,146 [130 - 209],81.67% [80.44% - 85.94%],05-18-2020
330,OH- DAYTON,81.67,53,47,74,80.21,85.75,53 [47 - 74],81.67% [80.21% - 85.75%],05-18-2020
331,OH- ELYRIA,86.89,46,42,58,82.34,96.97,46 [42 - 58],86.89% [82.34% - 96.97%],05-18-2020
332,OH- KETTERING,82.86,28,26,36,80.78,86.92,28 [26 - 36],82.86% [80.78% - 86.92%],05-18-2020
334,OH- TOLEDO,81.61,63,55,84,80.53,84.75,63 [55 - 84],81.61% [80.53% - 84.75%],05-18-2020
335,OH- YOUNGSTOWN,82.59,62,56,78,80.81,86.38,62 [56 - 78],82.59% [80.81% - 86.38%],05-18-2020
336,OK- LAWTON,81.55,7,6,11,80.0,83.79,7 [6 - 11],81.55% [80.0% - 83.79%],05-18-2020
339,OK- OKLAHOMA CITY,83.32,215,189,264,80.93,87.96,215 [189 - 264],83.32% [80.93% - 87.96%],05-18-2020
340,OK- TULSA,81.92,95,85,121,80.44,84.72,95 [85 - 121],81.92% [80.44% - 84.72%],05-18-2020
341,OR- BEND,81.56,0,0,3,80.49,84.94,0 [0 - 3],81.56% [80.49% - 84.94%],05-18-2020
