HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Last Update
31,CA- CHICO,81.46,7,6,12,80.0,86.41,7 [6 - 12],81.46% [80.0% - 86.41%],05-18-2020
33,CA- CONTRA COSTA CO.,87.62,147,131,187,81.85,100.97,147 [131 - 187],87.62% [81.85% - 100.97%],05-18-2020
43,CA- FRESNO,81.93,41,36,56,80.22,86.18,41 [36 - 56],81.93% [80.22% - 86.18%],05-18-2020
56,CA- LOS ANGELES,82.63,648,576,846,80.62,87.79,648 [576 - 846],82.63% [80.62% - 87.79%],05-18-2020
58,CA- MODESTO,84.59,77,69,101,80.87,93.61,77 [69 - 101],84.59% [80.87% - 93.61%],05-18-2020
62,CA- NAPA,84.71,21,19,29,80.69,93.23,21 [19 - 29],84.71% [80.69% - 93.23%],05-18-2020
65,CA- ALAMEDA CO.,86.78,227,202,285,81.6,98.38,227 [202 - 285],86.78% [81.6% - 98.38%],05-18-2020
69,CA- PALM SPR/RANCHO MIR.,82.03,21,19,27,80.47,85.98,21 [19 - 27],82.03% [80.47% - 85.98%],05-18-2020
73,CA- REDDING,82.22,21,19,29,80.37,87.12,21 [19 - 29],82.22% [80.37% - 87.12%],05-18-2020
77,CA- SACRAMENTO,85.57,260,231,335,81.23,96.03,260 [231 - 335],85.57% [81.23% - 96.03%],05-18-2020
78,CA- SALINAS,85.19,40,36,51,81.13,94.88,40 [36 - 51],85.19% [81.13% - 94.88%],05-18-2020
79,CA- SAN BERNARDINO,83.45,194,173,257,80.8,90.31,194 [173 - 257],83.45% [80.8% - 90.31%],05-18-2020
80,CA- SAN DIEGO,84.34,301,268,393,80.98,92.85,301 [268 - 393],84.34% [80.98% - 92.85%],05-18-2020
81,CA- SAN FRANCISCO,83.99,198,177,249,81.01,90.8,198 [177 - 249],83.99% [81.01% - 90.8%],05-18-2020
82,CA- SAN JOSE,88.58,255,227,318,82.02,102.64,255 [227 - 318],88.58% [82.02% - 102.64%],05-18-2020
83,CA- SAN LUIS OBISPO,84.05,14,13,21,80.88,92.94,14 [13 - 21],84.05% [80.88% - 92.94%],05-18-2020
85,CA- SAN MATEO CO.,84.63,123,110,154,81.11,92.31,123 [110 - 154],84.63% [81.11% - 92.31%],05-18-2020
86,CA- SANTA BARBARA,83.21,28,25,38,80.52,89.42,28 [25 - 38],83.21% [80.52% - 89.42%],05-18-2020
87,CA- SANTA CRUZ,90.09,35,32,44,82.51,107.58,35 [32 - 44],90.09% [82.51% - 107.58%],05-18-2020
89,CA- SANTA ROSA,83.2,56,51,73,80.75,89.3,56 [51 - 73],83.2% [80.75% - 89.3%],05-18-2020
91,CA- STOCKTON,86.49,63,57,83,81.51,98.25,63 [57 - 83],86.49% [81.51% - 98.25%],05-18-2020
96,CA- VENTURA,83.62,56,50,73,80.89,90.81,56 [50 - 73],83.62% [80.89% - 90.81%],05-18-2020
101,CO- BOULDER,86.5,28,26,38,82.11,100.42,28 [26 - 38],86.5% [82.11% - 100.42%],05-18-2020
102,CO- COLORADO SPRINGS,84.81,49,45,69,81.45,97.68,49 [45 - 69],84.81% [81.45% - 97.68%],05-18-2020
103,CO- DENVER,85.78,273,246,368,81.78,99.13,273 [246 - 368],85.78% [81.78% - 99.13%],05-18-2020
104,CO- FORT COLLINS,83.59,21,20,29,81.41,92.05,21 [20 - 29],83.59% [81.41% - 92.05%],05-18-2020
105,CO- GRAND JUNCTION,85.12,37,33,47,81.39,93.38,37 [33 - 47],85.12% [81.39% - 93.38%],05-18-2020
106,CO- GREELEY,83.57,21,20,33,81.29,93.0,21 [20 - 33],83.57% [81.29% - 93.0%],05-18-2020
107,CO- PUEBLO,80.8,2,1,6,80.0,83.51,2 [1 - 6],80.8% [80.0% - 83.51%],05-18-2020
109,CT- BRIDGEPORT,88.65,141,126,170,82.6,99.82,141 [126 - 170],88.65% [82.6% - 99.82%],05-18-2020
110,CT- HARTFORD,85.57,179,156,227,80.89,95.72,179 [156 - 227],85.57% [80.89% - 95.72%],05-18-2020
111,CT- NEW HAVEN,86.0,227,201,289,81.43,96.93,227 [201 - 289],86.0% [81.43% - 96.93%],05-18-2020
112,DE- WILMINGTON,83.59,63,58,76,81.4,88.27,63 [58 - 76],83.59% [81.4% - 88.27%],05-18-2020
113,DC- WASHINGTON,94.91,815,757,976,88.0,113.78,815 [757 - 976],94.91% [88.0% - 113.78%],05-18-2020
115,FL- BRADENTON,83.72,21,19,27,80.56,88.74,21 [19 - 27],83.72% [80.56% - 88.74%],05-18-2020
116,FL- CLEARWATER,82.23,32,29,40,80.55,85.5,32 [29 - 40],82.23% [80.55% - 85.5%],05-18-2020
118,FL- FORT LAUDERDALE,83.45,296,264,360,80.84,88.27,296 [264 - 360],83.45% [80.84% - 88.27%],05-18-2020
119,FL- FORT MYERS,82.98,112,101,138,80.76,87.16,112 [101 - 138],82.98% [80.76% - 87.16%],05-18-2020
120,FL- GAINESVILLE,81.88,28,25,39,80.27,85.32,28 [25 - 39],81.88% [80.27% - 85.32%],05-18-2020
122,FL- HUDSON,82.21,23,21,30,80.72,85.67,23 [21 - 30],82.21% [80.72% - 85.67%],05-18-2020
123,FL- JACKSONVILLE,81.99,95,85,121,80.49,85.48,95 [85 - 121],81.99% [80.49% - 85.48%],05-18-2020
124,FL- LAKELAND,82.53,24,21,30,80.56,86.37,24 [21 - 30],82.53% [80.56% - 86.37%],05-18-2020
127,FL- MIAMI,83.42,364,324,444,80.8,88.25,364 [324 - 444],83.42% [80.8% - 88.25%],05-18-2020
129,FL- OCALA,82.38,28,25,36,80.29,86.21,28 [25 - 36],82.38% [80.29% - 86.21%],05-18-2020
130,FL- ORLANDO,82.37,241,214,298,80.57,85.96,241 [214 - 298],82.37% [80.57% - 85.96%],05-18-2020
131,FL- ORMOND BEACH,81.5,21,19,28,80.3,84.05,21 [19 - 28],81.5% [80.3% - 84.05%],05-18-2020
133,FL- PANAMA CITY,80.73,0,0,2,80.0,81.96,0 [0 - 2],80.73% [80.0% - 81.96%],05-18-2020
134,FL- PENSACOLA,82.06,44,40,54,80.6,84.6,44 [40 - 54],82.06% [80.6% - 84.6%],05-18-2020
137,FL- SARASOTA,82.08,28,25,35,80.42,85.54,28 [25 - 35],82.08% [80.42% - 85.54%],05-18-2020
139,FL- ST PETERSBURG,81.85,28,25,35,80.44,84.57,28 [25 - 35],81.85% [80.44% - 84.57%],05-18-2020
140,FL- TALLAHASSEE,81.32,33,28,52,80.0,85.52,33 [28 - 52],81.32% [80.0% - 85.52%],05-18-2020
141,FL- TAMPA,82.5,105,95,130,80.66,86.22,105 [95 - 130],82.5% [80.66% - 86.22%],05-18-2020
142,GA- ALBANY,82.81,27,24,41,80.75,91.76,27 [24 - 41],82.81% [80.75% - 91.76%],05-18-2020
144,GA- ATLANTA,86.12,730,654,1010,81.83,101.75,730 [654 - 1010],86.12% [81.83% - 101.75%],05-18-2020
145,GA- AUGUSTA,80.88,21,18,29,80.0,83.22,21 [18 - 29],80.88% [80.0% - 83.22%],05-18-2020
146,GA- COLUMBUS,82.58,28,26,37,80.71,87.15,28 [26 - 37],82.58% [80.71% - 87.15%],05-18-2020
147,GA- MACON,80.73,14,12,35,80.0,86.66,14 [12 - 35],80.73% [80.0% - 86.66%],05-18-2020
148,GA- ROME,85.36,35,32,49,81.23,97.35,35 [32 - 49],85.36% [81.23% - 97.35%],05-18-2020
149,GA- SAVANNAH,81.15,18,17,31,80.44,85.39,18 [17 - 31],81.15% [80.44% - 85.39%],05-18-2020
151,ID- BOISE,80.43,7,7,11,80.19,81.69,7 [7 - 11],80.43% [80.19% - 81.69%],05-18-2020
152,ID- IDAHO FALLS,80.0,0,0,0,80.0,80.43,0 [0 - 0],80.0% [80.0% - 80.43%],05-18-2020
154,IL- AURORA,98.26,92,83,115,85.69,126.87,92 [83 - 115],98.26% [85.69% - 126.87%],05-18-2020
155,IL- BLUE ISLAND,88.73,217,196,267,82.92,101.69,217 [196 - 267],88.73% [82.92% - 101.69%],05-18-2020
156,IL- CHICAGO,88.63,735,662,901,82.92,101.45,735 [662 - 901],88.63% [82.92% - 101.45%],05-18-2020
158,IL- ELGIN,100.28,216,195,267,86.91,130.83,216 [195 - 267],100.28% [86.91% - 130.83%],05-18-2020
161,IL- EVANSTON,92.21,292,264,358,84.18,110.3,292 [264 - 358],92.21% [84.18% - 110.3%],05-18-2020
163,IL- HINSDALE,93.03,139,125,172,84.36,112.73,139 [125 - 172],93.03% [84.36% - 112.73%],05-18-2020
164,IL- JOLIET,95.15,197,178,244,85.05,118.31,197 [178 - 244],95.15% [85.05% - 118.31%],05-18-2020
166,IL- MELROSE PARK,92.7,389,350,479,84.27,111.77,389 [350 - 479],92.7% [84.27% - 111.77%],05-18-2020
170,IL- PEORIA,83.63,64,56,85,80.7,90.76,64 [56 - 85],83.63% [80.7% - 90.76%],05-18-2020
171,IL- ROCKFORD,89.15,137,124,174,83.27,104.43,137 [124 - 174],89.15% [83.27% - 104.43%],05-18-2020
172,IL- SPRINGFIELD,82.11,48,40,71,80.16,87.86,48 [40 - 71],82.11% [80.16% - 87.86%],05-18-2020
173,IL- URBANA,82.79,28,25,41,80.38,90.2,28 [25 - 41],82.79% [80.38% - 90.2%],05-18-2020
175,IL- BLOOMINGTON,89.36,22,19,31,81.5,108.84,22 [19 - 31],89.36% [81.5% - 108.84%],05-18-2020
179,IN- EVANSVILLE,80.82,14,12,23,80.0,84.01,14 [12 - 23],80.82% [80.0% - 84.01%],05-18-2020
180,IN- FORT WAYNE,81.52,28,26,47,80.32,85.56,28 [26 - 47],81.52% [80.32% - 85.56%],05-18-2020
181,IN- GARY,94.53,215,194,256,84.45,111.81,215 [194 - 256],94.53% [84.45% - 111.81%],05-18-2020
183,IN- INDIANAPOLIS,87.6,483,423,607,81.01,99.87,483 [423 - 607],87.6% [81.01% - 99.87%],05-18-2020
184,IN- LAFAYETTE,83.62,23,18,30,80.0,89.58,23 [18 - 30],83.62% [80.0% - 89.58%],05-18-2020
185,IN- MUNCIE,84.01,14,12,18,80.0,88.83,14 [12 - 18],84.01% [80.0% - 88.83%],05-18-2020
186,IN- MUNSTER,92.16,138,125,165,84.07,107.12,138 [125 - 165],92.16% [84.07% - 107.12%],05-18-2020
187,IN- SOUTH BEND,84.52,63,58,82,81.64,92.82,63 [58 - 82],84.52% [81.64% - 92.82%],05-18-2020
188,IN- TERRE HAUTE,83.12,14,12,17,80.0,84.27,14 [12 - 17],83.12% [80.0% - 84.27%],05-18-2020
190,IA- CEDAR RAPIDS,81.79,14,13,24,80.45,87.26,14 [13 - 24],81.79% [80.45% - 87.26%],05-18-2020
191,IA- DAVENPORT,81.12,23,21,30,80.4,83.01,23 [21 - 30],81.12% [80.4% - 83.01%],05-18-2020
192,IA- DES MOINES,81.03,28,25,43,80.12,83.77,28 [25 - 43],81.03% [80.12% - 83.77%],05-18-2020
193,IA- DUBUQUE,82.15,7,7,10,81.1,85.5,7 [7 - 10],82.15% [81.1% - 85.5%],05-18-2020
194,IA- IOWA CITY,81.0,14,13,24,80.21,84.22,14 [13 - 24],81.0% [80.21% - 84.22%],05-18-2020
195,IA- MASON CITY,80.0,0,0,0,80.0,80.55,0 [0 - 0],80.0% [80.0% - 80.55%],05-18-2020
196,IA- SIOUX CITY,80.47,0,0,5,80.0,83.45,0 [0 - 5],80.47% [80.0% - 83.45%],05-18-2020
197,IA- WATERLOO,80.77,0,0,4,80.0,84.07,0 [0 - 4],80.77% [80.0% - 84.07%],05-18-2020
200,KS- TOPEKA,80.8,7,6,15,80.0,83.49,7 [6 - 15],80.8% [80.0% - 83.49%],05-18-2020
201,KS- WICHITA,80.48,21,20,34,80.22,82.02,21 [20 - 34],80.48% [80.22% - 82.02%],05-18-2020
203,KY- COVINGTON,85.27,56,49,66,80.0,89.45,56 [49 - 66],85.27% [80.0% - 89.45%],05-18-2020
204,KY- LEXINGTON,81.88,91,81,173,80.36,92.16,91 [81 - 173],81.88% [80.36% - 92.16%],05-18-2020
205,KY- LOUISVILLE,83.54,168,150,243,80.81,93.41,168 [150 - 243],83.54% [80.81% - 93.41%],05-18-2020
207,KY- OWENSBORO,80.0,0,0,5,80.0,88.26,0 [0 - 5],80.0% [80.0% - 88.26%],05-18-2020
208,KY- PADUCAH,80.16,0,0,9,80.0,83.27,0 [0 - 9],80.16% [80.0% - 83.27%],05-18-2020
209,LA- ALEXANDRIA,80.5,0,0,4,80.0,82.62,0 [0 - 4],80.5% [80.0% - 82.62%],05-18-2020
210,LA- BATON ROUGE,82.59,63,58,99,80.97,92.22,63 [58 - 99],82.59% [80.97% - 92.22%],05-18-2020
212,LA- HOUMA,83.3,21,20,31,81.28,92.7,21 [20 - 31],83.3% [81.28% - 92.7%],05-18-2020
213,LA- LAFAYETTE,80.99,21,19,33,80.19,84.63,21 [19 - 33],80.99% [80.19% - 84.63%],05-18-2020
214,LA- LAKE CHARLES,80.57,0,0,4,80.0,83.47,0 [0 - 4],80.57% [80.0% - 83.47%],05-18-2020
216,LA- METAIRIE,86.23,59,54,81,82.27,100.77,59 [54 - 81],86.23% [82.27% - 100.77%],05-18-2020
217,LA- MONROE,80.53,0,0,2,80.0,81.3,0 [0 - 2],80.53% [80.0% - 81.3%],05-18-2020
218,LA- NEW ORLEANS,84.02,94,86,123,81.65,92.25,94 [86 - 123],84.02% [81.65% - 92.25%],05-18-2020
219,LA- SHREVEPORT,80.67,14,13,27,80.15,83.62,14 [13 - 27],80.67% [80.15% - 83.62%],05-18-2020
220,LA- SLIDELL,88.65,42,39,51,83.17,101.83,42 [39 - 51],88.65% [83.17% - 101.83%],05-18-2020
221,ME- BANGOR,80.86,7,7,10,80.18,82.66,7 [7 - 10],80.86% [80.18% - 82.66%],05-18-2020
222,ME- PORTLAND,82.44,62,57,77,80.88,86.32,62 [57 - 77],82.44% [80.88% - 86.32%],05-18-2020
223,MD- BALTIMORE,94.4,968,886,1204,86.23,116.56,968 [886 - 1204],94.4% [86.23% - 116.56%],05-18-2020
225,MD- SALISBURY,88.68,80,72,99,82.88,101.13,80 [72 - 99],88.68% [82.88% - 101.13%],05-18-2020
226,MD- TAKOMA PARK,108.76,366,341,436,95.77,143.87,366 [341 - 436],108.76% [95.77% - 143.87%],05-18-2020
227,MA- BOSTON,83.46,378,338,472,80.97,89.32,378 [338 - 472],83.46% [80.97% - 89.32%],05-18-2020
230,MA- SPRINGFIELD,82.37,35,32,44,80.69,86.37,35 [32 - 44],82.37% [80.69% - 86.37%],05-18-2020
231,MA- WORCESTER,83.55,53,47,68,80.79,89.74,53 [47 - 68],83.55% [80.79% - 89.74%],05-18-2020
232,MI- ANN ARBOR,80.92,28,25,42,80.18,83.8,28 [25 - 42],80.92% [80.18% - 83.8%],05-18-2020
233,MI- DEARBORN,80.76,7,7,13,80.18,82.98,7 [7 - 13],80.76% [80.18% - 82.98%],05-18-2020
234,MI- DETROIT,80.89,36,32,55,80.19,83.56,36 [32 - 55],80.89% [80.19% - 83.56%],05-18-2020
235,MI- FLINT,80.42,0,0,5,80.0,82.79,0 [0 - 5],80.42% [80.0% - 82.79%],05-18-2020
236,MI- GRAND RAPIDS,80.21,0,0,4,80.0,81.26,0 [0 - 4],80.21% [80.0% - 81.26%],05-18-2020
238,MI- KALAMAZOO,80.0,0,0,1,80.0,80.81,0 [0 - 1],80.0% [80.0% - 80.81%],05-18-2020
239,MI- LANSING,80.32,0,0,4,80.0,81.89,0 [0 - 4],80.32% [80.0% - 81.89%],05-18-2020
240,MI- MARQUETTE,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
242,MI- MUSKEGON,80.0,0,0,0,80.0,81.12,0 [0 - 0],80.0% [80.0% - 81.12%],05-18-2020
243,MI- PETOSKEY,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
244,MI- PONTIAC,80.92,7,7,12,80.25,83.63,7 [7 - 12],80.92% [80.25% - 83.63%],05-18-2020
245,MI- ROYAL OAK,80.69,14,13,22,80.19,82.76,14 [13 - 22],80.69% [80.19% - 82.76%],05-18-2020
246,MI- SAGINAW,80.0,0,0,3,80.0,80.95,0 [0 - 3],80.0% [80.0% - 80.95%],05-18-2020
248,MI- ST JOSEPH,81.2,0,0,1,80.0,82.32,0 [0 - 1],81.2% [80.0% - 82.32%],05-18-2020
249,MI- TRAVERSE CITY,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],05-18-2020
250,MN- DULUTH,81.0,7,7,12,80.34,83.61,7 [7 - 12],81.0% [80.34% - 83.61%],05-18-2020
251,MN- MINNEAPOLIS,85.84,494,441,640,81.73,96.61,494 [441 - 640],85.84% [81.73% - 96.61%],05-18-2020
253,MN- ROCHESTER,82.87,71,63,90,80.73,87.5,71 [63 - 90],82.87% [80.73% - 87.5%],05-18-2020
254,MN- ST CLOUD,84.54,28,25,40,81.13,94.14,28 [25 - 40],84.54% [81.13% - 94.14%],05-18-2020
256,MN- ST PAUL,87.65,170,153,217,82.63,100.7,170 [153 - 217],87.65% [82.63% - 100.7%],05-18-2020
257,MS- GULFPORT,86.26,42,38,53,81.55,94.75,42 [38 - 53],86.26% [81.55% - 94.75%],05-18-2020
258,MS- HATTIESBURG,83.27,35,31,52,80.17,91.57,35 [31 - 52],83.27% [80.17% - 91.57%],05-18-2020
259,MS- JACKSON,82.33,98,87,152,80.47,90.11,98 [87 - 152],82.33% [80.47% - 90.11%],05-18-2020
260,MS- MERIDIAN,80.0,0,0,3,80.0,82.56,0 [0 - 3],80.0% [80.0% - 82.56%],05-18-2020
261,MS- OXFORD,81.82,7,6,13,80.0,87.52,7 [6 - 13],81.82% [80.0% - 87.52%],05-18-2020
262,MS- TUPELO,81.53,21,18,38,80.0,88.16,21 [18 - 38],81.53% [80.0% - 88.16%],05-18-2020
263,MO- CAPE GIRARDEAU,80.12,0,0,1,80.0,81.07,0 [0 - 1],80.12% [80.0% - 81.07%],05-18-2020
264,MO- COLUMBIA,80.27,0,0,6,80.0,82.28,0 [0 - 6],80.27% [80.0% - 82.28%],05-18-2020
267,MO- JOPLIN,80.0,0,0,1,80.0,80.63,0 [0 - 1],80.0% [80.0% - 80.63%],05-18-2020
268,MO- KANSAS CITY,81.9,148,134,185,80.69,84.83,148 [134 - 185],81.9% [80.69% - 84.83%],05-18-2020
270,MO- SPRINGFIELD,80.5,7,7,16,80.2,82.86,7 [7 - 16],80.5% [80.2% - 82.86%],05-18-2020
273,MO- ST LOUIS,81.21,144,130,188,80.39,83.52,144 [130 - 188],81.21% [80.39% - 83.52%],05-18-2020
274,MT- BILLINGS,80.31,5,4,8,80.0,80.95,5 [4 - 8],80.31% [80.0% - 80.95%],05-18-2020
275,MT- GREAT FALLS,80.0,0,0,0,80.0,80.25,0 [0 - 0],80.0% [80.0% - 80.25%],05-18-2020
276,MT- MISSOULA,80.0,0,0,0,80.0,80.43,0 [0 - 0],80.0% [80.0% - 80.43%],05-18-2020
277,NE- LINCOLN,89.8,176,157,214,82.56,103.08,176 [157 - 214],89.8% [82.56% - 103.08%],05-18-2020
278,NE- OMAHA,89.44,513,464,580,83.2,97.76,513 [464 - 580],89.44% [83.2% - 97.76%],05-18-2020
279,NV- LAS VEGAS,84.76,189,173,244,81.86,93.69,189 [173 - 244],84.76% [81.86% - 93.69%],05-18-2020
280,NV- RENO,82.47,42,38,58,80.52,88.07,42 [38 - 58],82.47% [80.52% - 88.07%],05-18-2020
281,NH- LEBANON,81.38,10,9,13,80.0,83.3,10 [9 - 13],81.38% [80.0% - 83.3%],05-18-2020
282,NH- MANCHESTER,81.52,28,26,35,80.46,83.9,28 [26 - 35],81.52% [80.46% - 83.9%],05-18-2020
283,NJ- CAMDEN,81.19,91,81,121,80.34,83.74,91 [81 - 121],81.19% [80.34% - 83.74%],05-18-2020
284,NJ- HACKENSACK,82.5,89,80,110,80.72,86.19,89 [80 - 110],82.5% [80.72% - 86.19%],05-18-2020
285,NJ- MORRISTOWN,82.97,55,49,71,80.78,88.66,55 [49 - 71],82.97% [80.78% - 88.66%],05-18-2020
288,NJ- NEW BRUNSWICK,81.9,51,46,67,80.61,85.75,51 [46 - 67],81.9% [80.61% - 85.75%],05-18-2020
289,NJ- NEWARK,81.79,84,76,107,80.6,85.02,84 [76 - 107],81.79% [80.6% - 85.02%],05-18-2020
291,NJ- PATERSON,81.84,18,17,25,80.59,85.43,18 [17 - 25],81.84% [80.59% - 85.43%],05-18-2020
292,NJ- RIDGEWOOD,85.74,42,38,54,81.39,94.65,42 [38 - 54],85.74% [81.39% - 94.65%],05-18-2020
293,NM- ALBUQUERQUE,90.13,337,302,433,83.1,108.43,337 [302 - 433],90.13% [83.1% - 108.43%],05-18-2020
295,NY- ALBANY,82.73,132,114,191,80.28,90.94,132 [114 - 191],82.73% [80.28% - 90.94%],05-18-2020
296,NY- BINGHAMTON,80.51,3,2,9,80.0,84.74,3 [2 - 9],80.51% [80.0% - 84.74%],05-18-2020
297,NY- BRONX,85.12,182,162,233,81.44,94.42,182 [162 - 233],85.12% [81.44% - 94.42%],05-18-2020
299,NY- BUFFALO,80.95,30,27,45,80.28,83.81,30 [27 - 45],80.95% [80.28% - 83.81%],05-18-2020
300,NY- ELMIRA,80.67,7,6,11,80.0,83.25,7 [6 - 11],80.67% [80.0% - 83.25%],05-18-2020
301,NY- EAST LONG ISLAND,85.7,620,550,802,81.46,96.63,620 [550 - 802],85.7% [81.46% - 96.63%],05-18-2020
304,NY- ROCHESTER,80.85,20,18,38,80.34,84.73,20 [18 - 38],80.85% [80.34% - 84.73%],05-18-2020
307,NY- SYRACUSE,80.48,7,6,20,80.0,83.68,7 [6 - 20],80.48% [80.0% - 83.68%],05-18-2020
308,NY- WHITE PLAINS,84.71,136,121,173,81.25,92.87,136 [121 - 173],84.71% [81.25% - 92.87%],05-18-2020
309,NC- ASHEVILLE,81.35,21,18,33,80.21,85.48,21 [18 - 33],81.35% [80.21% - 85.48%],05-18-2020
311,NC- CHARLOTTE,85.2,298,269,380,81.95,94.09,298 [269 - 380],85.2% [81.95% - 94.09%],05-18-2020
312,NC- DURHAM,83.96,180,158,236,81.1,91.76,180 [158 - 236],83.96% [81.1% - 91.76%],05-18-2020
313,NC- GREENSBORO,83.75,65,59,86,81.39,91.26,65 [59 - 86],83.75% [81.39% - 91.26%],05-18-2020
314,NC- GREENVILLE,81.91,44,38,67,80.36,87.65,44 [38 - 67],81.91% [80.36% - 87.65%],05-18-2020
315,NC- HICKORY,83.43,21,19,29,80.67,89.89,21 [19 - 29],83.43% [80.67% - 89.89%],05-18-2020
318,NC- RALEIGH,86.91,288,260,389,82.41,101.72,288 [260 - 389],86.91% [82.41% - 101.72%],05-18-2020
319,NC- WILMINGTON,83.34,37,33,50,80.74,89.86,37 [33 - 50],83.34% [80.74% - 89.86%],05-18-2020
320,NC- WINSTON-SALEM,82.8,100,90,137,80.76,88.88,100 [90 - 137],82.8% [80.76% - 88.88%],05-18-2020
321,ND- BISMARCK,83.54,25,23,32,80.95,89.07,25 [23 - 32],83.54% [80.95% - 89.07%],05-18-2020
322,ND- FARGO MOORHEAD -MN,80.81,14,13,22,80.1,83.2,14 [13 - 22],80.81% [80.1% - 83.2%],05-18-2020
323,ND- GRAND FORKS,80.48,0,0,1,80.0,82.04,0 [0 - 1],80.48% [80.0% - 82.04%],05-18-2020
324,ND- MINOT,81.77,7,7,12,80.29,85.43,7 [7 - 12],81.77% [80.29% - 85.43%],05-18-2020
325,OH- AKRON,83.59,84,75,112,80.87,90.88,84 [75 - 112],83.59% [80.87% - 90.88%],05-18-2020
326,OH- CANTON,82.82,55,48,77,80.52,89.46,55 [48 - 77],82.82% [80.52% - 89.46%],05-18-2020
327,OH- CINCINNATI,81.92,91,83,124,80.63,86.34,91 [83 - 124],81.92% [80.63% - 86.34%],05-18-2020
328,OH- CLEVELAND,83.12,273,244,357,80.77,89.35,273 [244 - 357],83.12% [80.77% - 89.35%],05-18-2020
329,OH- COLUMBUS,81.25,105,94,161,80.25,85.23,105 [94 - 161],81.25% [80.25% - 85.23%],05-18-2020
330,OH- DAYTON,81.54,49,44,68,80.21,85.14,49 [44 - 68],81.54% [80.21% - 85.14%],05-18-2020
331,OH- ELYRIA,84.98,35,32,45,81.1,94.34,35 [32 - 45],84.98% [81.1% - 94.34%],05-18-2020
332,OH- KETTERING,82.17,21,19,28,80.52,85.97,21 [19 - 28],82.17% [80.52% - 85.97%],05-18-2020
334,OH- TOLEDO,81.17,49,44,69,80.26,84.25,49 [44 - 69],81.17% [80.26% - 84.25%],05-18-2020
335,OH- YOUNGSTOWN,81.99,49,44,64,80.46,85.58,49 [44 - 64],81.99% [80.46% - 85.58%],05-18-2020
336,OK- LAWTON,81.11,5,4,7,80.0,82.24,5 [4 - 7],81.11% [80.0% - 82.24%],05-18-2020
339,OK- OKLAHOMA CITY,81.52,98,89,144,80.5,86.06,98 [89 - 144],81.52% [80.5% - 86.06%],05-18-2020
340,OK- TULSA,80.88,42,38,64,80.22,83.64,42 [38 - 64],80.88% [80.22% - 83.64%],05-18-2020
341,OR- BEND,81.56,0,0,3,80.49,85.43,0 [0 - 3],81.56% [80.49% - 85.43%],05-18-2020
